id,msID,shelfmark,collection,id,manuscript_id,part_name,part_type,id,part_id,form,condition,watermark,extent,collation,mainStructures,additions,foliation,id,part_id,hands,script,main_script,execution,medium
6622,MS_Lat_misc_d_76,MS. Lat. misc. d. 76,Lat misc,1,6622,MS_Lat_misc_d_76,,1,1,codex,,"horse, not identified in Briquet",ii + 106 leaves,1(10) 2(12) 3(10) 7(12)(wants 12) 4(12)–5(12) 6(10) 7(12) (12 gone) 8(12) 9(10) 10(8) (fol.88b torn),,1,,1,1,,,,,
6632,MS_Lat_misc_d_95_R,MS. Lat. misc. d. 95 (R),Lat misc,2,6632,MS_Lat_misc_d_95_R,,2,2,roll,,,6 membranes with remnant of one other,,,1,,2,2,,,,,
6592,MS_Lat_misc_c_7,MS. Lat. misc. c. 7,Lat misc,3,6592,MS_Lat_misc_c_7,,3,3,,,,,,,1,,3,3,,,,,
6592,MS_Lat_misc_c_7,MS. Lat. misc. c. 7,Lat misc,4,6592,MS_Lat_misc_c_7-part1,,4,4,codex,,,,,,0,,4,4,,,,,
6592,MS_Lat_misc_c_7,MS. Lat. misc. c. 7,Lat misc,5,6592,MS_Lat_misc_c_7-part2,,5,5,codex,,,,,,0,,5,5,,,,,
6564,MS_Lat_misc_b_17,MS. Lat. misc. b. 17,Lat misc,6,6564,MS_Lat_misc_b_17,,6,6,codex,,,,,,1,,6,6,,,,,
6563,MS_Lat_misc_b_16,MS. Lat. misc. b. 16,Lat misc,7,6563,MS_Lat_misc_b_16,,7,7,codex,,,iv + 281 leaves,"1(12)–5(12), 6(14), 7(12)–10(12), 11(10) (wants 8), 12(12), 13(8), 14(12) (wants 4–9), 15(12)–22(12), 23(8), 24(12), 25(8), catchwords",,1,,7,7,,,,,
6615,MS_Lat_misc_d_63,MS. Lat. misc. d. 63,Lat misc,8,6615,MS_Lat_misc_d_63,,8,8,codex,,"letter R and cross cf.Briquet 8938, balance cf.Briquet 2488, scissors cf.Briquet 3668, crossbow cf.Briquet 746",ii + 187 leaves,"1(12)(wants 1 and 12), 2(12)(wants 1), 3(12)–15(12), 16(10)(8–10 canc.)",,1,,8,8,,,,,
6683,MS_Lat_misc_g_2,MS. Lat. misc. g. 2,Lat misc,9,6683,MS_Lat_misc_g_2,,9,9,codex,,,ii + 98 leaves,"1(10)–6(10), 7(10)(5 and 6 are single leaves), 8(10), 9(10), quires numbered at the end i–ix",,1,,9,9,,,,,
6630,MS_Lat_misc_d_88,MS. Lat. misc. d. 88,Lat misc,10,6630,MS_Lat_misc_d_88,,10,10,codex,,"flower, not in Briquet but cf. nos.6644–5, 6647–52, Greek cross in circle (last quire only), not in Briquet but nearest to no.5575","i + 115 leaves (fol.i, 115, later flyleaves)","1(12), 2(12) (10 torn out), 3(12)–7(12), 8(16), 94 (+3 leaves added at end, fol.104–6), 10(10) (9–10 canc.)",,1,,10,10,,,,,
