image,label
MS-CLARE-COLLEGE-00012-000-00001,"left cover, outer"
MS-CLARE-COLLEGE-00012-000-00002,"left cover, inner"
MS-CLARE-COLLEGE-00012-000-00003,[i recto]
MS-CLARE-COLLEGE-00012-000-00004,[i verso]
MS-CLARE-COLLEGE-00012-000-00005,[ii recto]
MS-CLARE-COLLEGE-00012-000-00006,[ii verso]
MS-CLARE-COLLEGE-00012-000-00007,1r
MS-CLARE-COLLEGE-00012-000-00008,1v
MS-CLARE-COLLEGE-00012-000-00009,2r
MS-CLARE-COLLEGE-00012-000-00010,2v
MS-CLARE-COLLEGE-00012-000-00011,3r
MS-CLARE-COLLEGE-00012-000-00012,3v
MS-CLARE-COLLEGE-00012-000-00013,4r
MS-CLARE-COLLEGE-00012-000-00014,4v
MS-CLARE-COLLEGE-00012-000-00015,5r
MS-CLARE-COLLEGE-00012-000-00016,5v
MS-CLARE-COLLEGE-00012-000-00017,6r
MS-CLARE-COLLEGE-00012-000-00018,6v
MS-CLARE-COLLEGE-00012-000-00019,7r
MS-CLARE-COLLEGE-00012-000-00020,7v
MS-CLARE-COLLEGE-00012-000-00021,8r
MS-CLARE-COLLEGE-00012-000-00022,8v
MS-CLARE-COLLEGE-00012-000-00023,9r
MS-CLARE-COLLEGE-00012-000-00024,9v
MS-CLARE-COLLEGE-00012-000-00025,10r
MS-CLARE-COLLEGE-00012-000-00026,10v
MS-CLARE-COLLEGE-00012-000-00027,11r
MS-CLARE-COLLEGE-00012-000-00028,11v
MS-CLARE-COLLEGE-00012-000-00029,12r
MS-CLARE-COLLEGE-00012-000-00030,12v
MS-CLARE-COLLEGE-00012-000-00031,13r
MS-CLARE-COLLEGE-00012-000-00032,13v
MS-CLARE-COLLEGE-00012-000-00033,14r
MS-CLARE-COLLEGE-00012-000-00034,14v
MS-CLARE-COLLEGE-00012-000-00035,15r
MS-CLARE-COLLEGE-00012-000-00036,15v
MS-CLARE-COLLEGE-00012-000-00037,16r
MS-CLARE-COLLEGE-00012-000-00038,16v
MS-CLARE-COLLEGE-00012-000-00039,17r
MS-CLARE-COLLEGE-00012-000-00040,17v
MS-CLARE-COLLEGE-00012-000-00041,18r
MS-CLARE-COLLEGE-00012-000-00042,18v
MS-CLARE-COLLEGE-00012-000-00043,19r
MS-CLARE-COLLEGE-00012-000-00044,19v
MS-CLARE-COLLEGE-00012-000-00045,20r
MS-CLARE-COLLEGE-00012-000-00046,20v
MS-CLARE-COLLEGE-00012-000-00047,21r
MS-CLARE-COLLEGE-00012-000-00048,21v
MS-CLARE-COLLEGE-00012-000-00049,22r
MS-CLARE-COLLEGE-00012-000-00050,22v
MS-CLARE-COLLEGE-00012-000-00051,23r
MS-CLARE-COLLEGE-00012-000-00052,23v
MS-CLARE-COLLEGE-00012-000-00053,25r
MS-CLARE-COLLEGE-00012-000-00054,25v
MS-CLARE-COLLEGE-00012-000-00055,28r
MS-CLARE-COLLEGE-00012-000-00056,28v
MS-CLARE-COLLEGE-00012-000-00057,29r
MS-CLARE-COLLEGE-00012-000-00058,29v
MS-CLARE-COLLEGE-00012-000-00059,30r
MS-CLARE-COLLEGE-00012-000-00060,30v
MS-CLARE-COLLEGE-00012-000-00061,31r
MS-CLARE-COLLEGE-00012-000-00062,31v
MS-CLARE-COLLEGE-00012-000-00063,32r
MS-CLARE-COLLEGE-00012-000-00064,32v
MS-CLARE-COLLEGE-00012-000-00065,33r
MS-CLARE-COLLEGE-00012-000-00066,33v
MS-CLARE-COLLEGE-00012-000-00067,34r
MS-CLARE-COLLEGE-00012-000-00068,34v
MS-CLARE-COLLEGE-00012-000-00069,35r
MS-CLARE-COLLEGE-00012-000-00070,35v
MS-CLARE-COLLEGE-00012-000-00071,36r
MS-CLARE-COLLEGE-00012-000-00072,36v
MS-CLARE-COLLEGE-00012-000-00073,37r
MS-CLARE-COLLEGE-00012-000-00074,37v
MS-CLARE-COLLEGE-00012-000-00075,38r
MS-CLARE-COLLEGE-00012-000-00076,38v
MS-CLARE-COLLEGE-00012-000-00077,39r
MS-CLARE-COLLEGE-00012-000-00078,39v
MS-CLARE-COLLEGE-00012-000-00079,40r
MS-CLARE-COLLEGE-00012-000-00080,40v
MS-CLARE-COLLEGE-00012-000-00081,41r
MS-CLARE-COLLEGE-00012-000-00082,41v
MS-CLARE-COLLEGE-00012-000-00083,42r
MS-CLARE-COLLEGE-00012-000-00084,42v
MS-CLARE-COLLEGE-00012-000-00085,43r
MS-CLARE-COLLEGE-00012-000-00086,43v
MS-CLARE-COLLEGE-00012-000-00087,44r
MS-CLARE-COLLEGE-00012-000-00088,44v
MS-CLARE-COLLEGE-00012-000-00089,45r
MS-CLARE-COLLEGE-00012-000-00090,45v
MS-CLARE-COLLEGE-00012-000-00091,46r
MS-CLARE-COLLEGE-00012-000-00092,46v
MS-CLARE-COLLEGE-00012-000-00093,47r
MS-CLARE-COLLEGE-00012-000-00094,47v
MS-CLARE-COLLEGE-00012-000-00095,48r
MS-CLARE-COLLEGE-00012-000-00096,48v
MS-CLARE-COLLEGE-00012-000-00097,49r
MS-CLARE-COLLEGE-00012-000-00098,49v
MS-CLARE-COLLEGE-00012-000-00099,50r
MS-CLARE-COLLEGE-00012-000-00100,50v
MS-CLARE-COLLEGE-00012-000-00101,51r
MS-CLARE-COLLEGE-00012-000-00102,51v
MS-CLARE-COLLEGE-00012-000-00103,52r
MS-CLARE-COLLEGE-00012-000-00104,52v
MS-CLARE-COLLEGE-00012-000-00105,53r
MS-CLARE-COLLEGE-00012-000-00106,53v
MS-CLARE-COLLEGE-00012-000-00107,54r
MS-CLARE-COLLEGE-00012-000-00108,54v
MS-CLARE-COLLEGE-00012-000-00109,55r
MS-CLARE-COLLEGE-00012-000-00110,55v
MS-CLARE-COLLEGE-00012-000-00111,56r
MS-CLARE-COLLEGE-00012-000-00112,56v
MS-CLARE-COLLEGE-00012-000-00113,57r
MS-CLARE-COLLEGE-00012-000-00114,57v
MS-CLARE-COLLEGE-00012-000-00115,58r
MS-CLARE-COLLEGE-00012-000-00116,58v
MS-CLARE-COLLEGE-00012-000-00117,59r
MS-CLARE-COLLEGE-00012-000-00118,59v
MS-CLARE-COLLEGE-00012-000-00119,60r
MS-CLARE-COLLEGE-00012-000-00120,60v
MS-CLARE-COLLEGE-00012-000-00121,61r
MS-CLARE-COLLEGE-00012-000-00122,61v
MS-CLARE-COLLEGE-00012-000-00123,62r
MS-CLARE-COLLEGE-00012-000-00124,62v
MS-CLARE-COLLEGE-00012-000-00125,63r
MS-CLARE-COLLEGE-00012-000-00126,63v
MS-CLARE-COLLEGE-00012-000-00127,64r
MS-CLARE-COLLEGE-00012-000-00128,64v
MS-CLARE-COLLEGE-00012-000-00129,65r
MS-CLARE-COLLEGE-00012-000-00130,65v
MS-CLARE-COLLEGE-00012-000-00131,66r
MS-CLARE-COLLEGE-00012-000-00132,66v
MS-CLARE-COLLEGE-00012-000-00133,67r
MS-CLARE-COLLEGE-00012-000-00134,67v
MS-CLARE-COLLEGE-00012-000-00135,68r
MS-CLARE-COLLEGE-00012-000-00136,68v
MS-CLARE-COLLEGE-00012-000-00137,69r
MS-CLARE-COLLEGE-00012-000-00138,69v
MS-CLARE-COLLEGE-00012-000-00139,70r
MS-CLARE-COLLEGE-00012-000-00140,70v
MS-CLARE-COLLEGE-00012-000-00141,71r
MS-CLARE-COLLEGE-00012-000-00142,71v
MS-CLARE-COLLEGE-00012-000-00143,72r
MS-CLARE-COLLEGE-00012-000-00144,72v
MS-CLARE-COLLEGE-00012-000-00145,73r
MS-CLARE-COLLEGE-00012-000-00146,73v
MS-CLARE-COLLEGE-00012-000-00147,74r
MS-CLARE-COLLEGE-00012-000-00148,74v
MS-CLARE-COLLEGE-00012-000-00149,75r
MS-CLARE-COLLEGE-00012-000-00150,75v
MS-CLARE-COLLEGE-00012-000-00151,76r
MS-CLARE-COLLEGE-00012-000-00152,76v
MS-CLARE-COLLEGE-00012-000-00153,77r
MS-CLARE-COLLEGE-00012-000-00154,77v
MS-CLARE-COLLEGE-00012-000-00155,78r
MS-CLARE-COLLEGE-00012-000-00156,78v
MS-CLARE-COLLEGE-00012-000-00157,79r
