image,label
MS-CCCC-00374-000-00001,"front cover, outer"
MS-CCCC-00374-000-00002,"front cover, inner"
MS-CCCC-00374-000-00003,i recto
MS-CCCC-00374-000-00004,i verso
MS-CCCC-00374-000-00005,ii recto
MS-CCCC-00374-000-00006,ii verso
MS-CCCC-00374-000-00007,1r
MS-CCCC-00374-000-00008,1v
MS-CCCC-00374-000-00009,2r
MS-CCCC-00374-000-00010,2v
MS-CCCC-00374-000-00011,3r
MS-CCCC-00374-000-00012,3v
MS-CCCC-00374-000-00013,4r
MS-CCCC-00374-000-00014,4v
MS-CCCC-00374-000-00015,5r
MS-CCCC-00374-000-00016,5v
MS-CCCC-00374-000-00017,6r
MS-CCCC-00374-000-00018,6v
MS-CCCC-00374-000-00019,7r
MS-CCCC-00374-000-00020,7v
MS-CCCC-00374-000-00021,8r
MS-CCCC-00374-000-00022,8v
MS-CCCC-00374-000-00023,9r
MS-CCCC-00374-000-00024,9v
MS-CCCC-00374-000-00025,10r
MS-CCCC-00374-000-00026,10v
MS-CCCC-00374-000-00027,11r
MS-CCCC-00374-000-00028,11v
MS-CCCC-00374-000-00029,12r
MS-CCCC-00374-000-00030,12v
MS-CCCC-00374-000-00031,13r
MS-CCCC-00374-000-00032,13v
MS-CCCC-00374-000-00033,14r
MS-CCCC-00374-000-00034,14v
MS-CCCC-00374-000-00035,15r
MS-CCCC-00374-000-00036,15v
MS-CCCC-00374-000-00037,16r
MS-CCCC-00374-000-00038,16v
MS-CCCC-00374-000-00039,17r
MS-CCCC-00374-000-00040,17v
MS-CCCC-00374-000-00041,18r
MS-CCCC-00374-000-00042,18v
MS-CCCC-00374-000-00043,19r
MS-CCCC-00374-000-00044,19v
MS-CCCC-00374-000-00045,20r
MS-CCCC-00374-000-00046,20v
MS-CCCC-00374-000-00047,21r
MS-CCCC-00374-000-00048,21v
MS-CCCC-00374-000-00049,22r
MS-CCCC-00374-000-00050,22v
MS-CCCC-00374-000-00051,23r
MS-CCCC-00374-000-00052,23v
MS-CCCC-00374-000-00053,24r
MS-CCCC-00374-000-00054,24v
MS-CCCC-00374-000-00055,25r
MS-CCCC-00374-000-00056,25v
MS-CCCC-00374-000-00057,26r
MS-CCCC-00374-000-00058,26v
MS-CCCC-00374-000-00059,27r
MS-CCCC-00374-000-00060,27v
MS-CCCC-00374-000-00061,28r
MS-CCCC-00374-000-00062,28v
MS-CCCC-00374-000-00063,29r
MS-CCCC-00374-000-00064,29v
MS-CCCC-00374-000-00065,30r
MS-CCCC-00374-000-00066,30v
MS-CCCC-00374-000-00067,31r
MS-CCCC-00374-000-00068,31v
MS-CCCC-00374-000-00069,32r
MS-CCCC-00374-000-00070,32v
MS-CCCC-00374-000-00071,33r
MS-CCCC-00374-000-00072,33v
MS-CCCC-00374-000-00073,34r
MS-CCCC-00374-000-00074,34v
MS-CCCC-00374-000-00075,35r
MS-CCCC-00374-000-00076,35v
MS-CCCC-00374-000-00077,36r
MS-CCCC-00374-000-00078,36v
MS-CCCC-00374-000-00079,37r
