image,label
MS-EMMANUEL-COLLEGE-00070-000-00001,outside_left_cover
MS-EMMANUEL-COLLEGE-00070-000-00002,inside_left_cover
MS-EMMANUEL-COLLEGE-00070-000-00003,[i] recto
MS-EMMANUEL-COLLEGE-00070-000-00004,[i] verso
MS-EMMANUEL-COLLEGE-00070-000-00005,1r
MS-EMMANUEL-COLLEGE-00070-000-00006,1v
MS-EMMANUEL-COLLEGE-00070-000-00007,2r
MS-EMMANUEL-COLLEGE-00070-000-00008,2v
MS-EMMANUEL-COLLEGE-00070-000-00009,3r
MS-EMMANUEL-COLLEGE-00070-000-00010,3v
MS-EMMANUEL-COLLEGE-00070-000-00011,4r
MS-EMMANUEL-COLLEGE-00070-000-00012,4v
MS-EMMANUEL-COLLEGE-00070-000-00013,5r
MS-EMMANUEL-COLLEGE-00070-000-00014,5v
MS-EMMANUEL-COLLEGE-00070-000-00015,6r
MS-EMMANUEL-COLLEGE-00070-000-00016,6v
MS-EMMANUEL-COLLEGE-00070-000-00017,7r
MS-EMMANUEL-COLLEGE-00070-000-00018,7v
MS-EMMANUEL-COLLEGE-00070-000-00019,8r
MS-EMMANUEL-COLLEGE-00070-000-00020,8v
MS-EMMANUEL-COLLEGE-00070-000-00021,9r
MS-EMMANUEL-COLLEGE-00070-000-00022,9v
MS-EMMANUEL-COLLEGE-00070-000-00023,10r
MS-EMMANUEL-COLLEGE-00070-000-00024,10v
MS-EMMANUEL-COLLEGE-00070-000-00025,11r
MS-EMMANUEL-COLLEGE-00070-000-00026,11v
MS-EMMANUEL-COLLEGE-00070-000-00027,12r
MS-EMMANUEL-COLLEGE-00070-000-00028,12v
MS-EMMANUEL-COLLEGE-00070-000-00029,13r
MS-EMMANUEL-COLLEGE-00070-000-00030,13v
MS-EMMANUEL-COLLEGE-00070-000-00031,14r
MS-EMMANUEL-COLLEGE-00070-000-00032,14v
MS-EMMANUEL-COLLEGE-00070-000-00033,15r
MS-EMMANUEL-COLLEGE-00070-000-00034,15v
MS-EMMANUEL-COLLEGE-00070-000-00035,16r
MS-EMMANUEL-COLLEGE-00070-000-00036,16v
MS-EMMANUEL-COLLEGE-00070-000-00037,17r
MS-EMMANUEL-COLLEGE-00070-000-00038,17v
MS-EMMANUEL-COLLEGE-00070-000-00039,18r
MS-EMMANUEL-COLLEGE-00070-000-00040,18v
MS-EMMANUEL-COLLEGE-00070-000-00041,19r
MS-EMMANUEL-COLLEGE-00070-000-00042,19v
MS-EMMANUEL-COLLEGE-00070-000-00043,20r
MS-EMMANUEL-COLLEGE-00070-000-00044,20v
MS-EMMANUEL-COLLEGE-00070-000-00045,21r
MS-EMMANUEL-COLLEGE-00070-000-00046,21v
MS-EMMANUEL-COLLEGE-00070-000-00047,22r
MS-EMMANUEL-COLLEGE-00070-000-00048,22v
MS-EMMANUEL-COLLEGE-00070-000-00049,23r
MS-EMMANUEL-COLLEGE-00070-000-00050,23v
MS-EMMANUEL-COLLEGE-00070-000-00051,24r
MS-EMMANUEL-COLLEGE-00070-000-00052,24v
MS-EMMANUEL-COLLEGE-00070-000-00053,25r
MS-EMMANUEL-COLLEGE-00070-000-00054,25v
