image,label
MS-FITZWILLIAM-00038-01950-000-00001,"front cover, outer"
MS-FITZWILLIAM-00038-01950-000-00002,"front cover, inner"
MS-FITZWILLIAM-00038-01950-000-00003,[a] recto
MS-FITZWILLIAM-00038-01950-000-00004,[a] verso
MS-FITZWILLIAM-00038-01950-000-00005,[b] recto
MS-FITZWILLIAM-00038-01950-000-00006,[b] verso
MS-FITZWILLIAM-00038-01950-000-00007,[c] recto
MS-FITZWILLIAM-00038-01950-000-00008,[c] verso
MS-FITZWILLIAM-00038-01950-000-00009,[d] recto
MS-FITZWILLIAM-00038-01950-000-00010,[d] verso
MS-FITZWILLIAM-00038-01950-000-00011,i recto
MS-FITZWILLIAM-00038-01950-000-00012,i verso
MS-FITZWILLIAM-00038-01950-000-00013,ii recto
MS-FITZWILLIAM-00038-01950-000-00014,ii verso
MS-FITZWILLIAM-00038-01950-000-00015,iii recto
MS-FITZWILLIAM-00038-01950-000-00016,iii verso
MS-FITZWILLIAM-00038-01950-000-00017,1r
MS-FITZWILLIAM-00038-01950-000-00018,1v
MS-FITZWILLIAM-00038-01950-000-00019,2r
MS-FITZWILLIAM-00038-01950-000-00020,2v
MS-FITZWILLIAM-00038-01950-000-00021,3r
MS-FITZWILLIAM-00038-01950-000-00022,3v
MS-FITZWILLIAM-00038-01950-000-00023,4r
MS-FITZWILLIAM-00038-01950-000-00024,4v
MS-FITZWILLIAM-00038-01950-000-00025,5r
MS-FITZWILLIAM-00038-01950-000-00026,5v
MS-FITZWILLIAM-00038-01950-000-00027,6r
MS-FITZWILLIAM-00038-01950-000-00028,6v
MS-FITZWILLIAM-00038-01950-000-00029,7r
MS-FITZWILLIAM-00038-01950-000-00030,7v
MS-FITZWILLIAM-00038-01950-000-00031,8r
MS-FITZWILLIAM-00038-01950-000-00032,8v
MS-FITZWILLIAM-00038-01950-000-00033,9r
MS-FITZWILLIAM-00038-01950-000-00034,9v
MS-FITZWILLIAM-00038-01950-000-00035,10r
MS-FITZWILLIAM-00038-01950-000-00036,10v
MS-FITZWILLIAM-00038-01950-000-00037,11r
MS-FITZWILLIAM-00038-01950-000-00038,11v
MS-FITZWILLIAM-00038-01950-000-00039,12r
MS-FITZWILLIAM-00038-01950-000-00040,12v
MS-FITZWILLIAM-00038-01950-000-00041,13r
MS-FITZWILLIAM-00038-01950-000-00042,13v
MS-FITZWILLIAM-00038-01950-000-00043,14r
MS-FITZWILLIAM-00038-01950-000-00044,14v
MS-FITZWILLIAM-00038-01950-000-00045,15r
MS-FITZWILLIAM-00038-01950-000-00046,15v
MS-FITZWILLIAM-00038-01950-000-00047,16r
MS-FITZWILLIAM-00038-01950-000-00048,16v
MS-FITZWILLIAM-00038-01950-000-00049,17r
MS-FITZWILLIAM-00038-01950-000-00050,17v
MS-FITZWILLIAM-00038-01950-000-00051,18r
MS-FITZWILLIAM-00038-01950-000-00052,18v
MS-FITZWILLIAM-00038-01950-000-00053,19r
MS-FITZWILLIAM-00038-01950-000-00054,19v
MS-FITZWILLIAM-00038-01950-000-00055,20r
MS-FITZWILLIAM-00038-01950-000-00056,20v
MS-FITZWILLIAM-00038-01950-000-00057,21r
MS-FITZWILLIAM-00038-01950-000-00058,21v
MS-FITZWILLIAM-00038-01950-000-00059,22r
MS-FITZWILLIAM-00038-01950-000-00060,22v
MS-FITZWILLIAM-00038-01950-000-00061,23r
MS-FITZWILLIAM-00038-01950-000-00062,23v
MS-FITZWILLIAM-00038-01950-000-00063,24r
MS-FITZWILLIAM-00038-01950-000-00064,24v
MS-FITZWILLIAM-00038-01950-000-00065,25r
MS-FITZWILLIAM-00038-01950-000-00066,25v
MS-FITZWILLIAM-00038-01950-000-00067,26r
MS-FITZWILLIAM-00038-01950-000-00068,26v
MS-FITZWILLIAM-00038-01950-000-00069,27r
MS-FITZWILLIAM-00038-01950-000-00070,27v
MS-FITZWILLIAM-00038-01950-000-00071,28r
MS-FITZWILLIAM-00038-01950-000-00072,28v
MS-FITZWILLIAM-00038-01950-000-00073,29r
MS-FITZWILLIAM-00038-01950-000-00074,29v
MS-FITZWILLIAM-00038-01950-000-00075,30r
MS-FITZWILLIAM-00038-01950-000-00076,30v
MS-FITZWILLIAM-00038-01950-000-00077,31r
MS-FITZWILLIAM-00038-01950-000-00078,31v
MS-FITZWILLIAM-00038-01950-000-00079,32r
MS-FITZWILLIAM-00038-01950-000-00080,32v
MS-FITZWILLIAM-00038-01950-000-00081,33r
MS-FITZWILLIAM-00038-01950-000-00082,33v
MS-FITZWILLIAM-00038-01950-000-00083,34r
MS-FITZWILLIAM-00038-01950-000-00084,34v
MS-FITZWILLIAM-00038-01950-000-00085,35r
MS-FITZWILLIAM-00038-01950-000-00086,35v
MS-FITZWILLIAM-00038-01950-000-00087,36r
MS-FITZWILLIAM-00038-01950-000-00088,36v
MS-FITZWILLIAM-00038-01950-000-00089,37r
MS-FITZWILLIAM-00038-01950-000-00090,37v
MS-FITZWILLIAM-00038-01950-000-00091,38r
MS-FITZWILLIAM-00038-01950-000-00092,38v
MS-FITZWILLIAM-00038-01950-000-00093,39r
MS-FITZWILLIAM-00038-01950-000-00094,39v
MS-FITZWILLIAM-00038-01950-000-00095,40r
MS-FITZWILLIAM-00038-01950-000-00096,40v
MS-FITZWILLIAM-00038-01950-000-00097,41r
MS-FITZWILLIAM-00038-01950-000-00098,41v
MS-FITZWILLIAM-00038-01950-000-00099,42r
MS-FITZWILLIAM-00038-01950-000-00100,42v
MS-FITZWILLIAM-00038-01950-000-00101,43r
MS-FITZWILLIAM-00038-01950-000-00102,43v
MS-FITZWILLIAM-00038-01950-000-00103,44r
MS-FITZWILLIAM-00038-01950-000-00104,44v
MS-FITZWILLIAM-00038-01950-000-00105,45r
MS-FITZWILLIAM-00038-01950-000-00106,45v
MS-FITZWILLIAM-00038-01950-000-00107,46r
MS-FITZWILLIAM-00038-01950-000-00108,46v
MS-FITZWILLIAM-00038-01950-000-00109,47r
MS-FITZWILLIAM-00038-01950-000-00110,47v
MS-FITZWILLIAM-00038-01950-000-00111,48r
MS-FITZWILLIAM-00038-01950-000-00112,48v
MS-FITZWILLIAM-00038-01950-000-00113,49r
MS-FITZWILLIAM-00038-01950-000-00114,49v
MS-FITZWILLIAM-00038-01950-000-00115,50r
MS-FITZWILLIAM-00038-01950-000-00116,50v
MS-FITZWILLIAM-00038-01950-000-00117,51r
MS-FITZWILLIAM-00038-01950-000-00118,51v
MS-FITZWILLIAM-00038-01950-000-00119,52r
MS-FITZWILLIAM-00038-01950-000-00120,52v
MS-FITZWILLIAM-00038-01950-000-00121,53r
