image,label
MS-FITZWILLIAM-MCCLEAN-00166-000-00001,outside front cover
MS-FITZWILLIAM-MCCLEAN-00166-000-00002,inside front cover
MS-FITZWILLIAM-MCCLEAN-00166-000-00003,i recto
MS-FITZWILLIAM-MCCLEAN-00166-000-00004,i verso
MS-FITZWILLIAM-MCCLEAN-00166-000-00005,1r
MS-FITZWILLIAM-MCCLEAN-00166-000-00006,1v
MS-FITZWILLIAM-MCCLEAN-00166-000-00007,2r
MS-FITZWILLIAM-MCCLEAN-00166-000-00008,2v
MS-FITZWILLIAM-MCCLEAN-00166-000-00009,3r
MS-FITZWILLIAM-MCCLEAN-00166-000-00010,3v
MS-FITZWILLIAM-MCCLEAN-00166-000-00011,4r
MS-FITZWILLIAM-MCCLEAN-00166-000-00012,4v
MS-FITZWILLIAM-MCCLEAN-00166-000-00013,5r
MS-FITZWILLIAM-MCCLEAN-00166-000-00014,5v
MS-FITZWILLIAM-MCCLEAN-00166-000-00015,6r
MS-FITZWILLIAM-MCCLEAN-00166-000-00016,6v
MS-FITZWILLIAM-MCCLEAN-00166-000-00017,7r
MS-FITZWILLIAM-MCCLEAN-00166-000-00018,7v
MS-FITZWILLIAM-MCCLEAN-00166-000-00019,8r
MS-FITZWILLIAM-MCCLEAN-00166-000-00020,8v
MS-FITZWILLIAM-MCCLEAN-00166-000-00021,9r
MS-FITZWILLIAM-MCCLEAN-00166-000-00022,9v
MS-FITZWILLIAM-MCCLEAN-00166-000-00023,10r
MS-FITZWILLIAM-MCCLEAN-00166-000-00024,10v
MS-FITZWILLIAM-MCCLEAN-00166-000-00025,11r
MS-FITZWILLIAM-MCCLEAN-00166-000-00026,11v
MS-FITZWILLIAM-MCCLEAN-00166-000-00027,12r
MS-FITZWILLIAM-MCCLEAN-00166-000-00028,12v
MS-FITZWILLIAM-MCCLEAN-00166-000-00029,13r
MS-FITZWILLIAM-MCCLEAN-00166-000-00030,13v
MS-FITZWILLIAM-MCCLEAN-00166-000-00031,14r
MS-FITZWILLIAM-MCCLEAN-00166-000-00032,14v
MS-FITZWILLIAM-MCCLEAN-00166-000-00033,15r
MS-FITZWILLIAM-MCCLEAN-00166-000-00034,15v
MS-FITZWILLIAM-MCCLEAN-00166-000-00035,16r
MS-FITZWILLIAM-MCCLEAN-00166-000-00036,16v
MS-FITZWILLIAM-MCCLEAN-00166-000-00037,17r
MS-FITZWILLIAM-MCCLEAN-00166-000-00038,17v
MS-FITZWILLIAM-MCCLEAN-00166-000-00039,18r
MS-FITZWILLIAM-MCCLEAN-00166-000-00040,18v
MS-FITZWILLIAM-MCCLEAN-00166-000-00041,19r
MS-FITZWILLIAM-MCCLEAN-00166-000-00042,19v
MS-FITZWILLIAM-MCCLEAN-00166-000-00043,20r
MS-FITZWILLIAM-MCCLEAN-00166-000-00044,20v
MS-FITZWILLIAM-MCCLEAN-00166-000-00045,21r
MS-FITZWILLIAM-MCCLEAN-00166-000-00046,21v
MS-FITZWILLIAM-MCCLEAN-00166-000-00047,22r
MS-FITZWILLIAM-MCCLEAN-00166-000-00048,22v
MS-FITZWILLIAM-MCCLEAN-00166-000-00049,23r
MS-FITZWILLIAM-MCCLEAN-00166-000-00050,23v
MS-FITZWILLIAM-MCCLEAN-00166-000-00051,24r
MS-FITZWILLIAM-MCCLEAN-00166-000-00052,24v
MS-FITZWILLIAM-MCCLEAN-00166-000-00053,25r
MS-FITZWILLIAM-MCCLEAN-00166-000-00054,25v
MS-FITZWILLIAM-MCCLEAN-00166-000-00055,26r
MS-FITZWILLIAM-MCCLEAN-00166-000-00056,26v
MS-FITZWILLIAM-MCCLEAN-00166-000-00057,27r
MS-FITZWILLIAM-MCCLEAN-00166-000-00058,27v
MS-FITZWILLIAM-MCCLEAN-00166-000-00059,28r
MS-FITZWILLIAM-MCCLEAN-00166-000-00060,28v
MS-FITZWILLIAM-MCCLEAN-00166-000-00061,29r
MS-FITZWILLIAM-MCCLEAN-00166-000-00062,29v
MS-FITZWILLIAM-MCCLEAN-00166-000-00063,30r
MS-FITZWILLIAM-MCCLEAN-00166-000-00064,30v
MS-FITZWILLIAM-MCCLEAN-00166-000-00065,31r
MS-FITZWILLIAM-MCCLEAN-00166-000-00066,31v
MS-FITZWILLIAM-MCCLEAN-00166-000-00067,32r
MS-FITZWILLIAM-MCCLEAN-00166-000-00068,32v
MS-FITZWILLIAM-MCCLEAN-00166-000-00069,33r
MS-FITZWILLIAM-MCCLEAN-00166-000-00070,33v
MS-FITZWILLIAM-MCCLEAN-00166-000-00071,34r
MS-FITZWILLIAM-MCCLEAN-00166-000-00072,34v
MS-FITZWILLIAM-MCCLEAN-00166-000-00073,35r
MS-FITZWILLIAM-MCCLEAN-00166-000-00074,35v
MS-FITZWILLIAM-MCCLEAN-00166-000-00075,36r
MS-FITZWILLIAM-MCCLEAN-00166-000-00076,36v
MS-FITZWILLIAM-MCCLEAN-00166-000-00077,37r
MS-FITZWILLIAM-MCCLEAN-00166-000-00078,37v
MS-FITZWILLIAM-MCCLEAN-00166-000-00079,38r
MS-FITZWILLIAM-MCCLEAN-00166-000-00080,38v
MS-FITZWILLIAM-MCCLEAN-00166-000-00081,39r
MS-FITZWILLIAM-MCCLEAN-00166-000-00082,39v
MS-FITZWILLIAM-MCCLEAN-00166-000-00083,40r
MS-FITZWILLIAM-MCCLEAN-00166-000-00084,40v
MS-FITZWILLIAM-MCCLEAN-00166-000-00085,41r
MS-FITZWILLIAM-MCCLEAN-00166-000-00086,41v
MS-FITZWILLIAM-MCCLEAN-00166-000-00087,42r
MS-FITZWILLIAM-MCCLEAN-00166-000-00088,42v
MS-FITZWILLIAM-MCCLEAN-00166-000-00089,43r
MS-FITZWILLIAM-MCCLEAN-00166-000-00090,43v
MS-FITZWILLIAM-MCCLEAN-00166-000-00091,44r
MS-FITZWILLIAM-MCCLEAN-00166-000-00092,44v
MS-FITZWILLIAM-MCCLEAN-00166-000-00093,45r
MS-FITZWILLIAM-MCCLEAN-00166-000-00094,45v
MS-FITZWILLIAM-MCCLEAN-00166-000-00095,46r
MS-FITZWILLIAM-MCCLEAN-00166-000-00096,46v
MS-FITZWILLIAM-MCCLEAN-00166-000-00097,47r
MS-FITZWILLIAM-MCCLEAN-00166-000-00098,47v
MS-FITZWILLIAM-MCCLEAN-00166-000-00099,48r
MS-FITZWILLIAM-MCCLEAN-00166-000-00100,48v
MS-FITZWILLIAM-MCCLEAN-00166-000-00101,49r
MS-FITZWILLIAM-MCCLEAN-00166-000-00102,49v
MS-FITZWILLIAM-MCCLEAN-00166-000-00103,50r
MS-FITZWILLIAM-MCCLEAN-00166-000-00104,50v
MS-FITZWILLIAM-MCCLEAN-00166-000-00105,51r
MS-FITZWILLIAM-MCCLEAN-00166-000-00106,51v
MS-FITZWILLIAM-MCCLEAN-00166-000-00107,52r
