image,label
MS-FITZWILLIAM-MCCLEAN-00089-000-00001,outside front cover
MS-FITZWILLIAM-MCCLEAN-00089-000-00002,inside front cover
MS-FITZWILLIAM-MCCLEAN-00089-000-00003,[a] recto
MS-FITZWILLIAM-MCCLEAN-00089-000-00004,[a] verso
MS-FITZWILLIAM-MCCLEAN-00089-000-00005,i recto
MS-FITZWILLIAM-MCCLEAN-00089-000-00006,i verso
MS-FITZWILLIAM-MCCLEAN-00089-000-00007,ii recto
MS-FITZWILLIAM-MCCLEAN-00089-000-00008,ii verso
MS-FITZWILLIAM-MCCLEAN-00089-000-00009,iii recto
MS-FITZWILLIAM-MCCLEAN-00089-000-00010,iii verso
MS-FITZWILLIAM-MCCLEAN-00089-000-00011,iv recto
MS-FITZWILLIAM-MCCLEAN-00089-000-00012,iv verso
MS-FITZWILLIAM-MCCLEAN-00089-000-00013,1r
MS-FITZWILLIAM-MCCLEAN-00089-000-00014,1v
MS-FITZWILLIAM-MCCLEAN-00089-000-00015,2r
MS-FITZWILLIAM-MCCLEAN-00089-000-00016,2v
MS-FITZWILLIAM-MCCLEAN-00089-000-00017,3r
MS-FITZWILLIAM-MCCLEAN-00089-000-00018,3v
MS-FITZWILLIAM-MCCLEAN-00089-000-00019,4r
MS-FITZWILLIAM-MCCLEAN-00089-000-00020,4v
MS-FITZWILLIAM-MCCLEAN-00089-000-00021,5r
MS-FITZWILLIAM-MCCLEAN-00089-000-00022,5v
MS-FITZWILLIAM-MCCLEAN-00089-000-00023,6r
MS-FITZWILLIAM-MCCLEAN-00089-000-00024,6v
MS-FITZWILLIAM-MCCLEAN-00089-000-00025,7r
MS-FITZWILLIAM-MCCLEAN-00089-000-00026,7v
MS-FITZWILLIAM-MCCLEAN-00089-000-00027,8r
MS-FITZWILLIAM-MCCLEAN-00089-000-00028,8v
MS-FITZWILLIAM-MCCLEAN-00089-000-00029,9r
MS-FITZWILLIAM-MCCLEAN-00089-000-00030,9v
MS-FITZWILLIAM-MCCLEAN-00089-000-00031,10r
MS-FITZWILLIAM-MCCLEAN-00089-000-00032,10v
MS-FITZWILLIAM-MCCLEAN-00089-000-00033,11r
MS-FITZWILLIAM-MCCLEAN-00089-000-00034,11v
MS-FITZWILLIAM-MCCLEAN-00089-000-00035,12r
MS-FITZWILLIAM-MCCLEAN-00089-000-00036,12v
MS-FITZWILLIAM-MCCLEAN-00089-000-00037,13r
MS-FITZWILLIAM-MCCLEAN-00089-000-00038,13v
MS-FITZWILLIAM-MCCLEAN-00089-000-00039,14r
MS-FITZWILLIAM-MCCLEAN-00089-000-00040,14v
MS-FITZWILLIAM-MCCLEAN-00089-000-00041,15r
MS-FITZWILLIAM-MCCLEAN-00089-000-00042,15v
MS-FITZWILLIAM-MCCLEAN-00089-000-00043,16r
MS-FITZWILLIAM-MCCLEAN-00089-000-00044,16v
MS-FITZWILLIAM-MCCLEAN-00089-000-00045,17r
MS-FITZWILLIAM-MCCLEAN-00089-000-00046,17v
MS-FITZWILLIAM-MCCLEAN-00089-000-00047,18r
MS-FITZWILLIAM-MCCLEAN-00089-000-00048,18v
MS-FITZWILLIAM-MCCLEAN-00089-000-00049,19r
MS-FITZWILLIAM-MCCLEAN-00089-000-00050,19v
MS-FITZWILLIAM-MCCLEAN-00089-000-00051,20r
MS-FITZWILLIAM-MCCLEAN-00089-000-00052,20v
MS-FITZWILLIAM-MCCLEAN-00089-000-00053,21r
MS-FITZWILLIAM-MCCLEAN-00089-000-00054,21v
MS-FITZWILLIAM-MCCLEAN-00089-000-00055,22r
MS-FITZWILLIAM-MCCLEAN-00089-000-00056,22v
MS-FITZWILLIAM-MCCLEAN-00089-000-00057,23r
MS-FITZWILLIAM-MCCLEAN-00089-000-00058,23v
MS-FITZWILLIAM-MCCLEAN-00089-000-00059,24r
MS-FITZWILLIAM-MCCLEAN-00089-000-00060,24v
MS-FITZWILLIAM-MCCLEAN-00089-000-00061,25r
MS-FITZWILLIAM-MCCLEAN-00089-000-00062,25v
MS-FITZWILLIAM-MCCLEAN-00089-000-00063,26r
MS-FITZWILLIAM-MCCLEAN-00089-000-00064,26v
MS-FITZWILLIAM-MCCLEAN-00089-000-00065,27r
MS-FITZWILLIAM-MCCLEAN-00089-000-00066,27v
MS-FITZWILLIAM-MCCLEAN-00089-000-00067,28r
MS-FITZWILLIAM-MCCLEAN-00089-000-00068,28v
MS-FITZWILLIAM-MCCLEAN-00089-000-00069,29r
MS-FITZWILLIAM-MCCLEAN-00089-000-00070,29v
MS-FITZWILLIAM-MCCLEAN-00089-000-00071,30r
MS-FITZWILLIAM-MCCLEAN-00089-000-00072,30v
MS-FITZWILLIAM-MCCLEAN-00089-000-00073,31r
MS-FITZWILLIAM-MCCLEAN-00089-000-00074,31v
MS-FITZWILLIAM-MCCLEAN-00089-000-00075,32r
MS-FITZWILLIAM-MCCLEAN-00089-000-00076,32v
MS-FITZWILLIAM-MCCLEAN-00089-000-00077,33r
MS-FITZWILLIAM-MCCLEAN-00089-000-00078,33v
MS-FITZWILLIAM-MCCLEAN-00089-000-00079,34r
MS-FITZWILLIAM-MCCLEAN-00089-000-00080,34v
MS-FITZWILLIAM-MCCLEAN-00089-000-00081,35r
MS-FITZWILLIAM-MCCLEAN-00089-000-00082,35v
