image,label
MS-GONVILLE-AND-CAIUS-00400-000729-000-00001,outside_left_cover
MS-GONVILLE-AND-CAIUS-00400-000729-000-00002,inside_left_cover
MS-GONVILLE-AND-CAIUS-00400-000729-000-00003,[i] recto
MS-GONVILLE-AND-CAIUS-00400-000729-000-00004,[i] verso
MS-GONVILLE-AND-CAIUS-00400-000729-000-00005,1r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00006,1v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00007,2r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00008,2v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00009,3r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00010,3v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00011,4r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00012,4v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00013,5r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00014,5v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00015,6r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00016,6v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00017,7r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00018,7v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00019,8r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00020,8v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00021,9r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00022,9v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00023,10r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00024,10v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00025,11r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00026,11v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00027,12r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00028,12v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00029,13r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00030,13v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00031,14r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00032,14v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00033,15r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00034,15v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00035,16r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00036,16v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00037,17r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00038,17v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00039,18r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00040,18v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00041,19r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00042,19v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00043,20r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00044,20v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00045,21r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00046,21v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00047,22r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00048,22v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00049,23r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00050,23v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00051,24r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00052,24v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00053,25r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00054,25v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00055,26r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00056,26v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00057,27r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00058,27v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00059,28r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00060,28v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00061,29r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00062,29v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00063,30r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00064,30v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00065,31r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00066,31v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00067,32r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00068,32v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00069,33r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00070,33v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00071,34r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00072,34v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00073,35r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00074,35v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00075,36r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00076,36v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00077,37r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00078,37v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00079,38r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00080,38v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00081,39r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00082,39v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00083,40r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00084,40v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00085,41r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00086,41v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00087,42r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00088,42v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00089,43r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00090,43v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00091,44r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00092,44v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00093,45r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00094,45v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00095,46r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00096,46v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00097,47r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00098,47v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00099,48r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00100,48v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00101,49r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00102,49v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00103,50r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00104,50v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00105,51r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00106,51v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00107,52r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00108,52v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00109,53r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00110,53v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00111,54r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00112,54v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00113,55r
MS-GONVILLE-AND-CAIUS-00400-000729-000-00114,55v
MS-GONVILLE-AND-CAIUS-00400-000729-000-00115,56r
