image,label
MS-JESUS-COLLEGE-Q-D-00004-000-00001,outside left cover
MS-JESUS-COLLEGE-Q-D-00004-000-00002,inside left cover
MS-JESUS-COLLEGE-Q-D-00004-000-00003,1r
MS-JESUS-COLLEGE-Q-D-00004-000-00004,1v
MS-JESUS-COLLEGE-Q-D-00004-000-00005,2r
MS-JESUS-COLLEGE-Q-D-00004-000-00006,2v
MS-JESUS-COLLEGE-Q-D-00004-000-00007,3r
MS-JESUS-COLLEGE-Q-D-00004-000-00008,3v
MS-JESUS-COLLEGE-Q-D-00004-000-00009,4r
MS-JESUS-COLLEGE-Q-D-00004-000-00010,4v
MS-JESUS-COLLEGE-Q-D-00004-000-00011,5r
MS-JESUS-COLLEGE-Q-D-00004-000-00012,5v
MS-JESUS-COLLEGE-Q-D-00004-000-00013,6r
MS-JESUS-COLLEGE-Q-D-00004-000-00014,6v
MS-JESUS-COLLEGE-Q-D-00004-000-00015,7r
MS-JESUS-COLLEGE-Q-D-00004-000-00016,7v
MS-JESUS-COLLEGE-Q-D-00004-000-00017,8r
MS-JESUS-COLLEGE-Q-D-00004-000-00018,8v
MS-JESUS-COLLEGE-Q-D-00004-000-00019,9r
MS-JESUS-COLLEGE-Q-D-00004-000-00020,9v
MS-JESUS-COLLEGE-Q-D-00004-000-00021,10r
MS-JESUS-COLLEGE-Q-D-00004-000-00022,10v
MS-JESUS-COLLEGE-Q-D-00004-000-00023,11r
MS-JESUS-COLLEGE-Q-D-00004-000-00024,11v
MS-JESUS-COLLEGE-Q-D-00004-000-00025,12r
MS-JESUS-COLLEGE-Q-D-00004-000-00026,12v
MS-JESUS-COLLEGE-Q-D-00004-000-00027,13r
MS-JESUS-COLLEGE-Q-D-00004-000-00028,13v
MS-JESUS-COLLEGE-Q-D-00004-000-00029,14r
MS-JESUS-COLLEGE-Q-D-00004-000-00030,14v
MS-JESUS-COLLEGE-Q-D-00004-000-00031,15r
MS-JESUS-COLLEGE-Q-D-00004-000-00032,15v
MS-JESUS-COLLEGE-Q-D-00004-000-00033,16r
MS-JESUS-COLLEGE-Q-D-00004-000-00034,16v
