image,label
MS-JESUS-COLLEGE-Q-G-00012-000-00001,"front cover, outer"
MS-JESUS-COLLEGE-Q-G-00012-000-00002,"front cover, inner"
MS-JESUS-COLLEGE-Q-G-00012-000-00003,[i] recto
MS-JESUS-COLLEGE-Q-G-00012-000-00004,[i] verso
MS-JESUS-COLLEGE-Q-G-00012-000-00005,A recto
MS-JESUS-COLLEGE-Q-G-00012-000-00006,A verso
MS-JESUS-COLLEGE-Q-G-00012-000-00007,B recto
MS-JESUS-COLLEGE-Q-G-00012-000-00008,B verso
MS-JESUS-COLLEGE-Q-G-00012-000-00009,C recto
MS-JESUS-COLLEGE-Q-G-00012-000-00010,C verso
MS-JESUS-COLLEGE-Q-G-00012-000-00011,D recto
MS-JESUS-COLLEGE-Q-G-00012-000-00012,D verso
MS-JESUS-COLLEGE-Q-G-00012-000-00013,E recto
MS-JESUS-COLLEGE-Q-G-00012-000-00014,E verso
MS-JESUS-COLLEGE-Q-G-00012-000-00015,F recto
MS-JESUS-COLLEGE-Q-G-00012-000-00016,F verso
MS-JESUS-COLLEGE-Q-G-00012-000-00017,G recto
MS-JESUS-COLLEGE-Q-G-00012-000-00018,G verso
MS-JESUS-COLLEGE-Q-G-00012-000-00019,H recto
MS-JESUS-COLLEGE-Q-G-00012-000-00020,H verso
MS-JESUS-COLLEGE-Q-G-00012-000-00021,I recto
MS-JESUS-COLLEGE-Q-G-00012-000-00022,I verso
MS-JESUS-COLLEGE-Q-G-00012-000-00023,1r
MS-JESUS-COLLEGE-Q-G-00012-000-00024,1v
MS-JESUS-COLLEGE-Q-G-00012-000-00025,2r
MS-JESUS-COLLEGE-Q-G-00012-000-00026,2v
MS-JESUS-COLLEGE-Q-G-00012-000-00027,3r
MS-JESUS-COLLEGE-Q-G-00012-000-00028,3v
MS-JESUS-COLLEGE-Q-G-00012-000-00029,4r
MS-JESUS-COLLEGE-Q-G-00012-000-00030,4v
MS-JESUS-COLLEGE-Q-G-00012-000-00031,5r
MS-JESUS-COLLEGE-Q-G-00012-000-00032,5v
MS-JESUS-COLLEGE-Q-G-00012-000-00033,6r
MS-JESUS-COLLEGE-Q-G-00012-000-00034,6v
MS-JESUS-COLLEGE-Q-G-00012-000-00035,7r
MS-JESUS-COLLEGE-Q-G-00012-000-00036,7v
MS-JESUS-COLLEGE-Q-G-00012-000-00037,8r
MS-JESUS-COLLEGE-Q-G-00012-000-00038,8v
MS-JESUS-COLLEGE-Q-G-00012-000-00039,9r
MS-JESUS-COLLEGE-Q-G-00012-000-00040,9v
MS-JESUS-COLLEGE-Q-G-00012-000-00041,10r
MS-JESUS-COLLEGE-Q-G-00012-000-00042,10v
MS-JESUS-COLLEGE-Q-G-00012-000-00043,11r
MS-JESUS-COLLEGE-Q-G-00012-000-00044,11v
MS-JESUS-COLLEGE-Q-G-00012-000-00045,12r
MS-JESUS-COLLEGE-Q-G-00012-000-00046,12v
