image,label
MS-KINGS-COLLEGE-00016-000-00001,"front cover, outer"
MS-KINGS-COLLEGE-00016-000-00002,"front cover, inner"
MS-KINGS-COLLEGE-00016-000-00003,[i] recto
MS-KINGS-COLLEGE-00016-000-00004,[i] verso
MS-KINGS-COLLEGE-00016-000-00005,[ii] recto
MS-KINGS-COLLEGE-00016-000-00006,[ii] verso
MS-KINGS-COLLEGE-00016-000-00007,[iii] recto
MS-KINGS-COLLEGE-00016-000-00008,[iii] verso
MS-KINGS-COLLEGE-00016-000-00009,[iv] recto
MS-KINGS-COLLEGE-00016-000-00010,[iv] verso
MS-KINGS-COLLEGE-00016-000-00011,[v] recto
MS-KINGS-COLLEGE-00016-000-00012,[v] verso
MS-KINGS-COLLEGE-00016-000-00013,1:1r
MS-KINGS-COLLEGE-00016-000-00014,1:1v
MS-KINGS-COLLEGE-00016-000-00015,1:2r
MS-KINGS-COLLEGE-00016-000-00016,1:2v
MS-KINGS-COLLEGE-00016-000-00017,1:3r
MS-KINGS-COLLEGE-00016-000-00018,1:3v
MS-KINGS-COLLEGE-00016-000-00019,1:4r
MS-KINGS-COLLEGE-00016-000-00020,1:4v
MS-KINGS-COLLEGE-00016-000-00021,1:5r
MS-KINGS-COLLEGE-00016-000-00022,1:5v
MS-KINGS-COLLEGE-00016-000-00023,1:6r
MS-KINGS-COLLEGE-00016-000-00024,1:6v
MS-KINGS-COLLEGE-00016-000-00025,1:7r
MS-KINGS-COLLEGE-00016-000-00026,1:7v
MS-KINGS-COLLEGE-00016-000-00027,1:8r
MS-KINGS-COLLEGE-00016-000-00028,1:8v
MS-KINGS-COLLEGE-00016-000-00029,1:8a recto
MS-KINGS-COLLEGE-00016-000-00030,1:8a verso
MS-KINGS-COLLEGE-00016-000-00031,1:8b recto
MS-KINGS-COLLEGE-00016-000-00032,1:8b verso
MS-KINGS-COLLEGE-00016-000-00033,1:9r
MS-KINGS-COLLEGE-00016-000-00034,1:9v
MS-KINGS-COLLEGE-00016-000-00035,1:10r
MS-KINGS-COLLEGE-00016-000-00036,1:10v
MS-KINGS-COLLEGE-00016-000-00037,1:10a recto
MS-KINGS-COLLEGE-00016-000-00038,1:10a verso
MS-KINGS-COLLEGE-00016-000-00039,1:10b recto
MS-KINGS-COLLEGE-00016-000-00040,1:10b verso
MS-KINGS-COLLEGE-00016-000-00041,1:10c recto
MS-KINGS-COLLEGE-00016-000-00042,1:10c verso
MS-KINGS-COLLEGE-00016-000-00043,1:10e recto
MS-KINGS-COLLEGE-00016-000-00044,1:10e verso
MS-KINGS-COLLEGE-00016-000-00045,1:10d recto
MS-KINGS-COLLEGE-00016-000-00046,1:10d verso
MS-KINGS-COLLEGE-00016-000-00047,1:11r
MS-KINGS-COLLEGE-00016-000-00048,1:11v
MS-KINGS-COLLEGE-00016-000-00049,1:12r
MS-KINGS-COLLEGE-00016-000-00050,1:12v
MS-KINGS-COLLEGE-00016-000-00051,1:13r
MS-KINGS-COLLEGE-00016-000-00052,1:13v
MS-KINGS-COLLEGE-00016-000-00053,1:14r
MS-KINGS-COLLEGE-00016-000-00054,1:14v
MS-KINGS-COLLEGE-00016-000-00055,1:15r
MS-KINGS-COLLEGE-00016-000-00056,1:15v
MS-KINGS-COLLEGE-00016-000-00057,1:16r
MS-KINGS-COLLEGE-00016-000-00058,1:16v
MS-KINGS-COLLEGE-00016-000-00059,1:17r
MS-KINGS-COLLEGE-00016-000-00060,1:17v
