image,label
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00001,"front cover, outer"
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00002,i verso
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00003,ii recto
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00004,ii verso
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00005,iii recto
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00006,iii verso
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00007,1
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00008,2
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00009,3
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00010,4
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00011,5
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00012,6
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00013,7
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00014,8
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00015,9
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00016,10
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00017,11
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00018,12
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00019,13
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00020,14
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00021,15
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00022,16
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00023,17
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00024,18
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00025,19
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00026,20
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00027,21
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00028,22
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00029,23
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00030,24
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00031,25
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00032,26
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00033,27
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00034,28
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00035,29
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00036,30
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00037,31
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00038,32
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00039,33
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00040,34
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00041,35
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00042,36
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00043,37
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00044,38
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00045,39
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00046,40
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00047,41
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00048,42
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00049,43
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00050,44
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00051,45
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00052,46
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00053,47
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00054,48
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00055,49
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00056,50
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00057,51
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00058,52
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00059,53
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00060,54
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00061,55
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00062,56
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00063,57
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00064,58
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00065,59
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00066,60
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00067,61
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00068,62
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00069,63
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00070,64
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00071,65
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00072,66
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00073,67
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00074,68
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00075,69
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00076,70
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00077,71
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00078,72
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00079,73
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00080,74
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00081,75
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00082,76
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00083,77
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00084,78
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00085,79
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00086,80
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00087,81
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00088,82
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00089,83
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00090,84
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00091,85
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00092,86
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00093,87
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00094,88
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00095,89
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00096,90
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00097,91
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00098,92
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00099,93
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00100,94
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00101,95
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00102,96
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00103,97
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00104,98
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00105,99
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00106,100
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00107,101
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00108,102
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00109,103
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00110,104
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00111,105
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00112,106
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00113,107
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00114,108
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00115,109
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00116,110
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00117,111
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00118,112
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00119,113
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00120,114
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00121,115
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00122,116
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00123,117
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00124,118
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00125,119
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00126,120
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00127,121
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00128,122
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00129,123
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00130,124
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00131,125
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00132,126
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00133,127
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00134,128
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00135,129
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00136,130
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00137,131
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00138,132
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00139,133
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00140,134
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00141,135
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00142,136
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00143,137
MS-MAGDALENE-COLLEGE-PEPYS-00878-000-00144,138
