image,label
MS-PETERHOUSE-00139-000-00001,"front cover, outer"
MS-PETERHOUSE-00139-000-00002,"front cover, inner"
MS-PETERHOUSE-00139-000-00003,[a] recto
MS-PETERHOUSE-00139-000-00004,[a] verso
MS-PETERHOUSE-00139-000-00005,i recto
MS-PETERHOUSE-00139-000-00006,i verso
MS-PETERHOUSE-00139-000-00007,ii recto
MS-PETERHOUSE-00139-000-00008,ii verso
MS-PETERHOUSE-00139-000-00009,1r
MS-PETERHOUSE-00139-000-00010,1v
MS-PETERHOUSE-00139-000-00011,2r
MS-PETERHOUSE-00139-000-00012,2v
MS-PETERHOUSE-00139-000-00013,3r
MS-PETERHOUSE-00139-000-00014,3v
MS-PETERHOUSE-00139-000-00015,4r
MS-PETERHOUSE-00139-000-00016,4v
MS-PETERHOUSE-00139-000-00017,5r
MS-PETERHOUSE-00139-000-00018,5v
MS-PETERHOUSE-00139-000-00019,6r
MS-PETERHOUSE-00139-000-00020,6v
MS-PETERHOUSE-00139-000-00021,7r
MS-PETERHOUSE-00139-000-00022,7v
MS-PETERHOUSE-00139-000-00023,8r
MS-PETERHOUSE-00139-000-00024,8v
MS-PETERHOUSE-00139-000-00025,9r
MS-PETERHOUSE-00139-000-00026,9v
MS-PETERHOUSE-00139-000-00027,10r
MS-PETERHOUSE-00139-000-00028,10v
MS-PETERHOUSE-00139-000-00029,11r
MS-PETERHOUSE-00139-000-00030,11v
MS-PETERHOUSE-00139-000-00031,12r
MS-PETERHOUSE-00139-000-00032,12v
MS-PETERHOUSE-00139-000-00033,13r
MS-PETERHOUSE-00139-000-00034,13v
MS-PETERHOUSE-00139-000-00035,14r
MS-PETERHOUSE-00139-000-00036,14v
MS-PETERHOUSE-00139-000-00037,15r
MS-PETERHOUSE-00139-000-00038,15v
MS-PETERHOUSE-00139-000-00039,16r
MS-PETERHOUSE-00139-000-00040,16v
MS-PETERHOUSE-00139-000-00041,17r
MS-PETERHOUSE-00139-000-00042,17v
MS-PETERHOUSE-00139-000-00043,18r
MS-PETERHOUSE-00139-000-00044,18v
MS-PETERHOUSE-00139-000-00045,19r
MS-PETERHOUSE-00139-000-00046,19v
MS-PETERHOUSE-00139-000-00047,20r
MS-PETERHOUSE-00139-000-00048,20v
MS-PETERHOUSE-00139-000-00049,21r
MS-PETERHOUSE-00139-000-00050,21v
MS-PETERHOUSE-00139-000-00051,22r
MS-PETERHOUSE-00139-000-00052,22v
MS-PETERHOUSE-00139-000-00053,23r
MS-PETERHOUSE-00139-000-00054,23v
MS-PETERHOUSE-00139-000-00055,24r
MS-PETERHOUSE-00139-000-00056,24v
MS-PETERHOUSE-00139-000-00057,25r
MS-PETERHOUSE-00139-000-00058,25v
MS-PETERHOUSE-00139-000-00059,26r
MS-PETERHOUSE-00139-000-00060,26v
MS-PETERHOUSE-00139-000-00061,27r
MS-PETERHOUSE-00139-000-00062,27v
MS-PETERHOUSE-00139-000-00063,28r
MS-PETERHOUSE-00139-000-00064,28v
MS-PETERHOUSE-00139-000-00065,29r
MS-PETERHOUSE-00139-000-00066,29v
MS-PETERHOUSE-00139-000-00067,30r
MS-PETERHOUSE-00139-000-00068,30v
MS-PETERHOUSE-00139-000-00069,31r
MS-PETERHOUSE-00139-000-00070,31v
MS-PETERHOUSE-00139-000-00071,32r
MS-PETERHOUSE-00139-000-00072,32v
MS-PETERHOUSE-00139-000-00073,33r
MS-PETERHOUSE-00139-000-00074,33v
MS-PETERHOUSE-00139-000-00075,34r
MS-PETERHOUSE-00139-000-00076,34v
MS-PETERHOUSE-00139-000-00077,35r
MS-PETERHOUSE-00139-000-00078,35v
MS-PETERHOUSE-00139-000-00079,36r
MS-PETERHOUSE-00139-000-00080,36v
MS-PETERHOUSE-00139-000-00081,37r
MS-PETERHOUSE-00139-000-00082,37v
MS-PETERHOUSE-00139-000-00083,38r
MS-PETERHOUSE-00139-000-00084,38v
MS-PETERHOUSE-00139-000-00085,39r
MS-PETERHOUSE-00139-000-00086,39v
MS-PETERHOUSE-00139-000-00087,40r
MS-PETERHOUSE-00139-000-00088,40v
MS-PETERHOUSE-00139-000-00089,41r
MS-PETERHOUSE-00139-000-00090,41v
MS-PETERHOUSE-00139-000-00091,42r
MS-PETERHOUSE-00139-000-00092,42v
MS-PETERHOUSE-00139-000-00093,43r
MS-PETERHOUSE-00139-000-00094,43v
MS-PETERHOUSE-00139-000-00095,44r
MS-PETERHOUSE-00139-000-00096,44v
MS-PETERHOUSE-00139-000-00097,45r
MS-PETERHOUSE-00139-000-00098,45v
MS-PETERHOUSE-00139-000-00099,46r
MS-PETERHOUSE-00139-000-00100,46v
MS-PETERHOUSE-00139-000-00101,47r
MS-PETERHOUSE-00139-000-00102,47v
MS-PETERHOUSE-00139-000-00103,48r
MS-PETERHOUSE-00139-000-00104,48v
MS-PETERHOUSE-00139-000-00105,49r
MS-PETERHOUSE-00139-000-00106,49v
MS-PETERHOUSE-00139-000-00107,50r
MS-PETERHOUSE-00139-000-00108,50v
MS-PETERHOUSE-00139-000-00109,51r
MS-PETERHOUSE-00139-000-00110,51v
MS-PETERHOUSE-00139-000-00111,52r
MS-PETERHOUSE-00139-000-00112,52v
MS-PETERHOUSE-00139-000-00113,53r
MS-PETERHOUSE-00139-000-00114,53v
MS-PETERHOUSE-00139-000-00115,54r
MS-PETERHOUSE-00139-000-00116,54v
MS-PETERHOUSE-00139-000-00117,55r
MS-PETERHOUSE-00139-000-00118,55v
MS-PETERHOUSE-00139-000-00119,56r
MS-PETERHOUSE-00139-000-00120,56v
MS-PETERHOUSE-00139-000-00121,57r
MS-PETERHOUSE-00139-000-00122,57v
MS-PETERHOUSE-00139-000-00123,58r
MS-PETERHOUSE-00139-000-00124,58v
MS-PETERHOUSE-00139-000-00125,59r
MS-PETERHOUSE-00139-000-00126,59v
MS-PETERHOUSE-00139-000-00127,60r
MS-PETERHOUSE-00139-000-00128,60v
MS-PETERHOUSE-00139-000-00129,61r
MS-PETERHOUSE-00139-000-00130,61v
MS-PETERHOUSE-00139-000-00131,62r
MS-PETERHOUSE-00139-000-00132,62v
MS-PETERHOUSE-00139-000-00133,63r
MS-PETERHOUSE-00139-000-00134,63v
MS-PETERHOUSE-00139-000-00135,64r
MS-PETERHOUSE-00139-000-00136,64v
MS-PETERHOUSE-00139-000-00137,65r
MS-PETERHOUSE-00139-000-00138,65v
MS-PETERHOUSE-00139-000-00139,66r
MS-PETERHOUSE-00139-000-00140,66v
MS-PETERHOUSE-00139-000-00141,67r
MS-PETERHOUSE-00139-000-00142,67v
MS-PETERHOUSE-00139-000-00143,68r
MS-PETERHOUSE-00139-000-00144,68v
MS-PETERHOUSE-00139-000-00145,69r
MS-PETERHOUSE-00139-000-00146,69v
MS-PETERHOUSE-00139-000-00147,70r
MS-PETERHOUSE-00139-000-00148,70v
MS-PETERHOUSE-00139-000-00149,71r
MS-PETERHOUSE-00139-000-00150,71v
MS-PETERHOUSE-00139-000-00151,72r
MS-PETERHOUSE-00139-000-00152,72v
MS-PETERHOUSE-00139-000-00153,73r
MS-PETERHOUSE-00139-000-00154,73v
MS-PETERHOUSE-00139-000-00155,74r
MS-PETERHOUSE-00139-000-00156,74v
MS-PETERHOUSE-00139-000-00157,75r
MS-PETERHOUSE-00139-000-00158,75v
MS-PETERHOUSE-00139-000-00159,76r
MS-PETERHOUSE-00139-000-00160,76v
MS-PETERHOUSE-00139-000-00161,77r
MS-PETERHOUSE-00139-000-00162,77v
MS-PETERHOUSE-00139-000-00163,78r
MS-PETERHOUSE-00139-000-00164,78v
