image,label
MS-SIDNEYSUSSEX-00085-000-00001,"front cover, outer"
MS-SIDNEYSUSSEX-00085-000-00002,"front cover, inner"
MS-SIDNEYSUSSEX-00085-000-00003,[i] recto
MS-SIDNEYSUSSEX-00085-000-00004,[i] verso
MS-SIDNEYSUSSEX-00085-000-00005,[ii] recto
MS-SIDNEYSUSSEX-00085-000-00006,[ii] verso
MS-SIDNEYSUSSEX-00085-000-00007,[iii] recto
MS-SIDNEYSUSSEX-00085-000-00008,[iii] verso
MS-SIDNEYSUSSEX-00085-000-00009,[iv] recto
MS-SIDNEYSUSSEX-00085-000-00010,[iv] verso
MS-SIDNEYSUSSEX-00085-000-00011,a recto 
MS-SIDNEYSUSSEX-00085-000-00012,a verso
MS-SIDNEYSUSSEX-00085-000-00013,b recto
MS-SIDNEYSUSSEX-00085-000-00014,b verso
MS-SIDNEYSUSSEX-00085-000-00015,c recto
MS-SIDNEYSUSSEX-00085-000-00016,c verso
MS-SIDNEYSUSSEX-00085-000-00017,d recto
MS-SIDNEYSUSSEX-00085-000-00018,d verso
MS-SIDNEYSUSSEX-00085-000-00019,1r
MS-SIDNEYSUSSEX-00085-000-00020,1v
MS-SIDNEYSUSSEX-00085-000-00021,2r
MS-SIDNEYSUSSEX-00085-000-00022,2v
MS-SIDNEYSUSSEX-00085-000-00023,3r
MS-SIDNEYSUSSEX-00085-000-00024,3v
MS-SIDNEYSUSSEX-00085-000-00025,4r
MS-SIDNEYSUSSEX-00085-000-00026,4v
MS-SIDNEYSUSSEX-00085-000-00027,5r
MS-SIDNEYSUSSEX-00085-000-00028,5v
MS-SIDNEYSUSSEX-00085-000-00029,6r
MS-SIDNEYSUSSEX-00085-000-00030,6v
MS-SIDNEYSUSSEX-00085-000-00031,7r
MS-SIDNEYSUSSEX-00085-000-00032,7v
MS-SIDNEYSUSSEX-00085-000-00033,8r
MS-SIDNEYSUSSEX-00085-000-00034,8v
MS-SIDNEYSUSSEX-00085-000-00035,9r
MS-SIDNEYSUSSEX-00085-000-00036,9v
MS-SIDNEYSUSSEX-00085-000-00037,10r
MS-SIDNEYSUSSEX-00085-000-00038,10v
MS-SIDNEYSUSSEX-00085-000-00039,11r
