image,label
MS-SJC-D-00003-000-00001,outside_left_cover
MS-SJC-D-00003-000-00002,inside_left_cover
MS-SJC-D-00003-000-00003,[i] recto
MS-SJC-D-00003-000-00004,[i] verso
MS-SJC-D-00003-000-00005,[ii] recto
MS-SJC-D-00003-000-00006,[ii] verso
MS-SJC-D-00003-000-00007,1r
MS-SJC-D-00003-000-00008,1v
MS-SJC-D-00003-000-00009,2r
MS-SJC-D-00003-000-00010,2v
MS-SJC-D-00003-000-00011,3r
MS-SJC-D-00003-000-00012,3v
MS-SJC-D-00003-000-00013,4r
MS-SJC-D-00003-000-00014,4v
MS-SJC-D-00003-000-00015,5r
MS-SJC-D-00003-000-00016,5v
MS-SJC-D-00003-000-00017,6r
MS-SJC-D-00003-000-00018,6v
MS-SJC-D-00003-000-00019,7r
MS-SJC-D-00003-000-00020,7v
MS-SJC-D-00003-000-00021,8r
MS-SJC-D-00003-000-00022,8v
MS-SJC-D-00003-000-00023,9r
MS-SJC-D-00003-000-00024,9v
MS-SJC-D-00003-000-00025,10r
MS-SJC-D-00003-000-00026,10v
MS-SJC-D-00003-000-00027,11r
MS-SJC-D-00003-000-00028,11v
MS-SJC-D-00003-000-00029,12r
MS-SJC-D-00003-000-00030,12v
MS-SJC-D-00003-000-00031,13r
MS-SJC-D-00003-000-00032,13v
MS-SJC-D-00003-000-00033,14r
MS-SJC-D-00003-000-00034,14v
MS-SJC-D-00003-000-00035,15r
MS-SJC-D-00003-000-00036,15v
MS-SJC-D-00003-000-00037,16r
MS-SJC-D-00003-000-00038,16v
MS-SJC-D-00003-000-00039,17r
MS-SJC-D-00003-000-00040,17v
MS-SJC-D-00003-000-00041,18r
MS-SJC-D-00003-000-00042,18v
MS-SJC-D-00003-000-00043,19r
MS-SJC-D-00003-000-00044,19v
MS-SJC-D-00003-000-00045,20r
MS-SJC-D-00003-000-00046,20v
MS-SJC-D-00003-000-00047,21r
MS-SJC-D-00003-000-00048,21v
MS-SJC-D-00003-000-00049,22r
MS-SJC-D-00003-000-00050,22v
MS-SJC-D-00003-000-00051,23r
MS-SJC-D-00003-000-00052,23v
MS-SJC-D-00003-000-00053,24r
MS-SJC-D-00003-000-00054,24v
MS-SJC-D-00003-000-00055,25r
MS-SJC-D-00003-000-00056,25v
MS-SJC-D-00003-000-00057,26r
MS-SJC-D-00003-000-00058,26v
MS-SJC-D-00003-000-00059,27r
MS-SJC-D-00003-000-00060,27v
MS-SJC-D-00003-000-00061,28r
MS-SJC-D-00003-000-00062,28v
MS-SJC-D-00003-000-00063,29r
MS-SJC-D-00003-000-00064,29v
MS-SJC-D-00003-000-00065,30r
MS-SJC-D-00003-000-00066,30v
MS-SJC-D-00003-000-00067,31r
MS-SJC-D-00003-000-00068,31v
MS-SJC-D-00003-000-00069,32r
MS-SJC-D-00003-000-00070,32v
MS-SJC-D-00003-000-00071,33r
MS-SJC-D-00003-000-00072,33v
MS-SJC-D-00003-000-00073,34r
MS-SJC-D-00003-000-00074,34v
MS-SJC-D-00003-000-00075,35r
MS-SJC-D-00003-000-00076,35v
MS-SJC-D-00003-000-00077,36r
MS-SJC-D-00003-000-00078,36v
MS-SJC-D-00003-000-00079,37r
MS-SJC-D-00003-000-00080,37v
MS-SJC-D-00003-000-00081,38r
MS-SJC-D-00003-000-00082,38v
MS-SJC-D-00003-000-00083,39r
MS-SJC-D-00003-000-00084,39v
MS-SJC-D-00003-000-00085,40r
MS-SJC-D-00003-000-00086,40v
MS-SJC-D-00003-000-00087,41r
MS-SJC-D-00003-000-00088,41v
MS-SJC-D-00003-000-00089,42r
MS-SJC-D-00003-000-00090,42v
MS-SJC-D-00003-000-00091,43r
MS-SJC-D-00003-000-00092,43v
MS-SJC-D-00003-000-00093,44r
MS-SJC-D-00003-000-00094,44v
MS-SJC-D-00003-000-00095,45r
MS-SJC-D-00003-000-00096,45v
MS-SJC-D-00003-000-00097,46r
MS-SJC-D-00003-000-00098,46v
MS-SJC-D-00003-000-00099,47r
MS-SJC-D-00003-000-00100,47v
MS-SJC-D-00003-000-00101,48r
MS-SJC-D-00003-000-00102,48v
MS-SJC-D-00003-000-00103,49r
MS-SJC-D-00003-000-00104,49v
MS-SJC-D-00003-000-00105,50r
MS-SJC-D-00003-000-00106,50v
MS-SJC-D-00003-000-00107,51r
MS-SJC-D-00003-000-00108,51v
MS-SJC-D-00003-000-00109,52r
MS-SJC-D-00003-000-00110,52v
MS-SJC-D-00003-000-00111,53r
MS-SJC-D-00003-000-00112,53v
MS-SJC-D-00003-000-00113,54r
MS-SJC-D-00003-000-00114,54v
MS-SJC-D-00003-000-00115,55r
MS-SJC-D-00003-000-00116,55v
MS-SJC-D-00003-000-00117,56r
MS-SJC-D-00003-000-00118,56v
MS-SJC-D-00003-000-00119,57r
MS-SJC-D-00003-000-00120,57v
MS-SJC-D-00003-000-00121,58r
MS-SJC-D-00003-000-00122,58v
MS-SJC-D-00003-000-00123,59r
MS-SJC-D-00003-000-00124,59v
MS-SJC-D-00003-000-00125,60r
MS-SJC-D-00003-000-00126,60v
MS-SJC-D-00003-000-00127,61r
MS-SJC-D-00003-000-00128,61v
MS-SJC-D-00003-000-00129,62r
MS-SJC-D-00003-000-00130,62v
MS-SJC-D-00003-000-00131,63r
MS-SJC-D-00003-000-00132,63v
MS-SJC-D-00003-000-00133,64r
MS-SJC-D-00003-000-00134,64v
MS-SJC-D-00003-000-00135,65r
MS-SJC-D-00003-000-00136,65v
MS-SJC-D-00003-000-00137,66r
MS-SJC-D-00003-000-00138,66v
MS-SJC-D-00003-000-00139,67r
MS-SJC-D-00003-000-00140,67v
MS-SJC-D-00003-000-00141,68r
MS-SJC-D-00003-000-00142,68v
MS-SJC-D-00003-000-00143,69r
MS-SJC-D-00003-000-00144,69v
MS-SJC-D-00003-000-00145,70r
MS-SJC-D-00003-000-00146,70v
MS-SJC-D-00003-000-00147,71r
MS-SJC-D-00003-000-00148,71v
MS-SJC-D-00003-000-00149,72r
MS-SJC-D-00003-000-00150,72v
MS-SJC-D-00003-000-00151,73r
MS-SJC-D-00003-000-00152,73v
MS-SJC-D-00003-000-00153,74r
MS-SJC-D-00003-000-00154,74v
MS-SJC-D-00003-000-00155,75r
MS-SJC-D-00003-000-00156,75v
MS-SJC-D-00003-000-00157,76r
MS-SJC-D-00003-000-00158,76v
MS-SJC-D-00003-000-00159,77r
MS-SJC-D-00003-000-00160,77v
MS-SJC-D-00003-000-00161,78r
MS-SJC-D-00003-000-00162,78v
MS-SJC-D-00003-000-00163,79r
MS-SJC-D-00003-000-00164,79v
MS-SJC-D-00003-000-00165,80r
MS-SJC-D-00003-000-00166,80v
MS-SJC-D-00003-000-00167,81r
MS-SJC-D-00003-000-00168,81v
MS-SJC-D-00003-000-00169,82r
MS-SJC-D-00003-000-00170,82v
MS-SJC-D-00003-000-00171,83r
MS-SJC-D-00003-000-00172,83v
MS-SJC-D-00003-000-00173,84r
MS-SJC-D-00003-000-00174,84v
MS-SJC-D-00003-000-00175,85r
MS-SJC-D-00003-000-00176,85v
MS-SJC-D-00003-000-00177,86r
MS-SJC-D-00003-000-00178,86v
MS-SJC-D-00003-000-00179,87r
MS-SJC-D-00003-000-00180,87v
MS-SJC-D-00003-000-00181,88r
MS-SJC-D-00003-000-00182,88v
MS-SJC-D-00003-000-00183,89r
MS-SJC-D-00003-000-00184,89v
MS-SJC-D-00003-000-00185,90r
MS-SJC-D-00003-000-00186,90v
MS-SJC-D-00003-000-00187,91r
MS-SJC-D-00003-000-00188,91v
MS-SJC-D-00003-000-00189,92r
MS-SJC-D-00003-000-00190,92v
MS-SJC-D-00003-000-00191,93r
MS-SJC-D-00003-000-00192,93v
MS-SJC-D-00003-000-00193,94r
MS-SJC-D-00003-000-00194,94v
MS-SJC-D-00003-000-00195,95r
MS-SJC-D-00003-000-00196,95v
MS-SJC-D-00003-000-00197,96r
MS-SJC-D-00003-000-00198,96v
MS-SJC-D-00003-000-00199,97r
MS-SJC-D-00003-000-00200,97v
MS-SJC-D-00003-000-00201,98r
MS-SJC-D-00003-000-00202,98v
MS-SJC-D-00003-000-00203,99r
MS-SJC-D-00003-000-00204,99v
MS-SJC-D-00003-000-00205,100r
MS-SJC-D-00003-000-00206,100v
MS-SJC-D-00003-000-00207,101r
MS-SJC-D-00003-000-00208,101v
MS-SJC-D-00003-000-00209,102r
MS-SJC-D-00003-000-00210,102v
MS-SJC-D-00003-000-00211,103r
MS-SJC-D-00003-000-00212,103v
MS-SJC-D-00003-000-00213,104r
MS-SJC-D-00003-000-00214,104v
MS-SJC-D-00003-000-00215,105r
MS-SJC-D-00003-000-00216,105v
MS-SJC-D-00003-000-00217,106r
MS-SJC-D-00003-000-00218,106v
MS-SJC-D-00003-000-00219,107r
MS-SJC-D-00003-000-00220,107v
MS-SJC-D-00003-000-00221,108r
MS-SJC-D-00003-000-00222,108v
MS-SJC-D-00003-000-00223,109r
MS-SJC-D-00003-000-00224,109v
MS-SJC-D-00003-000-00225,110r
MS-SJC-D-00003-000-00226,110v
MS-SJC-D-00003-000-00227,111r
MS-SJC-D-00003-000-00228,111v
MS-SJC-D-00003-000-00229,112r
MS-SJC-D-00003-000-00230,112v
MS-SJC-D-00003-000-00231,113r
MS-SJC-D-00003-000-00232,113v
MS-SJC-D-00003-000-00233,114r
MS-SJC-D-00003-000-00234,114v
MS-SJC-D-00003-000-00235,115r
MS-SJC-D-00003-000-00236,115v
MS-SJC-D-00003-000-00237,116r
MS-SJC-D-00003-000-00238,116v
MS-SJC-D-00003-000-00239,117r
MS-SJC-D-00003-000-00240,117v
MS-SJC-D-00003-000-00241,118r
MS-SJC-D-00003-000-00242,118v
MS-SJC-D-00003-000-00243,119r
MS-SJC-D-00003-000-00244,119v
MS-SJC-D-00003-000-00245,120r
MS-SJC-D-00003-000-00246,120v
MS-SJC-D-00003-000-00247,121r
MS-SJC-D-00003-000-00248,121v
MS-SJC-D-00003-000-00249,122r
MS-SJC-D-00003-000-00250,122v
MS-SJC-D-00003-000-00251,123r
MS-SJC-D-00003-000-00252,123v
MS-SJC-D-00003-000-00253,124r
MS-SJC-D-00003-000-00254,124v
MS-SJC-D-00003-000-00255,125r
MS-SJC-D-00003-000-00256,125v
MS-SJC-D-00003-000-00257,126r
MS-SJC-D-00003-000-00258,126v
MS-SJC-D-00003-000-00259,127r
MS-SJC-D-00003-000-00260,127v
MS-SJC-D-00003-000-00261,128r
MS-SJC-D-00003-000-00262,128v
MS-SJC-D-00003-000-00263,129r
MS-SJC-D-00003-000-00264,129v
MS-SJC-D-00003-000-00265,130r
MS-SJC-D-00003-000-00266,130v
MS-SJC-D-00003-000-00267,131r
MS-SJC-D-00003-000-00268,131v
MS-SJC-D-00003-000-00269,132r
MS-SJC-D-00003-000-00270,132v
MS-SJC-D-00003-000-00271,133r
MS-SJC-D-00003-000-00272,133v
MS-SJC-D-00003-000-00273,134r
MS-SJC-D-00003-000-00274,134v
MS-SJC-D-00003-000-00275,135r
MS-SJC-D-00003-000-00276,135v
MS-SJC-D-00003-000-00277,[iii] recto
MS-SJC-D-00003-000-00278,[iii] verso
MS-SJC-D-00003-000-00279,inside_right_cover
MS-SJC-D-00003-000-00280,outside_right_cover
MS-SJC-D-00003-000-00281,spine
