image,label
MS-TRINITY-COLLEGE-B-00014-00019-000-00001,"front cover, outer"
MS-TRINITY-COLLEGE-B-00014-00019-000-00002,"front cover, inner"
MS-TRINITY-COLLEGE-B-00014-00019-000-00003,[i] recto
MS-TRINITY-COLLEGE-B-00014-00019-000-00004,[i] verso
MS-TRINITY-COLLEGE-B-00014-00019-000-00005,[ii] recto
MS-TRINITY-COLLEGE-B-00014-00019-000-00006,[ii] verso
MS-TRINITY-COLLEGE-B-00014-00019-000-00007,1r
MS-TRINITY-COLLEGE-B-00014-00019-000-00008,1v
MS-TRINITY-COLLEGE-B-00014-00019-000-00009,2r
MS-TRINITY-COLLEGE-B-00014-00019-000-00010,2v
MS-TRINITY-COLLEGE-B-00014-00019-000-00011,3r
MS-TRINITY-COLLEGE-B-00014-00019-000-00012,3v
MS-TRINITY-COLLEGE-B-00014-00019-000-00013,4r
MS-TRINITY-COLLEGE-B-00014-00019-000-00014,4v
MS-TRINITY-COLLEGE-B-00014-00019-000-00015,5r
MS-TRINITY-COLLEGE-B-00014-00019-000-00016,5v
MS-TRINITY-COLLEGE-B-00014-00019-000-00017,6r
MS-TRINITY-COLLEGE-B-00014-00019-000-00018,6v
MS-TRINITY-COLLEGE-B-00014-00019-000-00019,7r
MS-TRINITY-COLLEGE-B-00014-00019-000-00020,7v
MS-TRINITY-COLLEGE-B-00014-00019-000-00021,8r
MS-TRINITY-COLLEGE-B-00014-00019-000-00022,8v
MS-TRINITY-COLLEGE-B-00014-00019-000-00023,9r
MS-TRINITY-COLLEGE-B-00014-00019-000-00024,9v
MS-TRINITY-COLLEGE-B-00014-00019-000-00025,10r
MS-TRINITY-COLLEGE-B-00014-00019-000-00026,10v
MS-TRINITY-COLLEGE-B-00014-00019-000-00027,11r
MS-TRINITY-COLLEGE-B-00014-00019-000-00028,11v
MS-TRINITY-COLLEGE-B-00014-00019-000-00029,12r
MS-TRINITY-COLLEGE-B-00014-00019-000-00030,12v
MS-TRINITY-COLLEGE-B-00014-00019-000-00031,13r
MS-TRINITY-COLLEGE-B-00014-00019-000-00032,13v
MS-TRINITY-COLLEGE-B-00014-00019-000-00033,14r
MS-TRINITY-COLLEGE-B-00014-00019-000-00034,14v
MS-TRINITY-COLLEGE-B-00014-00019-000-00035,15r
MS-TRINITY-COLLEGE-B-00014-00019-000-00036,15v
