image,label
MS-TRINITY-COLLEGE-O-00008-00036-000-00001,"front cover, outer"
MS-TRINITY-COLLEGE-O-00008-00036-000-00002,"front cover, inner"
MS-TRINITY-COLLEGE-O-00008-00036-000-00003,[a] recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00004,[a] verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00005,[b] recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00006,[b] verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00007,i recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00008,i verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00009,ii recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00010,ii verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00011,iii recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00012,iii verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00013,iv recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00014,iv verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00015,v recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00016,v verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00017,vi recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00018,vi verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00019,vii recto
MS-TRINITY-COLLEGE-O-00008-00036-000-00020,vii verso
MS-TRINITY-COLLEGE-O-00008-00036-000-00021,1r
MS-TRINITY-COLLEGE-O-00008-00036-000-00022,1v
MS-TRINITY-COLLEGE-O-00008-00036-000-00023,2r
MS-TRINITY-COLLEGE-O-00008-00036-000-00024,2v
MS-TRINITY-COLLEGE-O-00008-00036-000-00025,3r
MS-TRINITY-COLLEGE-O-00008-00036-000-00026,3v
MS-TRINITY-COLLEGE-O-00008-00036-000-00027,4r
MS-TRINITY-COLLEGE-O-00008-00036-000-00028,4v
MS-TRINITY-COLLEGE-O-00008-00036-000-00029,5r
MS-TRINITY-COLLEGE-O-00008-00036-000-00030,5v
MS-TRINITY-COLLEGE-O-00008-00036-000-00031,6r
MS-TRINITY-COLLEGE-O-00008-00036-000-00032,6v
MS-TRINITY-COLLEGE-O-00008-00036-000-00033,7r
MS-TRINITY-COLLEGE-O-00008-00036-000-00034,7v
MS-TRINITY-COLLEGE-O-00008-00036-000-00035,8r
MS-TRINITY-COLLEGE-O-00008-00036-000-00036,8v
MS-TRINITY-COLLEGE-O-00008-00036-000-00037,9r
MS-TRINITY-COLLEGE-O-00008-00036-000-00038,9v
MS-TRINITY-COLLEGE-O-00008-00036-000-00039,10r
MS-TRINITY-COLLEGE-O-00008-00036-000-00040,10v
MS-TRINITY-COLLEGE-O-00008-00036-000-00041,11r
MS-TRINITY-COLLEGE-O-00008-00036-000-00042,11v
MS-TRINITY-COLLEGE-O-00008-00036-000-00043,12r
MS-TRINITY-COLLEGE-O-00008-00036-000-00044,12v
MS-TRINITY-COLLEGE-O-00008-00036-000-00045,13r
MS-TRINITY-COLLEGE-O-00008-00036-000-00046,13v
MS-TRINITY-COLLEGE-O-00008-00036-000-00047,14r
MS-TRINITY-COLLEGE-O-00008-00036-000-00048,14v
MS-TRINITY-COLLEGE-O-00008-00036-000-00049,15r
MS-TRINITY-COLLEGE-O-00008-00036-000-00050,15v
MS-TRINITY-COLLEGE-O-00008-00036-000-00051,16r
MS-TRINITY-COLLEGE-O-00008-00036-000-00052,16v
MS-TRINITY-COLLEGE-O-00008-00036-000-00053,17r
MS-TRINITY-COLLEGE-O-00008-00036-000-00054,17v
MS-TRINITY-COLLEGE-O-00008-00036-000-00055,18r
MS-TRINITY-COLLEGE-O-00008-00036-000-00056,18v
MS-TRINITY-COLLEGE-O-00008-00036-000-00057,19r
MS-TRINITY-COLLEGE-O-00008-00036-000-00058,19v
MS-TRINITY-COLLEGE-O-00008-00036-000-00059,20r
MS-TRINITY-COLLEGE-O-00008-00036-000-00060,20v
MS-TRINITY-COLLEGE-O-00008-00036-000-00061,21r
MS-TRINITY-COLLEGE-O-00008-00036-000-00062,21v
MS-TRINITY-COLLEGE-O-00008-00036-000-00063,22r
MS-TRINITY-COLLEGE-O-00008-00036-000-00064,22v
MS-TRINITY-COLLEGE-O-00008-00036-000-00065,23r
MS-TRINITY-COLLEGE-O-00008-00036-000-00066,23v
MS-TRINITY-COLLEGE-O-00008-00036-000-00067,24r
MS-TRINITY-COLLEGE-O-00008-00036-000-00068,24v
MS-TRINITY-COLLEGE-O-00008-00036-000-00069,25r
MS-TRINITY-COLLEGE-O-00008-00036-000-00070,25v
MS-TRINITY-COLLEGE-O-00008-00036-000-00071,26r
MS-TRINITY-COLLEGE-O-00008-00036-000-00072,26v
MS-TRINITY-COLLEGE-O-00008-00036-000-00073,27r
MS-TRINITY-COLLEGE-O-00008-00036-000-00074,27v
MS-TRINITY-COLLEGE-O-00008-00036-000-00075,28r
MS-TRINITY-COLLEGE-O-00008-00036-000-00076,28v
MS-TRINITY-COLLEGE-O-00008-00036-000-00077,29r
MS-TRINITY-COLLEGE-O-00008-00036-000-00078,29v
MS-TRINITY-COLLEGE-O-00008-00036-000-00079,30r
MS-TRINITY-COLLEGE-O-00008-00036-000-00080,30v
MS-TRINITY-COLLEGE-O-00008-00036-000-00081,31r
MS-TRINITY-COLLEGE-O-00008-00036-000-00082,31v
MS-TRINITY-COLLEGE-O-00008-00036-000-00083,32r
MS-TRINITY-COLLEGE-O-00008-00036-000-00084,32v
MS-TRINITY-COLLEGE-O-00008-00036-000-00085,33r
MS-TRINITY-COLLEGE-O-00008-00036-000-00086,33v
MS-TRINITY-COLLEGE-O-00008-00036-000-00087,34r
MS-TRINITY-COLLEGE-O-00008-00036-000-00088,34v
MS-TRINITY-COLLEGE-O-00008-00036-000-00089,35r
MS-TRINITY-COLLEGE-O-00008-00036-000-00090,35v
MS-TRINITY-COLLEGE-O-00008-00036-000-00091,36r
MS-TRINITY-COLLEGE-O-00008-00036-000-00092,36v
MS-TRINITY-COLLEGE-O-00008-00036-000-00093,37r
MS-TRINITY-COLLEGE-O-00008-00036-000-00094,37v
MS-TRINITY-COLLEGE-O-00008-00036-000-00095,38r
MS-TRINITY-COLLEGE-O-00008-00036-000-00096,38v
