image,label
MS-TRINITY-COLLEGE-VI-00018-00002-000-00001,"front cover, outer"
MS-TRINITY-COLLEGE-VI-00018-00002-000-00002,"front cover, inner"
MS-TRINITY-COLLEGE-VI-00018-00002-000-00003,[i] recto
MS-TRINITY-COLLEGE-VI-00018-00002-000-00004,[i] verso
MS-TRINITY-COLLEGE-VI-00018-00002-000-00005,[ii] recto
MS-TRINITY-COLLEGE-VI-00018-00002-000-00006,[ii] verso
MS-TRINITY-COLLEGE-VI-00018-00002-000-00007,1r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00008,1v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00009,2r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00010,2v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00011,3r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00012,3v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00013,4r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00014,4v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00015,5r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00016,5v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00017,6r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00018,6v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00019,7r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00020,7v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00021,8r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00022,8v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00023,9r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00024,9v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00025,10r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00026,10v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00027,11r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00028,11v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00029,12r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00030,12v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00031,13r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00032,13v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00033,14r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00034,14v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00035,15r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00036,15v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00037,16r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00038,16v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00039,17r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00040,17v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00041,18r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00042,18v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00043,19r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00044,19v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00045,20r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00046,20v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00047,21r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00048,21v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00049,22r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00050,22v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00051,23r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00052,23v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00053,24r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00054,24v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00055,25r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00056,25v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00057,26r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00058,26v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00059,27r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00060,27v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00061,28r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00062,28v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00063,29r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00064,29v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00065,30r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00066,30v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00067,31r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00068,31v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00069,32r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00070,32v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00071,33r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00072,33v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00073,34r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00074,34v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00075,35r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00076,35v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00077,36r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00078,36v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00079,37r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00080,37v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00081,38r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00082,38v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00083,39r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00084,39v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00085,40r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00086,40v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00087,41r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00088,41v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00089,42r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00090,42v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00091,43r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00092,43v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00093,44r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00094,44v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00095,45r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00096,45v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00097,46r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00098,46v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00099,47r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00100,47v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00101,48r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00102,48v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00103,49r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00104,49v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00105,50r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00106,50v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00107,51r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00108,51v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00109,52r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00110,52v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00111,53r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00112,53v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00113,54r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00114,54v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00115,55r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00116,55v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00117,56r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00118,56v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00119,57r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00120,57v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00121,58r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00122,58v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00123,59r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00124,59v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00125,60r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00126,60v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00127,61r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00128,61v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00129,62r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00130,62v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00131,63r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00132,63v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00133,64r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00134,64v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00135,65r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00136,65v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00137,66r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00138,66v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00139,67r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00140,67v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00141,68r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00142,68v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00143,69r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00144,69v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00145,70r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00146,70v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00147,71r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00148,71v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00149,72r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00150,72v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00151,73r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00152,73v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00153,74r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00154,74v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00155,75r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00156,75v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00157,76r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00158,76v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00159,77r
MS-TRINITY-COLLEGE-VI-00018-00002-000-00160,77v
MS-TRINITY-COLLEGE-VI-00018-00002-000-00161,[iii] recto
MS-TRINITY-COLLEGE-VI-00018-00002-000-00162,[iii] verso
MS-TRINITY-COLLEGE-VI-00018-00002-000-00163,"rear cover, inner"
MS-TRINITY-COLLEGE-VI-00018-00002-000-00164,"rear cover, outer"
MS-TRINITY-COLLEGE-VI-00018-00002-000-00165,[Correspondence 1]
MS-TRINITY-COLLEGE-VI-00018-00002-000-00166,[Watermarks]
MS-TRINITY-COLLEGE-VI-00018-00002-000-00167,[Correspondence 2]
