image,label
MS-PETERBOROUGH-00001-000-00001,"front cover, outer"
MS-PETERBOROUGH-00001-000-00002,"front cover, inner"
MS-PETERBOROUGH-00001-000-00003,modern endleaf: [a] recto
MS-PETERBOROUGH-00001-000-00004,modern endleaf: [a] verso
MS-PETERBOROUGH-00001-000-00005,modern endleaf: [b] recto
MS-PETERBOROUGH-00001-000-00006,modern endleaf: [b] verso
MS-PETERBOROUGH-00001-000-00007,modern endleaf: [c] recto
MS-PETERBOROUGH-00001-000-00008,modern endleaf: [c] verso
MS-PETERBOROUGH-00001-000-00009,modern endleaf: [d] recto
MS-PETERBOROUGH-00001-000-00010,modern endleaf: [d] verso
MS-PETERBOROUGH-00001-000-00011,medieval endleaf: [i] recto
MS-PETERBOROUGH-00001-000-00012,medieval endleaf: [i] verso
MS-PETERBOROUGH-00001-000-00013,medieval endleaf: [ii] recto
MS-PETERBOROUGH-00001-000-00014,medieval endleaf: [ii] verso
MS-PETERBOROUGH-00001-000-00015,medieval endleaf: [iii] recto
MS-PETERBOROUGH-00001-000-00016,medieval endleaf: [iii] verso
MS-PETERBOROUGH-00001-000-00017,medieval endleaf: [iv] recto
MS-PETERBOROUGH-00001-000-00018,medieval endleaf: [iv] verso
MS-PETERBOROUGH-00001-000-00019,medieval endleaf: [v] recto
MS-PETERBOROUGH-00001-000-00020,medieval endleaf: [v] verso
MS-PETERBOROUGH-00001-000-00021,medieval endleaf: [vi] recto
MS-PETERBOROUGH-00001-000-00022,medieval endleaf: [vi] verso
MS-PETERBOROUGH-00001-000-00023,medieval endleaf: [vii] recto
MS-PETERBOROUGH-00001-000-00024,medieval endleaf: [vii] verso
MS-PETERBOROUGH-00001-000-00025,medieval endleaf: [viii] recto
MS-PETERBOROUGH-00001-000-00026,medieval endleaf: [viii] verso
MS-PETERBOROUGH-00001-000-00027,medieval endleaf: [ix] recto
MS-PETERBOROUGH-00001-000-00028,medieval endleaf: [ix] verso
MS-PETERBOROUGH-00001-000-00029,1r
MS-PETERBOROUGH-00001-000-00030,1v
MS-PETERBOROUGH-00001-000-00031,2r
MS-PETERBOROUGH-00001-000-00032,2v
MS-PETERBOROUGH-00001-000-00033,3r
MS-PETERBOROUGH-00001-000-00034,3v
