image,label
MS-DD-00003-00051-000-00001,outside_left_cover
MS-DD-00003-00051-000-00002,inside_left_cover
MS-DD-00003-00051-000-00003,1r
MS-DD-00003-00051-000-00004,1v
MS-DD-00003-00051-000-00005,2r
MS-DD-00003-00051-000-00006,2v
MS-DD-00003-00051-000-00007,3r
MS-DD-00003-00051-000-00008,3v
MS-DD-00003-00051-000-00009,4r
MS-DD-00003-00051-000-00010,4v
MS-DD-00003-00051-000-00011,5r
MS-DD-00003-00051-000-00012,5v
MS-DD-00003-00051-000-00013,6r
MS-DD-00003-00051-000-00014,6v
MS-DD-00003-00051-000-00015,7r
MS-DD-00003-00051-000-00016,7v
MS-DD-00003-00051-000-00017,8r
MS-DD-00003-00051-000-00018,8v
MS-DD-00003-00051-000-00019,9r
MS-DD-00003-00051-000-00020,9v
MS-DD-00003-00051-000-00021,10r
MS-DD-00003-00051-000-00022,10v
MS-DD-00003-00051-000-00023,11r
MS-DD-00003-00051-000-00024,11v
MS-DD-00003-00051-000-00025,12r
MS-DD-00003-00051-000-00026,12v
MS-DD-00003-00051-000-00027,13r
MS-DD-00003-00051-000-00028,13v
MS-DD-00003-00051-000-00029,14r
MS-DD-00003-00051-000-00030,14v
MS-DD-00003-00051-000-00031,15r
MS-DD-00003-00051-000-00032,15v
MS-DD-00003-00051-000-00033,16r
MS-DD-00003-00051-000-00034,16v
MS-DD-00003-00051-000-00035,17r
MS-DD-00003-00051-000-00036,17v
MS-DD-00003-00051-000-00037,18r
MS-DD-00003-00051-000-00038,18v
MS-DD-00003-00051-000-00039,19r
MS-DD-00003-00051-000-00040,19v
MS-DD-00003-00051-000-00041,20r
MS-DD-00003-00051-000-00042,20v
MS-DD-00003-00051-000-00043,21r
MS-DD-00003-00051-000-00044,21v
MS-DD-00003-00051-000-00045,22r
MS-DD-00003-00051-000-00046,22v
MS-DD-00003-00051-000-00047,23r
MS-DD-00003-00051-000-00048,23v
MS-DD-00003-00051-000-00049,24r
MS-DD-00003-00051-000-00050,24v
MS-DD-00003-00051-000-00051,25r
MS-DD-00003-00051-000-00052,25v
MS-DD-00003-00051-000-00053,26r
MS-DD-00003-00051-000-00054,26v
MS-DD-00003-00051-000-00055,27r
MS-DD-00003-00051-000-00056,27v
MS-DD-00003-00051-000-00057,28r
MS-DD-00003-00051-000-00058,28v
MS-DD-00003-00051-000-00059,29r
MS-DD-00003-00051-000-00060,29v
MS-DD-00003-00051-000-00061,30r
MS-DD-00003-00051-000-00062,30v
MS-DD-00003-00051-000-00063,31r
MS-DD-00003-00051-000-00064,31v
MS-DD-00003-00051-000-00065,32r
MS-DD-00003-00051-000-00066,32v
MS-DD-00003-00051-000-00067,33r
MS-DD-00003-00051-000-00068,33v
MS-DD-00003-00051-000-00069,34r
MS-DD-00003-00051-000-00070,34v
MS-DD-00003-00051-000-00071,35r
MS-DD-00003-00051-000-00072,35v
MS-DD-00003-00051-000-00073,36r
MS-DD-00003-00051-000-00074,36v
MS-DD-00003-00051-000-00075,37r
MS-DD-00003-00051-000-00076,37v
MS-DD-00003-00051-000-00077,38r
MS-DD-00003-00051-000-00078,38v
MS-DD-00003-00051-000-00079,39r
MS-DD-00003-00051-000-00080,39v
MS-DD-00003-00051-000-00081,40r
MS-DD-00003-00051-000-00082,40v
MS-DD-00003-00051-000-00083,41r
MS-DD-00003-00051-000-00084,41v
MS-DD-00003-00051-000-00085,42r
MS-DD-00003-00051-000-00086,42v
MS-DD-00003-00051-000-00087,43r
MS-DD-00003-00051-000-00088,43v
MS-DD-00003-00051-000-00089,44r
MS-DD-00003-00051-000-00090,44v
MS-DD-00003-00051-000-00091,45r
MS-DD-00003-00051-000-00092,45v
MS-DD-00003-00051-000-00093,46r
MS-DD-00003-00051-000-00094,46v
MS-DD-00003-00051-000-00095,47r
MS-DD-00003-00051-000-00096,47v
MS-DD-00003-00051-000-00097,48r
MS-DD-00003-00051-000-00098,48v
MS-DD-00003-00051-000-00099,49r
MS-DD-00003-00051-000-00100,49v
MS-DD-00003-00051-000-00101,50r
MS-DD-00003-00051-000-00102,50v
MS-DD-00003-00051-000-00103,51r
MS-DD-00003-00051-000-00104,51v
MS-DD-00003-00051-000-00105,52r
MS-DD-00003-00051-000-00106,52v
MS-DD-00003-00051-000-00107,53r
MS-DD-00003-00051-000-00108,53v
MS-DD-00003-00051-000-00109,54r
MS-DD-00003-00051-000-00110,54v
MS-DD-00003-00051-000-00111,55r
MS-DD-00003-00051-000-00112,55v
MS-DD-00003-00051-000-00113,56r
MS-DD-00003-00051-000-00114,56v
MS-DD-00003-00051-000-00115,57r
MS-DD-00003-00051-000-00116,57v
MS-DD-00003-00051-000-00117,58r
MS-DD-00003-00051-000-00118,58v
MS-DD-00003-00051-000-00119,59r
MS-DD-00003-00051-000-00120,59v
MS-DD-00003-00051-000-00121,60r
MS-DD-00003-00051-000-00122,60v
MS-DD-00003-00051-000-00123,61r
MS-DD-00003-00051-000-00124,61v
MS-DD-00003-00051-000-00125,62r
MS-DD-00003-00051-000-00126,62v
MS-DD-00003-00051-000-00127,63r
MS-DD-00003-00051-000-00128,63v
MS-DD-00003-00051-000-00129,64r
MS-DD-00003-00051-000-00130,64v
MS-DD-00003-00051-000-00131,65r
