image,label
MS-GG-00004-00018-000-00001,"front cover, outer"
MS-GG-00004-00018-000-00002,"front cover, inner"
MS-GG-00004-00018-000-00003,[i] recto
MS-GG-00004-00018-000-00004,[i] verso
MS-GG-00004-00018-000-00005,[ii] recto
MS-GG-00004-00018-000-00006,[ii] verso
MS-GG-00004-00018-000-00007,1r
MS-GG-00004-00018-000-00008,1v
MS-GG-00004-00018-000-00009,2r
MS-GG-00004-00018-000-00010,2v
MS-GG-00004-00018-000-00011,3r
MS-GG-00004-00018-000-00012,3v
MS-GG-00004-00018-000-00013,4r
MS-GG-00004-00018-000-00014,4v
MS-GG-00004-00018-000-00015,5r
MS-GG-00004-00018-000-00016,5v
MS-GG-00004-00018-000-00017,6r
MS-GG-00004-00018-000-00018,6v
MS-GG-00004-00018-000-00019,7r
MS-GG-00004-00018-000-00020,7v
MS-GG-00004-00018-000-00021,8r
MS-GG-00004-00018-000-00022,8v
MS-GG-00004-00018-000-00023,9r
MS-GG-00004-00018-000-00024,9v
MS-GG-00004-00018-000-00025,10r
MS-GG-00004-00018-000-00026,10v
MS-GG-00004-00018-000-00027,11r
MS-GG-00004-00018-000-00028,11v
MS-GG-00004-00018-000-00029,12r
MS-GG-00004-00018-000-00030,12v
MS-GG-00004-00018-000-00031,13r
MS-GG-00004-00018-000-00032,13v
MS-GG-00004-00018-000-00033,14r
MS-GG-00004-00018-000-00034,14v
MS-GG-00004-00018-000-00035,15r
MS-GG-00004-00018-000-00036,15v
MS-GG-00004-00018-000-00037,16r
MS-GG-00004-00018-000-00038,16v
MS-GG-00004-00018-000-00039,17r
MS-GG-00004-00018-000-00040,17v
MS-GG-00004-00018-000-00041,18r
MS-GG-00004-00018-000-00042,18v
MS-GG-00004-00018-000-00043,19r
MS-GG-00004-00018-000-00044,19v
MS-GG-00004-00018-000-00045,20r
MS-GG-00004-00018-000-00046,20v
MS-GG-00004-00018-000-00047,21r
MS-GG-00004-00018-000-00048,21v
MS-GG-00004-00018-000-00049,22r
MS-GG-00004-00018-000-00050,22v
MS-GG-00004-00018-000-00051,23r
MS-GG-00004-00018-000-00052,23v
MS-GG-00004-00018-000-00053,24r
MS-GG-00004-00018-000-00054,24v
MS-GG-00004-00018-000-00055,25r
MS-GG-00004-00018-000-00056,25v
MS-GG-00004-00018-000-00057,26r
MS-GG-00004-00018-000-00058,26v
MS-GG-00004-00018-000-00059,27r
MS-GG-00004-00018-000-00060,27v
MS-GG-00004-00018-000-00061,28r
MS-GG-00004-00018-000-00062,28v
MS-GG-00004-00018-000-00063,29r
MS-GG-00004-00018-000-00064,29v
MS-GG-00004-00018-000-00065,30r
MS-GG-00004-00018-000-00066,30v
MS-GG-00004-00018-000-00067,31r
MS-GG-00004-00018-000-00068,31v
MS-GG-00004-00018-000-00069,32r
MS-GG-00004-00018-000-00070,32v
MS-GG-00004-00018-000-00071,33r
MS-GG-00004-00018-000-00072,33v
MS-GG-00004-00018-000-00073,34r
MS-GG-00004-00018-000-00074,34v
MS-GG-00004-00018-000-00075,35r
MS-GG-00004-00018-000-00076,35v
MS-GG-00004-00018-000-00077,36r
MS-GG-00004-00018-000-00078,36v
MS-GG-00004-00018-000-00079,37r
MS-GG-00004-00018-000-00080,37v
MS-GG-00004-00018-000-00081,38r
MS-GG-00004-00018-000-00082,38v
MS-GG-00004-00018-000-00083,39r
MS-GG-00004-00018-000-00084,39v
MS-GG-00004-00018-000-00085,40r
MS-GG-00004-00018-000-00086,40v
MS-GG-00004-00018-000-00087,41r
MS-GG-00004-00018-000-00088,41v
MS-GG-00004-00018-000-00089,42r
MS-GG-00004-00018-000-00090,42v
MS-GG-00004-00018-000-00091,43r
MS-GG-00004-00018-000-00092,43v
MS-GG-00004-00018-000-00093,44r
MS-GG-00004-00018-000-00094,44v
MS-GG-00004-00018-000-00095,45r
MS-GG-00004-00018-000-00096,45v
MS-GG-00004-00018-000-00097,46r
MS-GG-00004-00018-000-00098,46v
MS-GG-00004-00018-000-00099,47r
MS-GG-00004-00018-000-00100,47v
MS-GG-00004-00018-000-00101,48r
MS-GG-00004-00018-000-00102,48v
MS-GG-00004-00018-000-00103,49r
MS-GG-00004-00018-000-00104,49v
MS-GG-00004-00018-000-00105,50r
MS-GG-00004-00018-000-00106,50v
MS-GG-00004-00018-000-00107,51r
MS-GG-00004-00018-000-00108,51v
MS-GG-00004-00018-000-00109,52r
MS-GG-00004-00018-000-00110,52v
MS-GG-00004-00018-000-00111,53r
MS-GG-00004-00018-000-00112,53v
MS-GG-00004-00018-000-00113,54r
MS-GG-00004-00018-000-00114,54v
MS-GG-00004-00018-000-00115,55r
MS-GG-00004-00018-000-00116,55v
MS-GG-00004-00018-000-00117,56r
MS-GG-00004-00018-000-00118,56v
MS-GG-00004-00018-000-00119,57r
MS-GG-00004-00018-000-00120,57v
MS-GG-00004-00018-000-00121,58r
MS-GG-00004-00018-000-00122,58v
MS-GG-00004-00018-000-00123,59r
MS-GG-00004-00018-000-00124,59v
MS-GG-00004-00018-000-00125,60r
MS-GG-00004-00018-000-00126,60v
MS-GG-00004-00018-000-00127,61r
MS-GG-00004-00018-000-00128,61v
MS-GG-00004-00018-000-00129,62r
MS-GG-00004-00018-000-00130,62v
MS-GG-00004-00018-000-00131,63r
MS-GG-00004-00018-000-00132,63v
MS-GG-00004-00018-000-00133,64r
MS-GG-00004-00018-000-00134,64v
MS-GG-00004-00018-000-00135,65r
