image,label
MS-HH-00006-00011-000-00001,"left cover, outer"
MS-HH-00006-00011-000-00002,"left cover, inner"
MS-HH-00006-00011-000-00003,i recto
MS-HH-00006-00011-000-00004,i verso
MS-HH-00006-00011-000-00005,1r
MS-HH-00006-00011-000-00006,1v
MS-HH-00006-00011-000-00007,2r
MS-HH-00006-00011-000-00008,2v
MS-HH-00006-00011-000-00009,3r
MS-HH-00006-00011-000-00010,3v
MS-HH-00006-00011-000-00011,4r
MS-HH-00006-00011-000-00012,4v
MS-HH-00006-00011-000-00013,5r
MS-HH-00006-00011-000-00014,5v
MS-HH-00006-00011-000-00015,6r
MS-HH-00006-00011-000-00016,6v
MS-HH-00006-00011-000-00017,7r
MS-HH-00006-00011-000-00018,7v
MS-HH-00006-00011-000-00019,8r
MS-HH-00006-00011-000-00020,8v
MS-HH-00006-00011-000-00021,9r
MS-HH-00006-00011-000-00022,9v
MS-HH-00006-00011-000-00023,10r
MS-HH-00006-00011-000-00024,10v
MS-HH-00006-00011-000-00025,11r
MS-HH-00006-00011-000-00026,11v
MS-HH-00006-00011-000-00027,12r
MS-HH-00006-00011-000-00028,12v
MS-HH-00006-00011-000-00029,13r
MS-HH-00006-00011-000-00030,13v
MS-HH-00006-00011-000-00031,14r
MS-HH-00006-00011-000-00032,14v
MS-HH-00006-00011-000-00033,15r
MS-HH-00006-00011-000-00034,15v
MS-HH-00006-00011-000-00035,16r
MS-HH-00006-00011-000-00036,16v
MS-HH-00006-00011-000-00037,17r
MS-HH-00006-00011-000-00038,17v
MS-HH-00006-00011-000-00039,18r
MS-HH-00006-00011-000-00040,18v
MS-HH-00006-00011-000-00041,19r
MS-HH-00006-00011-000-00042,19v
MS-HH-00006-00011-000-00043,20r
MS-HH-00006-00011-000-00044,20v
MS-HH-00006-00011-000-00045,21r
MS-HH-00006-00011-000-00046,21v
MS-HH-00006-00011-000-00047,22r
MS-HH-00006-00011-000-00048,22v
MS-HH-00006-00011-000-00049,23r
MS-HH-00006-00011-000-00050,23v
MS-HH-00006-00011-000-00051,24r
MS-HH-00006-00011-000-00052,24v
MS-HH-00006-00011-000-00053,25r
