image,label
MS-II-00003-00021-000-00001,"front cover, outer"
MS-II-00003-00021-000-00002,"front cover, inner"
MS-II-00003-00021-000-00003,[i] recto
MS-II-00003-00021-000-00004,[i] verso
MS-II-00003-00021-000-00005,[ii] recto
MS-II-00003-00021-000-00006,[ii] verso
MS-II-00003-00021-000-00007,1:1r
MS-II-00003-00021-000-00008,1:1v
MS-II-00003-00021-000-00009,1:2r
MS-II-00003-00021-000-00010,1:2v
MS-II-00003-00021-000-00011,1:3r
MS-II-00003-00021-000-00012,1:3v
MS-II-00003-00021-000-00013,1:4r
MS-II-00003-00021-000-00014,1:4v
MS-II-00003-00021-000-00015,1:5r
MS-II-00003-00021-000-00016,1:5v
MS-II-00003-00021-000-00017,1:6r
MS-II-00003-00021-000-00018,1:6v
MS-II-00003-00021-000-00019,1:7r
MS-II-00003-00021-000-00020,1:7v
MS-II-00003-00021-000-00021,1:8r
MS-II-00003-00021-000-00022,1:8v
MS-II-00003-00021-000-00023,2:9r
MS-II-00003-00021-000-00024,2:9v
MS-II-00003-00021-000-00025,2:10r
MS-II-00003-00021-000-00026,2:10v
MS-II-00003-00021-000-00027,2:11r
MS-II-00003-00021-000-00028,2:11v
MS-II-00003-00021-000-00029,2:12r
MS-II-00003-00021-000-00030,2:12v
MS-II-00003-00021-000-00031,2:13r
MS-II-00003-00021-000-00032,2:13v
MS-II-00003-00021-000-00033,2:14r
MS-II-00003-00021-000-00034,2:14v
MS-II-00003-00021-000-00035,2:15r
MS-II-00003-00021-000-00036,2:15v
MS-II-00003-00021-000-00037,2:16r
MS-II-00003-00021-000-00038,2:16v
MS-II-00003-00021-000-00039,2:17r
MS-II-00003-00021-000-00040,2:17v
MS-II-00003-00021-000-00041,2:18r
MS-II-00003-00021-000-00042,2:18v
MS-II-00003-00021-000-00043,2:19r
MS-II-00003-00021-000-00044,2:19v
MS-II-00003-00021-000-00045,2:20r
MS-II-00003-00021-000-00046,2:20v
MS-II-00003-00021-000-00047,2:21r
MS-II-00003-00021-000-00048,2:21v
MS-II-00003-00021-000-00049,2:22r
MS-II-00003-00021-000-00050,2:22v
MS-II-00003-00021-000-00051,2:23r
MS-II-00003-00021-000-00052,2:23v
MS-II-00003-00021-000-00053,2:24r
MS-II-00003-00021-000-00054,2:24v
MS-II-00003-00021-000-00055,2:25r
MS-II-00003-00021-000-00056,2:25v
MS-II-00003-00021-000-00057,2:26r
MS-II-00003-00021-000-00058,2:26v
MS-II-00003-00021-000-00059,2:27r
MS-II-00003-00021-000-00060,2:27v
MS-II-00003-00021-000-00061,2:28r
MS-II-00003-00021-000-00062,2:28v
MS-II-00003-00021-000-00063,2:29r
MS-II-00003-00021-000-00064,2:29v
MS-II-00003-00021-000-00065,2:30r
MS-II-00003-00021-000-00066,2:30v
MS-II-00003-00021-000-00067,2:31r
MS-II-00003-00021-000-00068,2:31v
MS-II-00003-00021-000-00069,2:32r
MS-II-00003-00021-000-00070,2:32v
MS-II-00003-00021-000-00071,2:33r
MS-II-00003-00021-000-00072,2:33v
MS-II-00003-00021-000-00073,2:34r
MS-II-00003-00021-000-00074,2:34v
MS-II-00003-00021-000-00075,2:35r
MS-II-00003-00021-000-00076,2:35v
MS-II-00003-00021-000-00077,2:36r
MS-II-00003-00021-000-00078,2:36v
MS-II-00003-00021-000-00079,2:37r
MS-II-00003-00021-000-00080,2:37v
MS-II-00003-00021-000-00081,2:38r
MS-II-00003-00021-000-00082,2:38v
MS-II-00003-00021-000-00083,2:39r
MS-II-00003-00021-000-00084,2:39v
MS-II-00003-00021-000-00085,2:40r
MS-II-00003-00021-000-00086,2:40v
MS-II-00003-00021-000-00087,2:41r
MS-II-00003-00021-000-00088,2:41v
MS-II-00003-00021-000-00089,2:42r
MS-II-00003-00021-000-00090,2:42v
MS-II-00003-00021-000-00091,2:43r
MS-II-00003-00021-000-00092,2:43v
MS-II-00003-00021-000-00093,2:44r
MS-II-00003-00021-000-00094,2:44v
MS-II-00003-00021-000-00095,2:45r
MS-II-00003-00021-000-00096,2:45v
MS-II-00003-00021-000-00097,2:46r
MS-II-00003-00021-000-00098,2:46v
MS-II-00003-00021-000-00099,2:47r
MS-II-00003-00021-000-00100,2:47v
MS-II-00003-00021-000-00101,2:48r
MS-II-00003-00021-000-00102,2:48v
MS-II-00003-00021-000-00103,2:49r
MS-II-00003-00021-000-00104,2:49v
MS-II-00003-00021-000-00105,2:50r
MS-II-00003-00021-000-00106,2:50v
MS-II-00003-00021-000-00107,2:51r
MS-II-00003-00021-000-00108,2:51v
MS-II-00003-00021-000-00109,2:52r
MS-II-00003-00021-000-00110,2:52v
MS-II-00003-00021-000-00111,2:53r
MS-II-00003-00021-000-00112,2:53v
MS-II-00003-00021-000-00113,2:54r
MS-II-00003-00021-000-00114,2:54v
MS-II-00003-00021-000-00115,2:55r
MS-II-00003-00021-000-00116,2:55v
MS-II-00003-00021-000-00117,2:56r
MS-II-00003-00021-000-00118,2:56v
MS-II-00003-00021-000-00119,2:57r
MS-II-00003-00021-000-00120,2:57v
MS-II-00003-00021-000-00121,2:58r
MS-II-00003-00021-000-00122,2:58v
MS-II-00003-00021-000-00123,2:59r
MS-II-00003-00021-000-00124,2:59v
MS-II-00003-00021-000-00125,2:60r
MS-II-00003-00021-000-00126,2:60v
MS-II-00003-00021-000-00127,2:61r
MS-II-00003-00021-000-00128,2:61v
MS-II-00003-00021-000-00129,2:62r
MS-II-00003-00021-000-00130,2:62v
MS-II-00003-00021-000-00131,2:63r
MS-II-00003-00021-000-00132,2:63v
MS-II-00003-00021-000-00133,2:64r
MS-II-00003-00021-000-00134,2:64v
MS-II-00003-00021-000-00135,2:65r
MS-II-00003-00021-000-00136,2:65v
MS-II-00003-00021-000-00137,2:66r
MS-II-00003-00021-000-00138,2:66v
MS-II-00003-00021-000-00139,2:67r
MS-II-00003-00021-000-00140,2:67v
MS-II-00003-00021-000-00141,2:68r
MS-II-00003-00021-000-00142,2:68v
MS-II-00003-00021-000-00143,2:69r
MS-II-00003-00021-000-00144,2:69v
MS-II-00003-00021-000-00145,2:70r
MS-II-00003-00021-000-00146,2:70v
MS-II-00003-00021-000-00147,2:71r
MS-II-00003-00021-000-00148,2:71v
MS-II-00003-00021-000-00149,2:72r
MS-II-00003-00021-000-00150,2:72v
MS-II-00003-00021-000-00151,2:73r
MS-II-00003-00021-000-00152,2:73v
MS-II-00003-00021-000-00153,2:74r
MS-II-00003-00021-000-00154,2:74v
MS-II-00003-00021-000-00155,2:75r
MS-II-00003-00021-000-00156,2:75v
MS-II-00003-00021-000-00157,2:76r
MS-II-00003-00021-000-00158,2:76v
MS-II-00003-00021-000-00159,2:77r
MS-II-00003-00021-000-00160,2:77v
MS-II-00003-00021-000-00161,2:78r
MS-II-00003-00021-000-00162,2:78v
MS-II-00003-00021-000-00163,2:79r
MS-II-00003-00021-000-00164,2:79v
MS-II-00003-00021-000-00165,2:80r
MS-II-00003-00021-000-00166,2:80v
MS-II-00003-00021-000-00167,2:81r
MS-II-00003-00021-000-00168,2:81v
MS-II-00003-00021-000-00169,2:82r
MS-II-00003-00021-000-00170,2:82v
MS-II-00003-00021-000-00171,2:83r
MS-II-00003-00021-000-00172,2:83v
MS-II-00003-00021-000-00173,2:84r
MS-II-00003-00021-000-00174,2:84v
MS-II-00003-00021-000-00175,2:85r
MS-II-00003-00021-000-00176,2:85v
MS-II-00003-00021-000-00177,2:86r
