image,label
MS-LL-00002-00002-000-00001,"front cover, outer"
MS-LL-00002-00002-000-00002,"front cover, inner"
MS-LL-00002-00002-000-00003,[i] recto
MS-LL-00002-00002-000-00004,[i] verso
MS-LL-00002-00002-000-00005,1r
MS-LL-00002-00002-000-00006,1v
MS-LL-00002-00002-000-00007,2r
MS-LL-00002-00002-000-00008,2v
MS-LL-00002-00002-000-00009,3r
MS-LL-00002-00002-000-00010,3v
MS-LL-00002-00002-000-00011,4r
MS-LL-00002-00002-000-00012,4v
MS-LL-00002-00002-000-00013,5r
MS-LL-00002-00002-000-00014,5v
MS-LL-00002-00002-000-00015,6r
MS-LL-00002-00002-000-00016,6v
MS-LL-00002-00002-000-00017,7r
MS-LL-00002-00002-000-00018,7v
MS-LL-00002-00002-000-00019,8r
MS-LL-00002-00002-000-00020,8v
MS-LL-00002-00002-000-00021,9r
MS-LL-00002-00002-000-00022,9v
MS-LL-00002-00002-000-00023,10r
MS-LL-00002-00002-000-00024,10v
MS-LL-00002-00002-000-00025,11r
MS-LL-00002-00002-000-00026,11v
MS-LL-00002-00002-000-00027,12r
MS-LL-00002-00002-000-00028,12v
MS-LL-00002-00002-000-00029,13r
MS-LL-00002-00002-000-00030,13v
MS-LL-00002-00002-000-00031,14r
MS-LL-00002-00002-000-00032,14v
MS-LL-00002-00002-000-00033,15r
MS-LL-00002-00002-000-00034,15v
MS-LL-00002-00002-000-00035,16r
MS-LL-00002-00002-000-00036,16v
MS-LL-00002-00002-000-00037,17r
MS-LL-00002-00002-000-00038,17v
MS-LL-00002-00002-000-00039,18r
MS-LL-00002-00002-000-00040,18v
MS-LL-00002-00002-000-00041,19r
MS-LL-00002-00002-000-00042,19v
MS-LL-00002-00002-000-00043,20r
MS-LL-00002-00002-000-00044,20v
MS-LL-00002-00002-000-00045,21r
MS-LL-00002-00002-000-00046,21v
MS-LL-00002-00002-000-00047,22r
MS-LL-00002-00002-000-00048,22v
MS-LL-00002-00002-000-00049,23r
MS-LL-00002-00002-000-00050,23v
MS-LL-00002-00002-000-00051,24r
MS-LL-00002-00002-000-00052,24v
MS-LL-00002-00002-000-00053,25r
MS-LL-00002-00002-000-00054,25v
MS-LL-00002-00002-000-00055,26r
MS-LL-00002-00002-000-00056,26v
MS-LL-00002-00002-000-00057,27r
MS-LL-00002-00002-000-00058,27v
MS-LL-00002-00002-000-00059,28r
MS-LL-00002-00002-000-00060,28v
MS-LL-00002-00002-000-00061,29r
MS-LL-00002-00002-000-00062,29v
MS-LL-00002-00002-000-00063,30r
MS-LL-00002-00002-000-00064,30v
MS-LL-00002-00002-000-00065,31r
MS-LL-00002-00002-000-00066,31v
MS-LL-00002-00002-000-00067,32r
MS-LL-00002-00002-000-00068,32v
MS-LL-00002-00002-000-00069,33r
MS-LL-00002-00002-000-00070,33v
MS-LL-00002-00002-000-00071,34r
MS-LL-00002-00002-000-00072,34v
MS-LL-00002-00002-000-00073,35r
MS-LL-00002-00002-000-00074,35v
MS-LL-00002-00002-000-00075,36r
MS-LL-00002-00002-000-00076,36v
MS-LL-00002-00002-000-00077,37r
MS-LL-00002-00002-000-00078,37v
MS-LL-00002-00002-000-00079,38r
MS-LL-00002-00002-000-00080,38v
MS-LL-00002-00002-000-00081,39r
MS-LL-00002-00002-000-00082,39v
MS-LL-00002-00002-000-00083,40r
MS-LL-00002-00002-000-00084,40v
MS-LL-00002-00002-000-00085,41r
MS-LL-00002-00002-000-00086,41v
MS-LL-00002-00002-000-00087,42r
MS-LL-00002-00002-000-00088,42v
MS-LL-00002-00002-000-00089,43r
MS-LL-00002-00002-000-00090,43v
MS-LL-00002-00002-000-00091,44r
MS-LL-00002-00002-000-00092,44v
MS-LL-00002-00002-000-00093,45r
MS-LL-00002-00002-000-00094,45v
MS-LL-00002-00002-000-00095,46r
MS-LL-00002-00002-000-00096,46v
MS-LL-00002-00002-000-00097,47r
MS-LL-00002-00002-000-00098,47v
MS-LL-00002-00002-000-00099,48r
MS-LL-00002-00002-000-00100,48v
MS-LL-00002-00002-000-00101,49r
MS-LL-00002-00002-000-00102,49v
MS-LL-00002-00002-000-00103,50r
MS-LL-00002-00002-000-00104,50v
MS-LL-00002-00002-000-00105,51r
MS-LL-00002-00002-000-00106,51v
MS-LL-00002-00002-000-00107,52r
MS-LL-00002-00002-000-00108,52v
