section,heading,xpath,auth_file,auth_xpath_1,auth_xpath_2,comment
metadata,file URL,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/@xml:id, "" "")",,,,"Unique identifier for the catalogue file, given in the xml:id attribute to the TEI root element."
metadata,catalogue,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""catalogue""][not(@subtype=""alt"")], "" "")",,,,"The catalogue in which the manuscript is recorded, given in an idno element within the publicationStmt element which has @type ""catalogue"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,collection,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""collection""][not(@subtype=""alt"")], "" "")",,,,"The collection in which the manuscript is recorded, given in an idno element within the publicationStmt element which has @type ""collection"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,msID,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""][not(@subtype=""alt"")], "" "")",,,,"The identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""msID"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,shelfmark,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier/tei:idno[@type=""shelfmark""][not(@subtype=""alt"")], "" "")",,,,"The shelfmark given to the manuscript in an idno element within the publicationStmt element which has @type ""shelfmark"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,crArk,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""crArk""][not(@subtype=""alt"")], "" "")",,,,"The crArk identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""crArk"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,ieArk,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""ieArk""][not(@subtype=""alt"")], "" "")",,,,"The ieArk identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""ieArk"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,SCN,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""SCN""][not(@subtype=""alt"")], "" "")",,,,"The Summary Catalogue Number given to the manuscript in an idno element within the publicationStmt element which has @type ""SCN"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,TM,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""TM""][not(@subtype=""alt"")], "" "")",,,,"The Trismegistos reference given to the manuscript in an idno element within the publicationStmt element which has @type ""TM"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,PR,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""PR""][not(@subtype=""alt"")], "" "")",,,,"The Papyrological Reference given to the manuscript in an idno element within the publicationStmt element which has @type ""PR"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,diktyon,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""diktyon""][not(@subtype=""alt"")], "" "")",,,,"The Diktyon number given to the manuscript in an idno element within the publicationStmt element which has @type ""diktyon"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
part,part,"(//tei:msDesc|//tei:msPart)/string-join(tei:msIdentifier//tei:idno[@type=""part""][not(@subtype=""alt"")], "" "")",,,,"The identifier given to the manuscript part in an idno element which has @type ""part"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
part,part ID,"(//tei:msDesc|//tei:msPart)/string-join(tei:msIdentifier//tei:idno[@type=""part""][not(@subtype=""alt"")], "" "")",,,,The identifier given to the manuscript part in the xml:id attribute to either the msDesc or msPart element applicable for this row.
part,part type,"(//tei:msDesc|//tei:msPart)/string-join(@type, "" "")",,,,"Details of the state of the part, if this differs from the broader form of the manuscript (see column AD). Common values include 'cutting', 'fragment', and 'roll-codex'."
record history and sources,record history,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/tei:adminInfo/tei:recordHist/string-join(.//text()[not(ancestor::tei:bibl)], """"), ""; ""))",,,,"Details of the history of the catalogue record extracted from the recordHist element, excluding bibliographic references."
record history and sources,source bibliography,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/tei:adminInfo/tei:recordHist//tei:bibl/string-join(.//text(), """"), ""; ""))",,,,"Bibliographic references contained in the history of the catalogue record given in the recordHist element, concatenated with a semi-colon where necessary."
record history and sources,most recent change,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:teiHeader/tei:revisionDesc/tei:change[1]/@when, """")",,,,"The most recent change to the catalogue record, as given in the revisionDesc element."
availability,availability statement,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/tei:adminInfo/tei:availability[not(@status=""restricted"")]//text(), "" ""))",,,,"Information about the availability of the manuscript or manuscript part, as given within the availability element in adminInfo."
surrogates,full digital facsimile(s),"(//tei:msDesc|//tei:msPart)/boolean(tei:additional/tei:surrogates//tei:bibl[@subtype=""full""][@type=""digital-facsimile""])",,,,"A boolean (true/false) value expressing whether or not a full digital facsimile exists for this manuscript or manuscript part. A value only generally appears for full manuscripts, rather than manuscript parts."
surrogates,full digital facsimile URI(s),"(//tei:msDesc|//tei:msPart)/string-join(tei:additional/tei:surrogates//tei:bibl[@subtype=""full""][@type=""digital-facsimile""]/tei:ref/@target, "" "")",,,,"The URI(s) for the full digital facsimile(s) for this manuscript part, if at least one exists."
surrogates,partial digital facsimile(s),"(//tei:msDesc|//tei:msPart)/boolean(tei:additional/tei:surrogates//tei:bibl[@subtype=""partial""][@type=""digital-facsimile""])",,,,"A boolean (true/false) value expressing whether or not a partial digital facsimile exists for this manuscript or manuscript part. A value only generally appears for full manuscripts, rather than manuscript parts."
