binding URI,file URL,msID,shelfmark,collection,binding,condition,decoNote,binding contemporary,binding not after,binding not before,binding height,binding height max,binding height min,binding width,binding width max,binding width min,binding depth,binding depth max,binding depth min,binding unit
MS_Add_A_105_binding_1,manuscript_4,MS_Add_A_105,MS. Add. A. 105,Add A,"White leather on boards, wormeaten and worn, clasps lost, contemporary.",,,true,,,9.5,9.5,9.5,6.125,6.125,6.125,,,,in
MS_Add_A_106_binding_1,manuscript_5,MS_Add_A_106,MS. Add. A. 106,Add A,"Brown leather on boards, ruled with lines, with leather thong, contemporary.",,,true,,,,,,,,,,,,
MS_Add_A_107_binding_1,manuscript_6,MS_Add_A_107,MS. Add. A. 107,Add A,"Faded pink leather on boards, worn, with one leather clasp (out of two) lost, contemporary.",,,true,,,10.375,10.375,10.375,7.5,7.5,7.5,,,,in
MS_Add_A_109_binding_1,manuscript_8,MS_Add_A_109,MS. Add. A. 109,Add A,"Red (?) whittawed leather over boards (s. xv ex?), rebacked.",,,,1500,1475,,,,,,,,,,
MS_Add_A_11_binding_1,manuscript_9,MS_Add_A_11,MS. Add. A. 11,Add A,"Green whittawed half-leather over boards (s. xv), with bosses, rebacked.",,,,1500,1400,,,,,,,,,,
MS_Add_A_171_binding_1,manuscript_26,MS_Add_A_171,MS. Add. A. 171,Add A,"Brown calf with gold ornament, etc., about 1830-40 (?), with coloured capitals.",,,,,,,,,,,,,,,
MS_Add_A_188_binding_1,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,"17th-century German binding. Sewn on three bands laced into wood (beech?) boards, covered with red leather, the back cover formerly with corner-pieces and a large centre-piece and clasp fittings (all now missing), the front cover with simple blind fillets; the spine with lozenge-shaped gilt ornaments; the edges of the leaves gilt. Extensively repaired.",,,,1700,1600,,,,,,,,,,
MS_Add_A_189_binding_1,manuscript_35,MS_Add_A_189,MS. Add. A. 189,Add A,"Gold-tooled leather, late 16th cent., rebacked.",,,,1600,1575,,,,,,,,,,
MS_Add_A_197_binding_1,manuscript_37,MS_Add_A_197,MS. Add. A. 197,Add A,"Blind-stamped white whittawed leather over boards, 14th cent. (?), rebacked.",,,,1400,1300,,,,,,,,,,
MS_Add_A_2_binding_1,manuscript_39,MS_Add_A_2,MS. Add. A. 2,Add A,"Red leather on boards with blind tooling, brass bosses and fore-edge clasp fittings (15th century)",,,,1500,1400,7.25,7.25,7.25,5,5,5,,,,in
MS_Add_A_26_binding_1,manuscript_46,MS_Add_A_26,MS. Add. A. 26,Add A,"Contemporary, German. Red leather on boards, with plain ruled lines and five brass bosses on each side. Strap-and-pin fastenings closing on the front board, lost. A later title (?) on the spine (illegible) followed by shelfmark (?), perhaps '173'.",,,true,,,,,,,,,,,,
MS_Add_A_263_binding_1,manuscript_47,MS_Add_A_263,MS. Add. A. 263,Add A,"Contemporary binding. Sewn on four pairs of twisted parchment bands, laced and pegged separately into horizontal channels in wood (beech?) boards, covered with undecorated tawed(?) skin, overlapping the edges of the leaves; two strap-and-pin clasps (closing from the back to the front board); the front cover inscribed with a shelfmark in bold 15th-century characters ‘Y.22.’; the top of the spine inscribed ‘Legenda S. | Thom & S. Aug. S. Ambr.’ (worn; readings uncertain; cf. fols. 49–54). ae",,,true,,,,,,,,,,,,
MS_Add_A_280_binding_1,manuscript_51,MS_Add_A_280,MS. Add. A. 280,Add A,Late 19th or early 20th century Bodleian binding of blue cloth over pasteboards; the spine with the shelfmark and ‘Speculum amatorum mundi – 1459.’ in gilt capitals.,,,,1900,1800,,,,,,,,,,
MS_Add_A_286_binding_1,manuscript_54,MS_Add_A_286,MS. Add. A. 286,Add A,"Three-quarter dark blue leather and black cloth over pasteboards; the spine with title in gilt capitals ‘Vita Christi | rubricated by | Hugo de Werna’.A 17th/18th(?)-century paper label, perhaps removed from the spine of the previous binding and now stuck to the front pastedown, is inscribed ‘Vita Chri | rhythmice | descripta’.Inscribed ‘The whole of the parchment and paper which composed the binding of this volume is in a blue envelope among the printed fragments [dated:] 1885’; these pieces had been mislaid by the time the SC was published.",,,,1900,1880,,,,,,,,,,
MS_Add_A_288_binding_1,manuscript_55,MS_Add_A_288,MS. Add. A. 288,Add A,"Blind-stamped leather over boards, late 16th century.",,,,1600,1575,,,,,,,,,,
MS_Add_A_30_binding_1,manuscript_57,MS_Add_A_30,MS. Add. A. 30,Add A,19th century binding.,,,,1900,1800,,,,,,,,,,
MS_Add_A_92_binding_1,manuscript_76,MS_Add_A_92,MS. Add. A. 92,Add A,The gutter margin has holes from earlier stab-stitching. Now apparently sewn on two bands and bound in thin pasteboards covered with comb-marbled paper; the spine with a green paper label inscribed ‘Luthers eigne Hand’. Kept in a dark blue leather slipcase lettered in gilt capitals ‘M. Luther. Autograph.’ on the spine and on one side.,,,,,1700,,,,,,,,,,
MS_Add_B_59_binding_1,manuscript_88,MS_Add_B_59,MS. Add. B. 59,Add B,"Stamped leather on boards with metal clasp fittings marked S, but clasp lost, contemporary Italian work, rebacked and mended recent.ly.",,,true,,,,,,,,,,,,
MS_Add_B_62_binding_1,manuscript_91,MS_Add_B_62,MS. Add. B. 62,Add B,"Blind-stamped leather, late 16th century, rebacked.",,,,1600,1575,,,,,,,,,,
MS_Add_C_108_binding_1,manuscript_94,MS_Add_C_108,MS. Add. C. 108,Add C,"Bound in brown cloth, matching and , probably for Bliss by David Nutt, of Winchester (see MS. Add. C. 110); the spine stamped in gilt with the shelfmark and ‘MSS | I–II’. The edges of the leaves speckled red.MS. Add. C. 109MS. Add. C. 110",,,,1868,1840,,,,,,,,,,
MS_Add_C_143_binding_1,manuscript_108,MS_Add_C_143,MS. Add. C. 143,Add C,"Red morocco with gold ornament, English of about A.D. 1800.",,,,,,,,,,,,,,,
MS_Add_C_15_binding_1,manuscript_114,MS_Add_C_15,MS. Add. C. 15,Add C,"Modern binding of blind-tooled calf: probably rebound for the Bodleian, c. 1860. At the Libri sale the manuscript was described as 'in the original oak binding'.",,,,1900,1800,,,,,,,,,,
