measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Add_A_10_measure_1,manuscript_1,MS_Add_A_10,MS. Add. A. 10,Add A,,MS_Add_A_10,,ii + 109 leaves 6.875 5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_100_measure_1,manuscript_2,MS_Add_A_100,MS. Add. A. 100,Add A,,MS_Add_A_100,,26 lines,,220,220,220,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,145,145,110,110,110,mm,,,,,,,,,,,,
MS_Add_A_105_measure_1,manuscript_4,MS_Add_A_105,MS. Add. A. 105,Add A,,MS_Add_A_105,,2 cols.,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_107_measure_1,manuscript_6,MS_Add_A_107,MS. Add. A. 107,Add A,,MS_Add_A_107,,iv + 185 ('171') leaves 10.375 7.5,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_109_measure_1,manuscript_8,MS_Add_A_109,MS. Add. A. 109,Add A,,MS_Add_A_109,,"2 columns, , 30–40 lines.202 55–65",,285,285,285,215,215,215,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_11_measure_1,manuscript_9,MS_Add_A_11,MS. Add. A. 11,Add A,,MS_Add_A_11,,"34 lines, 1 col.",,200,200,200,142,142,142,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,85–90,90,85,mm,,,,,,,,,,,,
MS_Add_A_165_measure_1,manuscript_19,MS_Add_A_165,MS. Add. A. 165,Add A,,MS_Add_A_165,,20 long lines.,,215,215,215,145,145,145,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,145–55,155,145,80–90,90,80,mm,,,,,,,,,,,,
MS_Add_A_166_measure_1,manuscript_20,MS_Add_A_166,MS. Add. A. 166,Add A,,MS_Add_A_166,,"1 col., 22 lines.",,197,197,197,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,c. 75–80,80,75,mm,,,,,,,,,,,,
MS_Add_A_167_measure_1,manuscript_21,MS_Add_A_167,MS. Add. A. 167,Add A,,MS_Add_A_167,,"1 col., c. 19–27 lines.",,210,210,210,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,155–60,160,155,90–5,95,90,mm,,,,,,,,,,,,
MS_Add_A_169_measure_1,manuscript_23,MS_Add_A_169,MS. Add. A. 169,Add A,,MS_Add_A_169,,"1 col., 18 lines.",,200,200,200,137,137,137,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,70,70,70,mm,,,,,,,,,,,,
MS_Add_A_173_measure_1,manuscript_28,MS_Add_A_173,MS. Add. A. 173,Add A,,MS_Add_A_173,,Text in 25 lines,,221,221,221,155,155,155,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,190,190,120,120,120,mm,,,,,,,,,,,,
MS_Add_A_187_measure_1,manuscript_33,MS_Add_A_187,MS. Add. A. 187,Add A,,MS_Add_A_187,,"1 col., c. 35–8 lines.",,225,225,225,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,150,95,95,95,mm,,,,,,,,,,,,
MS_Add_A_188_measure_2,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,,MS_Add_A_188-endleaves,fragment,"Main text in two narrow columns, surrounded by the gloss on all sides; the number of lines not readily apparent due to cropping at top, bottom, and across the middle.",,238,238,238,157,157,157,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_measure_1,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,,MS_Add_A_188,,Ruled in plummet for 28 lines; ruled space 195 115,,237,237,237,160,160,160,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_189_measure_1,manuscript_35,MS_Add_A_189,MS. Add. A. 189,Add A,,MS_Add_A_189,,"1 col., 24 lines.",,220,220,220,160,160,160,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,165,165,115,115,115,mm,,,,,,,,,,,,
