measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,layout or extent,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Add_A_10_measure_1,manuscript_1,MS_Add_A_10,MS. Add. A. 10,Add A,,MS_Add_A_10,,tei:extent,ii + 109 leaves 6.875 5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_100_measure_1,manuscript_2,MS_Add_A_100,MS. Add. A. 100,Add A,,MS_Add_A_100,,tei:extent,v + 76 fols. 220 150 145 110,,220,220,220,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,145,145,110,110,110,mm,,,,,,,,,,,,
MS_Add_A_100_measure_2,manuscript_2,MS_Add_A_100,MS. Add. A. 100,Add A,,MS_Add_A_100,,tei:layout,26 lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,,,,,,,,,,,,,,,,,,,
MS_Add_A_105_measure_1,manuscript_4,MS_Add_A_105,MS. Add. A. 105,Add A,,MS_Add_A_105,,tei:extent,95 leaves 9.5 6.125,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_105_measure_2,manuscript_4,MS_Add_A_105,MS. Add. A. 105,Add A,,MS_Add_A_105,,tei:layout,2 cols.,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_107_measure_1,manuscript_6,MS_Add_A_107,MS. Add. A. 107,Add A,,MS_Add_A_107,,tei:extent,iv + 185 ('171') leaves 10.375 7.5,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_109_measure_1,manuscript_8,MS_Add_A_109,MS. Add. A. 109,Add A,,MS_Add_A_109,,tei:extent,i + 70 fols. 285 215,,285,285,285,215,215,215,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_109_measure_2,manuscript_8,MS_Add_A_109,MS. Add. A. 109,Add A,,MS_Add_A_109,,tei:layout,"2 columns, , 30–40 lines.202 55–65",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,202,202,202,55–65,65,55,mm,30 40,40,30,,,,,,,,,,,,,,,,,,,
MS_Add_A_11_measure_2,manuscript_9,MS_Add_A_11,MS. Add. A. 11,Add A,,MS_Add_A_11,,tei:layout,"34 lines, 1 col.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,34,34,34,,,,,,,,,,,,,,,,,,,
MS_Add_A_11_measure_1,manuscript_9,MS_Add_A_11,MS. Add. A. 11,Add A,,MS_Add_A_11,,tei:extent,i+93 fols. 200 142 140 85–90,,200,200,200,142,142,142,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,85–90,90,85,mm,,,,,,,,,,,,
MS_Add_A_165_measure_2,manuscript_19,MS_Add_A_165,MS. Add. A. 165,Add A,,MS_Add_A_165,,tei:layout,20 long lines.,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,20,20,20,,,,,,,,,,,,,,,,,,,
MS_Add_A_165_measure_1,manuscript_19,MS_Add_A_165,MS. Add. A. 165,Add A,,MS_Add_A_165,,tei:extent,126 fols. 215 145 145–55 80–90,,215,215,215,145,145,145,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,145–55,155,145,80–90,90,80,mm,,,,,,,,,,,,
MS_Add_A_166_measure_2,manuscript_20,MS_Add_A_166,MS. Add. A. 166,Add A,,MS_Add_A_166,,tei:layout,"1 col., 22 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,22,22,22,,,,,,,,,,,,,,,,,,,
MS_Add_A_166_measure_1,manuscript_20,MS_Add_A_166,MS. Add. A. 166,Add A,,MS_Add_A_166,,tei:extent,96 fols. 197 140 140 c. 75–80,,197,197,197,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,c. 75–80,80,75,mm,,,,,,,,,,,,
MS_Add_A_167_measure_1,manuscript_21,MS_Add_A_167,MS. Add. A. 167,Add A,,MS_Add_A_167,,tei:extent,192 fols. 210 150 155–60 90–5,,210,210,210,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,155–60,160,155,90–5,95,90,mm,,,,,,,,,,,,
MS_Add_A_167_measure_2,manuscript_21,MS_Add_A_167,MS. Add. A. 167,Add A,,MS_Add_A_167,,tei:layout,"1 col., c. 19–27 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,19 27,27,19,,,,,,,,,,,,,,,,,,,
MS_Add_A_169_measure_1,manuscript_23,MS_Add_A_169,MS. Add. A. 169,Add A,,MS_Add_A_169,,tei:extent,110 fols. 200 137 140 c. 70,,200,200,200,137,137,137,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,70,70,70,mm,,,,,,,,,,,,
MS_Add_A_169_measure_2,manuscript_23,MS_Add_A_169,MS. Add. A. 169,Add A,,MS_Add_A_169,,tei:layout,"1 col., 18 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,18,18,18,,,,,,,,,,,,,,,,,,,
MS_Add_A_173_measure_1,manuscript_28,MS_Add_A_173,MS. Add. A. 173,Add A,,MS_Add_A_173,,tei:extent,vi + 7 + 52 + ii fol. 221 155 190 120,,221,221,221,155,155,155,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,190,190,120,120,120,mm,,,,,,,,,,,,
MS_Add_A_173_measure_2,manuscript_28,MS_Add_A_173,MS. Add. A. 173,Add A,,MS_Add_A_173,,tei:layout,Text in 25 lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,25,25,25,,,,,,,,,,,,,,,,,,,
MS_Add_A_187_measure_1,manuscript_33,MS_Add_A_187,MS. Add. A. 187,Add A,,MS_Add_A_187,,tei:extent,70 fols. 225 150 150 95,,225,225,225,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,150,95,95,95,mm,,,,,,,,,,,,
MS_Add_A_187_measure_2,manuscript_33,MS_Add_A_187,MS. Add. A. 187,Add A,,MS_Add_A_187,,tei:layout,"1 col., c. 35–8 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,35 38,38,35,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_measure_3,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,,MS_Add_A_188-endleaves,fragment,tei:extent,most of one folio 238 157,,238,238,238,157,157,157,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_measure_4,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,,MS_Add_A_188-endleaves,fragment,tei:layout,"Main text in two narrow columns, surrounded by the gloss on all sides; the number of lines not readily apparent due to cropping at top, bottom, and across the middle.",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
