file URL,msID,shelfmark,collection,part,part type,summary,deco description,type,locus,from,to,date,when,notAfter,notBefore,calendar,scribe name(s),scribe code(s),signer name(s),signer code(s),artist name(s),artist code(s),patron name(s),patron code(s),dedicatee name(s),dedicatee code(s),former owner name(s),former owner code(s),donor name(s),donor code(s),other person name(s),other person code(s),artist name(s),artist code(s),other org name(s),other org code(s),placeName(s),place code(s),bibl(s),ref(s),ref URI(s)
manuscript_2,,,Add A,MS_Add_A_100,,,"Good initial (rubbed). Written with calligraphic flourishes, by at the college of . ( i. 671) Vincentius Marun St. Martial, in Avignon Pächt and Alexander",decInit,,,,,,,,,Vincentius Marun,person_1230,,,,,,,,,,,,,,,,,"St. Martial, in Avignon",org_116,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_6,,,Add A,MS_Add_A_107,,,Good initials. ( iii. 586) Pächt and Alexander,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_6,,,Add A,MS_Add_A_107,,,Good borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_8,,,Add A,MS_Add_A_109,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_8,,,Add A,MS_Add_A_109,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_9,,,Add A,MS_Add_A_11,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,,Fine border.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander",miniature Armoured king kneeling in prayer.,miniature,fol. 43r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander",miniature Two musicians playing pipes.,miniature,fol. 52v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,,Fine initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander",miniature Bearded man in long robe pointing to the text.,miniature,fol. 50r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander",miniature Nine philosophers seated in a cave; above - figures of two hermits and two monks.,miniature,fol. 1v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander","miniature Petrarch and Laura, seated between two trees by a stream.",miniature,fol. 2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander",miniature Bearded man in long robe pointing to the text.,miniature,fol. 52r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_16,,,Add A,MS_Add_A_15,,"Fine miniatures (coloured drawings). ( ii. 555, pl. LII)Pächt and Alexander",miniature Bearded man in long robe pointing to the text.,miniature,fol. 56r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_17,,,Add A,MS_Add_A_163,,,"Penwork initials. Good penwork initials, fol. I, perhaps added 15th century. ( ii. 197) Pächt and Alexander",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_19,,,Add A,MS_Add_A_165,,,Ink initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_20,,,Add A,MS_Add_A_166,,,Spaces left for initials.,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_20,,,Add A,MS_Add_A_166,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_21,,,Add A,MS_Add_A_167,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_21,,,Add A,MS_Add_A_167,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_23,,,Add A,MS_Add_A_169,,,Spaces left for other initials.,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_23,,,Add A,MS_Add_A_169,,,Coloured initial.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_25,,,Add A,MS_Add_A_170,,,"drawing, lower margin Human half-figure, emerging from flames, supporting a scroll with catchwords.",drawing,fol. 16v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_25,,,Add A,MS_Add_A_170,,,initial U Floral designs.,decInit,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_26,,,Add A,MS_Add_A_171,,,Penwork initials. ( ii. 183) Pächt and Alexander,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_26,,,Add A,MS_Add_A_171,,,"ink drawings, left and right margins Virtues and Vices: two human figures (one seated, wearing a crown and holding a sceptre, another standing, holding a torch (?)), and two smaller figures of demons.",drawing,fol. 49r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_28,,,Add A,MS_Add_A_173,,,"Titles and some rubric in red, often entirely rubbed out, others in black (fol. 41)",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_28,,,Add A,MS_Add_A_173,,,Simple pen initials. ( i. 423) Pächt and Alexander,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_29,,,Add A,MS_Add_A_174,,,Good initials. Entries up to 1473. Humanistic script. ( ii. 508) Pächt and Alexander,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_32,,,Add A,MS_Add_A_185,,,Important miniatures.,miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_32,,,Add A,MS_Add_A_185,,,Important borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_32,,,Add A,MS_Add_A_185,,,"Important initials. See also MSS. Rawl. liturg. f. 9 and Rawl. liturg. e. 35. ( i. 669, pl. LII) Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_33,,,Add A,MS_Add_A_187,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_33,,,Add A,MS_Add_A_187,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_34,,,Add A,MS_Add_A_188,,,Two-line initials in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_34,,,Add A,MS_Add_A_188,,,"One fine large foliate initial drawn in brown ink, embellished with red (fol. 1r).",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_34,,,Add A,MS_Add_A_188-endleaves,fragment,"Closely related to Vienna, ÖNB, Cod. 2063 and a large group of other MSS. ( ii, no. 122)Pächt and Alexander","(fol. 168r, borders): The Creation of light & dark, heaven & earth, etc.?: Christ holds a gold platter-like disk with concentric circles and areas of highlight and shade, flanked by two prophets, in a landscape; below is the Creation of Animals(?): Christ holding and blessing(?) two birds held on his hand.",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_34,,,Add A,MS_Add_A_188-endleaves,fragment,"Closely related to Vienna, ÖNB, Cod. 2063 and a large group of other MSS. ( ii, no. 122)Pächt and Alexander",(fol. 168r) Historiated initial ‘R ’ with a half-figure of a young man with his hand to his face. ex pacificus,histInit,(fol. 168r),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_34,,,Add A,MS_Add_A_188-endleaves,fragment,"Closely related to Vienna, ÖNB, Cod. 2063 and a large group of other MSS. ( ii, no. 122)Pächt and Alexander","(miniature, fol. i verso) An enthroned pope (Gregory IX?), with a prostrate bishop touching his feet; another bishop, two tonsured clerics, and two others, stand behind. To the right, a teacher seated with a book on his desk; in front of him students seated on benches at desks with open books, two tonsured. Below is a wide shallow panel with two bishops and a lawyer, flanked by two tonsured scribes writing at desks.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_35,,,Add A,MS_Add_A_189,,,"(fol. ii verso) miniature: St. Mark, with lion, presenting a volume to the Doge (a bearded man in red velvet edged with fur); Christ in a cloud above, with loincloth and banner, in rays of light.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_35,,,Add A,MS_Add_A_189,,,"(fol. iii recto) miniature: Venice as a finely dressed woman with sceptre, seated on a lion's back; two seated female figures: Justice with sword and scales, and another allegorical figure with a torch and putto.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_35,,,Add A,MS_Add_A_189,,,"Fine miniatures on a separate bifolium, fols. ii, iii. By the same hand as MS. Selden Supra 68, related to the style of . ( ii. 1018, pl. LXXXIV) Giorgio Colonna Pächt and Alexander",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_36,,,Add A,MS_Add_A_196,,,Borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_36,,,Add A,MS_Add_A_196,,,Initials. ( iii. 1205) Pächt and Alexander,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_37,,,Add A,MS_Add_A_197,,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_37,,,Add A,MS_Add_A_197,,,"Some flourished initials (fols. 8 , 13 , 21, 22 , 56 , 73, 79 , etc.) v v v v v",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_37,,,Add A,MS_Add_A_197,,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_39,,,Add A,MS_Add_A_2,,ii. 820 Pächt and Alexander,diagram Geometric diagram with walled city and boat on water,diagram,fol. 10r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_42,,,Add A,MS_Add_A_22-part2,,,Fine historiated initials.,histInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_42,,,Add A,MS_Add_A_22-part2,,,"Fine initials. ( i. 566, pl. XLII) Pächt and Alexander",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_42,,,Add A,MS_Add_A_22-part3,,,Good initial. ( i. 625) Pächt and Alexander,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
manuscript_42,,,Add A,MS_Add_A_22-part2,,,Fine borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manuscript_42,,,Add A,MS_Add_A_22-part2,,,"Fine minatures, some rubbed.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
