section,heading,auth_file,xpath,separator,comment
identifiers,work ID,works,"//tei:bibl[@xml:id]/string-join(@xml:id, "" "")",,
identifiers,work URI (JONAS),works,"//tei:bibl[@xml:id]/string-join(.//tei:list[@type=""links""]//tei:ref[normalize-space(tei:title)=""JONAS""]/@target, "" "")",,
identifiers,work URI (Mirabile),works,"//tei:bibl[@xml:id]/string-join(.//tei:list[@type=""links""]//tei:ref[normalize-space(tei:title)=""Mirabile""]/@target, "" "")",,
identifiers,work URI (Pinakes),works,"//tei:bibl[@xml:id]/string-join(.//tei:list[@type=""links""]//tei:ref[normalize-space(tei:title)=""Pinakes""]/@target, "" "")",,
identifiers,work URI (VIAF),works,"//tei:bibl[@xml:id]/string-join(.//tei:list[@type=""links""]//tei:ref[normalize-space(tei:title)=""VIAF""]/@target, "" "")",,
identifiers,other work ref(s),works,"//tei:bibl[@xml:id]/string-join(.//tei:list[@type=""links""]//tei:ref[not(.//tei:title[normalize-space(.)=""JONAS"" or normalize-space(.)=""Mirabile"" or normalize-space(.)=""Pinakes"" or normalize-space(.)=""VIAF""])]/tei:title/string-join(.,""""), ""; "")",,
identifiers,other work URI(s),works,"//tei:bibl[@xml:id]/string-join(.//tei:list[@type=""links""]//tei:ref[not(.//tei:title[normalize-space(.)=""JONAS"" or normalize-space(.)=""Mirabile"" or normalize-space(.)=""Pinakes"" or normalize-space(.)=""VIAF""])]/@target, "" "")",,
title,title (uniform),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:title[@type=""uniform""]/string-join(., """"), ""; ""))",,
title,title(s) (variant),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:title[@type=""variant""]/string-join(., """"), ""; ""))",,
title,title(s) (ms),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:title[@type=""ms""]/string-join(., """"), ""; ""))",,
title,title(s) (normalised ms),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:title[@type=""normalised_ms""]/string-join(., """"), ""; ""))",,
title,title(s) (normalised),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:title[@type=""normalised""]/string-join(., """"), ""; ""))",,
author,author name,works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:author/string-join(., """"), ""; ""))",,
author,affiliation,works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:author/tei:affiliation/string-join(., """"), ""; ""))",,
author,role(s),works,"//tei:bibl[@xml:id]/string-join(tei:author/@role, "" "")",,
author,author ID,works,"//tei:bibl[@xml:id]/string-join(distinct-values(tei:author/@key), "" "")",,
