section,heading,xpath,auth_file,auth_section,auth_col,separator,comment
metadata,file URL,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/@xml:id, """")",,,,,"Unique identifier for the catalogue file, given in the xml:id attribute to the TEI root element."
metadata,catalogue,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""catalogue""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The catalogue in which the manuscript is recorded, given in an idno element within the publicationStmt element which has @type ""catalogue"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,collection,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""collection""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The collection in which the manuscript is recorded, given in an idno element within the publicationStmt element which has @type ""collection"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,msID,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""msID"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,shelfmark,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier/tei:idno[@type=""shelfmark""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The shelfmark given to the manuscript in an idno element within the publicationStmt element which has @type ""shelfmark"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,crArk,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""crArk""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The crArk identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""crArk"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,ieArk,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""ieArk""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The ieArk identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""ieArk"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,SCN,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""SCN""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The Summary Catalogue Number given to the manuscript in an idno element within the publicationStmt element which has @type ""SCN"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,TM,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""TM""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The Trismegistos reference given to the manuscript in an idno element within the publicationStmt element which has @type ""TM"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,PR,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""PR""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The Papyrological Reference given to the manuscript in an idno element within the publicationStmt element which has @type ""PR"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,diktyon,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier//tei:idno[@type=""diktyon""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The Diktyon number given to the manuscript in an idno element within the publicationStmt element which has @type ""diktyon"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
part,name,"(//tei:msDesc|//tei:msPart)/string-join(tei:msIdentifier//tei:idno[@type=""part""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,"The identifier given to the manuscript part in an idno element which has @type ""part"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
part,ID,"(//tei:msDesc|//tei:msPart)/string-join(@xml:id, "" "")",,,,,
part,part type,"(//tei:msDesc|//tei:msPart)/string-join(@type, "" "")",,,,,"Details of the state of the part, if this differs from the broader form of the manuscript (see column AD). Common values include 'cutting', 'fragment', and 'roll-codex'."
record,history,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join((tei:additional/tei:adminInfo/tei:recordHist|ancestor::tei:msDesc/tei:additional/tei:adminInfo/tei:recordHist)/string-join(., """"), ""; ""))",,,,,"Details of the history of the catalogue record extracted from the recordHist element, excluding bibliographic references."
record,source,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join((tei:additional/tei:adminInfo/tei:recordHist//tei:bibl|ancestor::tei:msDesc/tei:additional/tei:adminInfo/tei:recordHist//tei:bibl)/string-join(., """"), ""; ""))",,,,,"Bibliographic references contained in the history of the catalogue record given in the recordHist element, concatenated with a semi-colon where necessary."
record,most recent change,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:teiHeader/tei:revisionDesc/tei:change[1]/@when, """")",,,,,"The most recent change to the catalogue record, as given in the revisionDesc element."
availability,availability statement,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/tei:adminInfo/tei:availability[not(@status=""restricted"")]/string-join(.,""""), "" ""))",,,,,"Information about the availability of the manuscript or manuscript part, as given within the availability element in adminInfo."
surrogates,full digital facsimile(s),"(//tei:msDesc|//tei:msPart)/boolean((.|ancestor::tei:msDesc)/tei:additional/tei:surrogates//tei:bibl[@subtype=""full""][@type=""digital-facsimile""])",,,,,"A boolean (true/false) value expressing whether or not a full digital facsimile exists for this manuscript or manuscript part. A value only generally appears for full manuscripts, rather than manuscript parts."
surrogates,full digital facsimile URI(s),"(//tei:msDesc|//tei:msPart)/string-join((.|ancestor::tei:msDesc)/tei:additional/tei:surrogates//tei:bibl[@subtype=""full""][@type=""digital-facsimile""]/tei:ref/@target, "" "")",,,,,"The URI(s) for the full digital facsimile(s) for this manuscript part, if at least one exists."
surrogates,partial digital facsimile(s),"(//tei:msDesc|//tei:msPart)/boolean(tei:additional/tei:surrogates//tei:bibl[@subtype=""partial""][@type=""digital-facsimile""])",,,,,"A boolean (true/false) value expressing whether or not a partial digital facsimile exists for this manuscript or manuscript part. A value only generally appears for full manuscripts, rather than manuscript parts."
surrogates,partial digital facsimile URI(s),"(//tei:msDesc|//tei:msPart)/string-join(tei:additional/tei:surrogates//tei:bibl[@subtype=""partial""][@type=""digital-facsimile""]/tei:ref/@target, "" "")",,,,,"The URI(s) for the partial digital facsimile(s) for this manuscript part, if at least one exists."
printed resources,bibliography,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""PRINT"" or @type=""OTHER""]|tei:listBibl/tei:listBibl[@type=""PRINT"" or @type=""OTHER""])//tei:bibl/string-join(., "" ""), ""; ""))",,,,,"Printed resources associated with the manuscript or manuscript part within the additional element, with @type either ""PRINT"" or ""OTHER""."
printed resources,URI(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""PRINT"" or @type=""OTHER""]|tei:listBibl/tei:listBibl[@type=""PRINT"" or @type=""OTHER""])//tei:bibl/tei:ref/@target, "" ""))",,,,,"URIs for the printed resources associated with the manuscript or manuscript part within the additional element, with @type either ""PRINT"" or ""OTHER""."
printed resources,ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""PRINT"" or @type=""OTHER""]|tei:listBibl/tei:listBibl[@type=""PRINT"" or @type=""OTHER""])//tei:bibl/@xml:id, "" ""))",,,,,"Identifiers for the printed resources associated with the manuscript or manuscript part within the additional element, with @type either ""PRINT"" or ""OTHER""."
online resources,JONAS URI,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl[contains(.,""JONAS"")]//tei:ref/@target, "" ""))",,,,,Entries in the JONAS database associated with the manuscript or manuscript part within the additional element.
online resources,bibliography,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl[not(contains(.,""JONAS""))]/string-join(., "" ""), ""; ""))",,,,,"Other online resources associated with the manuscript or manuscript part within the additional element, with @type either ""WEB"" or ""ONLINE""."
online resources,URI(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:additional/(tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""]|tei:listBibl/tei:listBibl[@type=""INTERNET"" or @type=""WEB"" or @type=""ONLINE""])//tei:bibl[not(contains(.,""JONAS""))]//tei:ref/@target, "" ""))",,,,,"URIs for the other online resources associated with the manuscript or manuscript part within the additional element, with @type either ""WEB"" or ""ONLINE""."
codicology,form,"(//tei:msDesc|//tei:msPart)/string-join((tei:physDesc/tei:objectDesc/@form|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/@form)[last()], "" "")",,,,,"The physical form of the manuscript or manuscript part, taken from the @form attribute of the objectDesc element. Common values include codex, roll, sheet, booklet, quire, faltbuch, roll-codex, other, and unknown."
codicology,condition,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(./tei:physDesc/tei:objectDesc/tei:supportDesc/tei:condition/string-join(.,""""), "" ""))",,,,,"The condition of the manuscript or manuscript part, contained within the condition element in the support description."
codicology,support,"(//tei:msDesc|//tei:msPart)/string-join((tei:physDesc/tei:objectDesc/tei:supportDesc/@material|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/tei:supportDesc/@material)[last()], "" "")",,,,,"The primary support material of the manuscript or manuscript part, contained within the @material attribute to the support description. Common value include perg (for parchment/vellum), chart (for any kind of paper), papyrus, palm (for palm leaves), mixed (for paper and parchment), other, and unknown."
codicology,watermark,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:support/tei:watermark/string-join(.,""""), "" ""))",,,,,"Details of any watermark(s) on the support of the manuscript or manuscript part, extracted from the watermark element within the support description."
codicology,extent,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent/string-join(.//text()[not(ancestor::tei:dimensions)], """"), ""; ""))",,,,,"Details of the manuscript or manuscript part's extent, usually in folios. Note that the format in which this information is presented can vary, but the usual format is for counts of post-medieval endleaves to be given in Roman numerals, and counts of medieval leaves to be given in Arabic numerals."
codicology,collation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/string-join((.//text()[not(parent::tei:hi[contains(@rend,""superscript"")])], .//tei:hi[contains(@rend,""superscript"")]/concat(""("", ., "")"")), """"), ""; ""))",,,,,"Details of the manuscript or manuscript part's collation, extracted from the collation element within the support description."
codicology,main structure,"(//tei:msDesc|//tei:msPart)/string-join(tokenize(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/@mainStructures, "" ""), "" "")[1], """")",,,,,"Details of the most common collation structure (that is, the number of leaves per quire) in the manuscript or manuscript part."
codicology,structures,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/@mainStructures, "" "")",,,,,"Details of the collation structures (that is, the number of leaves per quire) that together account for at least 80% of the manuscript or manuscript part. Where multiple values are included (separated by a space), the first value is taken to be the most frequent."
codicology,additions,(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:additions),,,,,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains additions which have been recorded in an additions element within the physical description. More granular details of these additions are included in a separate table.
codicology,foliation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:foliation/string-join(.,""""), "" ""))",,,,,"Details of the manuscript or manuscript part's foliation, as given in the foliation element of the support description. Note that the format in which this information is presented can vary, but the usual format is for counts of post-medieval endleaves to be given in Roman numerals, and counts of medieval leaves to be given in Arabic numerals. Multiple rounds of foliation may be contained within the same field, and sometimes writing media are recorded."
palaeography,hands,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:handDesc/@hands, "" "")",,,,,"The total number of hands contained within the manuscript or manuscript part, as given in the @hands attribute to the handDesc element within the physical description."
palaeography,script,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote/@script), "" "")",,,,,"Details of the script types found within the manuscript or manuscript part, contained within the @script element to individual handNote elements within the hand description. Common values include Anglicana, capitalsSquare, capitalsRustic, uncial, halfUncial, minusculeInsular, minusculeVernacular (for English vernacular minuscule or Anglo-Saxon minuscule), minusculeCaroline (for both English and continental variants), minuscule (for other forms e.g. Beneventan, Luxeuil, etc.), protogothic (‘praegothica’), textualisNorthern, textualisSouthern, semitextualis, cursivaAntiquior (‘anglicana’, ‘anglicana formata‘, etc.), cursiva (‘cancelleresca’, ‘bastarda’, ‘lettre batarde’, ‘secretary’), hybrida (‘semihybrida’, ‘loopless bastarda’, ‘fractura’, ‘mercantesca’), gothicoAntiqua (‘fere-humanistica’, ‘gothico-humanistica’), humanisticaTextualis, humanisticaSemitextualis, and humanisticaCursiva."
palaeography,main script,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote[not(@scope=""minor"")]/@script), "" "")",,,,,"Details of the main script type found within the manuscript or manuscript part, contained within the @script element to individual handNote elements within the hand description which do not also contain @scope with value ""minor"". Common values include Anglicana, capitalsSquare, capitalsRustic, uncial, halfUncial, minusculeInsular, minusculeVernacular (for English vernacular minuscule or Anglo-Saxon minuscule), minusculeCaroline (for both English and continental variants), minuscule (for other forms e.g. Beneventan, Luxeuil, etc.), protogothic (‘praegothica’), textualisNorthern, textualisSouthern, semitextualis, cursivaAntiquior (‘anglicana’, ‘anglicana formata‘, etc.), cursiva (‘cancelleresca’, ‘bastarda’, ‘lettre batarde’, ‘secretary’), hybrida (‘semihybrida’, ‘loopless bastarda’, ‘fractura’, ‘mercantesca’), gothicoAntiqua (‘fere-humanistica’, ‘gothico-humanistica’), humanisticaTextualis, humanisticaSemitextualis, and humanisticaCursiva."
palaeography,execution,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote/@execution), "" "")",,,,,"Details of the execution of the hand(s) in the manuscript or manuscript part contained within the @execution element to individual handNote elements within the hand description. Common values include formata, libraria, and currens."
palaeography,medium,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:handDesc/tei:handNote/@medium), "" "")",,,,,"Details of the the tint or type of ink or other writing medium of the hand(s) in the manuscript or manuscript part contained within the @medium attribute to individual handNote elements within the hand description. Common values include ink, pencil, and colours (e.g. brown)."
music,notation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:musicNotation/string-join(.,""""), "" ""))",,,,,"Details of any musical notation found within the manuscript or manuscript part, as encoded within the musicNotation element in the physical description."
decoration,type(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:decoDesc/tei:decoNote/@type), "" "")",,,,,Details of the types of decorations which have been encoded within individual decoNote elements within the decoration description. When multiple values appear they are separated by a space.
binding,overview,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/*[not(self::tei:condition or self::tei:decoNote)]/string-join(.,""""), "" ""))",,,,,"Details of the binding of the manuscript or manuscript part as given in the binding element within the binding description, excluding details of the binding's condition and any decoration, which are given in columns BH and BJ respectively."
binding,condition,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/tei:condition/string-join(.,""""), "" ""))",,,,,Details of the condition of the binding of the manuscript or manuscript part as given in the condition element within the binding description.
binding,deco note(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:bindingDesc/tei:binding/tei:decoNote/string-join(.,""""), "" ""))",,,,,Details of any decoration to the binding of the manuscript or manuscript part as given in decoNote elements within the binding description.
binding,contemporary,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@contemporary, "" "")",,,,,"A boolean (true/false) value expressing whether or not the binding of the manuscript or manuscript part is contemporary with the manuscript or manuscript part itself, as encoded within the @contemporary attribute to the binding element within the binding description."
binding,when,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/@when, "" "")",,,,,"The date when the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @when attribute of the binding element within the binding description."
binding,not after,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/(@notAfter|@to|@when)[last()], "" "")",,,,,"The date before which the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @notAfter attribute of the binding element within the binding description."
binding,not before,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:bindingDesc/tei:binding/(@notBefore|@from|@when)[last()], "" "")",,,,,"The date after which the binding of the manuscript or manuscript part was produced, formatted as a date, as encoded within the @notBefore attribute of the binding element within the binding description."
binding,certainty,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:bindingDesc/tei:binding/@cert), "" "")",,,,,"The certainty of the dating in the preceding columns, as encoded within the @cert attribute attribute of the binding element within the binding description. Possible values are high, medium, and low."
binding,calendar,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(tei:physDesc/tei:bindingDesc/tei:binding/@calendar), "" "")",,,,,"The calendar used for the dating in the preceding columns, as encoded within the @calendar attribute of the binding element within the binding description. The most common value is Gregorian."
binding,height,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" ""))",,,,,"The height of the binding of the manuscript or manuscript part, as encoded within the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,height max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,"The maximum height of the binding of the manuscript or manuscript part, as encoded within the @max attribute of the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,height min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,"The minimum height of the binding of the manuscript or manuscript part, as encoded within the @min attribute of the height element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,width,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" ""))",,,,,"The width of the binding of the manuscript or manuscript part, as encoded within the width element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,width max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,"The maximum width of the binding of the manuscript or manuscript part, as encoded within the @max attribute of the width element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,width min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,"The minimum width of the binding of the manuscript or manuscript part, as encoded within the @min attribute of the width element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,depth,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:depth[not(@quantity)]|tei:depth[@quantity]/@quantity), "" ""))",,,,,"The depth of the binding of the manuscript or manuscript part, as encoded within the depth element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
binding,depth max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/(tei:objectDesc/tei:layoutDesc/tei:objectDesc/tei:layout|tei:objectDesc/tei:supportDesc/tei:extent|tei:bindingDesc/tei:binding)//tei:dimensions[@type=""binding""]/(tei:depth/@max|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" ""))",,,,,"The maximum depth of the binding of the manuscript or manuscript part, as encoded within the @max attribute of the depth element within a dimensions element with @type ""binding"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
