section,heading,xpath,auth_file,auth_section,auth_col,separator,format,comment
metadata,part UID,"(//tei:msDesc|//tei:msPart)/concat(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""], ""_"", count((preceding::tei:msDesc|preceding::tei:msPart|ancestor::tei:msDesc|ancestor::tei:msPart)) + 1)",,,,,text,"A unique identifier for the manuscript or manuscript part, generated by concatenating the identifier given to the manuscript with a count of how many msDesc or msPart elements precede the current element in the entry file."
metadata,file URL,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/@xml:id, """")",,,,,text,"A unique identifier for the catalogue file, given in the xml:id attribute to the TEI root element."
metadata,collection,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""collection""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,text,"The collection in which the manuscript is recorded, given in an idno element within the publicationStmt element which has @type ""collection"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,ms ID,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,text,"The identifier given to the manuscript in an idno element within the publicationStmt element which has @type ""msID"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,shelfmark,"(//tei:msDesc|//tei:msPart)/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier/tei:idno[@type=""shelfmark""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,text,"The shelfmark given to the manuscript in an idno element within the publicationStmt element which has @type ""shelfmark"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,ms type,"(//tei:msDesc|//tei:msPart)/(self::tei:msPart[not(@type=('fragment','wrapper','flyleaf'))]/('part'),self::tei:msPart[@type=('fragment','wrapper','flyleaf')]/('fragment'),self::tei:msDesc[not(.//tei:msPart)]/('manuscript'),self::tei:msDesc[.//tei:msPart[not(@type=('fragment','wrapper','flyleaf'))]]/('manuscript-composite'),self::tei:msDesc[.//tei:msPart and not(.//tei:msPart[not(@type=('fragment','wrapper','flyleaf'))])]/('manuscript-with-fragment'))[1]",,,,,text,"Whether the current row concerns a fragment ('fragment'), a manuscript part ('part'), an entire manuscript ('manuscript'), a manuscript containing parts ('manuscript-composite') or a manuscript containing fragments ('manuscript-with-fragment'). "
metadata,part name,"(//tei:msDesc|//tei:msPart)/string-join(tei:msIdentifier//tei:idno[@type=""part""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,text,"The identifier given to the manuscript or manuscript part in an idno element which has @type ""part"" and is not an alternative identifier (and therefore has no @subtype with ""alt"")."
metadata,part ID,"(//tei:msDesc|//tei:msPart)/string-join(@xml:id, "" "")",,,,,text,"The identifier given to the manuscript or manuscript part in an xml:id attribute. If the current row is not for a fragment or a manuscript part, this column will be the same as the metadata: ID column."
codicology,form,"(//tei:msDesc|//tei:msPart)/string-join((tei:physDesc/tei:objectDesc/@form|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/@form)[last()], "" "")",,,,,text,"The physical form of the manuscript or manuscript part, taken from the @form attribute of the objectDesc element. Common values include codex, roll, sheet, booklet, quire, faltbuch, roll-codex, other, and unknown."
codicology,condition,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(./tei:physDesc/tei:objectDesc/tei:supportDesc/tei:condition/string-join(.,""""), "" ""))",,,,,text,"The condition of the manuscript or manuscript part, contained within the condition element in the support description."
codicology,support,"(//tei:msDesc|//tei:msPart)/string-join((tei:physDesc/tei:objectDesc/tei:supportDesc/@material|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/tei:supportDesc/@material)[last()], "" "")",,,,,text,"The primary support material of the manuscript or manuscript part, contained within the @material attribute to the support description. Common value include perg (for parchment/vellum), chart (for any kind of paper), papyrus, palm (for palm leaves), mixed (for paper and parchment), other, and unknown."
codicology,watermark,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:support/tei:watermark/string-join(.,""""), "" ""))",,,,,text,"Details of any watermark(s) on the support of the manuscript or manuscript part, extracted from the watermark element within the support description."
codicology,extent,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent/string-join(node()[..//tei:measure][not(self::comment())][not(self::tei:dimensions)], """"), ""; ""))",,,,,text,"Details of the manuscript or manuscript part's extent, usually in folios. Note that the format in which this information is presented can vary, but the usual format is for counts of post-medieval endleaves to be given in Roman numerals, and counts of medieval leaves to be given in Arabic numerals."
codicology,n folios,"(//tei:msDesc|//tei:msPart)/string-join(string(sum(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent//tei:measure[@type=""leaf""]/@quantity)[.>0]), """")",,,,,number,"An integer count of the number of folios contained within the core of the manuscript or manuscript part, that is not counting contemporary or later endleaves."
codicology,n endleaves,"(//tei:msDesc|//tei:msPart)/string-join(string(sum(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent//tei:measure[@type=""endleaf""]/@quantity)[.>0]), """")",,,,,number,An integer count of the number of endleaves attached to the manuscript or manuscript part which are believed to be contemporary with its original production.
codicology,n later endleaves,"(//tei:msDesc|//tei:msPart)/string-join(string(sum(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:extent//tei:measure[@type=""laterEndleaf""]/@quantity)[.>0]), """")",,,,,number,An integer count of the number of endleaves attached to the manuscript or manuscript part which are believed to date to a different time to its original production.
codicology,collation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join((self::tei:msDesc|self::tei:msPart[.//tei:collation]|self::tei:msPart[not(.//tei:collation or @type=""wrapper"" or @type=""fragment"" or @type=""flyleaf"")]/ancestor::msDesc[.//collation])[last()]/tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/string-join(node()[not(self::comment())]/concat(substring(""("", 1, count(self::tei:hi[contains(@rend, ""superscript"")])), string-join(., """"), substring("")"", 1, count(self::tei:hi[contains(@rend, ""superscript"")]))),""""),""; ""))",,,,,text,"Details of the manuscript or manuscript part's collation, extracted from the collation element within the support description. When a manuscript unit is a part but is not a flyleaf, a fragment, or a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
codicology,main structure,"(//tei:msDesc|//tei:msPart)/string-join(tokenize(string-join((self::tei:msDesc|self::tei:msPart[.//tei:collation]|self::tei:msPart[not(.//tei:collation or @type=""wrapper"" or @type=""fragment"" or @type=""flyleaf"")])[last()]/tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/@mainStructures, "" ""), "" "")[1], """")",,,,,number,"Details of the most common collation structure (that is, the number of leaves per quire) in the manuscript or manuscript part. When a manuscript unit is a part but is not a flyleaf, a fragment, or a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
codicology,structures,"(//tei:msDesc|//tei:msPart)/string-join((self::tei:msDesc|self::tei:msPart[.//tei:collation]|self::tei:msPart[not(.//tei:collation or @type=""wrapper"" or @type=""fragment"" or @type=""flyleaf"")])[last()]/tei:physDesc/tei:objectDesc/tei:supportDesc/tei:collation/@mainStructures, "" "")",,,,,number,"Details of the collation structures (that is, the number of leaves per quire) that together account for at least 80% of the manuscript or manuscript part. Where multiple values are included (separated by a space), the first value is taken to be the most frequent. When a manuscript unit is a part but is not a flyleaf, a fragment, or a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
codicology,additions,(//tei:msDesc|//tei:msPart)/boolean(tei:physDesc/tei:additions),,,,,boolean,A boolean (true/false) value expressing whether or not the manuscript or manuscript part contains additions which have been recorded in an additions element within the physical description. More granular details of these additions are included in a separate table.
codicology,foliation,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:objectDesc/tei:supportDesc/tei:foliation/string-join(.,""""), "" ""))",,,,,text,"Details of the manuscript or manuscript part's foliation, as given in the foliation element of the support description. Note that the format in which this information is presented can vary, but the usual format is for counts of post-medieval endleaves to be given in Roman numerals, and counts of medieval leaves to be given in Arabic numerals. Multiple rounds of foliation may be contained within the same field, and sometimes writing media are recorded."
palaeography,hands,"(//tei:msDesc|//tei:msPart)/string-join(tei:physDesc/tei:handDesc/@hands, "" "")",,,,,number,"The total number of hands contained within the manuscript or manuscript part, as given in the @hands attribute to the handDesc element within the physical description."
