metadata: record UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,metadata: crArk,metadata: ieArk,metadata: SCN,metadata: TM,metadata: PR,metadata: diktyon,record: history,record: source,record: most recent change,availability: availability statement,surrogates: full digital facsimile(s),surrogates: full digital facsimile URI(s),surrogates: full iiif manifest,surrogates: partial digital facsimile(s),surrogates: partial digital facsimile URI(s),surrogates: partial iiif manifest,printed resources: bibliography,printed resources: URI(s),printed resources: ID(s),online resources: JONAS URI,online resources: bibliography,online resources: URI(s)
_record_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 95",manuscript-composite,,MS-EMMANUEL-COLLEGE-00095,,,,,,,"This catalogue entry draws on the description provided by and , M.R. James James, M.R. (Montague Rhodes), 1862-1936A Descriptive Catalogue of the Western Manuscripts in the Library of Emmanuel College, (Cambridge: Cambridge University Press, 1904)Angela M. Lucas, . However, this record does not follow the foliation provided by Lucas which initially appears to be based on the modern foliation ('30') but then changes to follow the 15th-century foliation in pencil in the upper right corners of the rectos and ignores the modern foliation on the additional leaves (ff. Manuscripts in Christ's Church, Emmanuel, Jesus, Selwyn and Sidney Sussex Colleges. Peterhouse and Trinity Hall, Cambridge, The Index of Middle English Prose, Handlist 22 (Cambridge: Brewer, 2016)2:1-2:16). Consequently, it suggests that the manuscript has 84 folios instead of 75 folios (excluding ff. [a]-[b]).",", M.R. James James, M.R. (Montague Rhodes), 1862-1936A Descriptive Catalogue of the Western Manuscripts in the Library of Emmanuel College, (Cambridge: Cambridge University Press, 1904); Angela M. Lucas, Manuscripts in Christ's Church, Emmanuel, Jesus, Selwyn and Sidney Sussex Colleges. Peterhouse and Trinity Hall, Cambridge, The Index of Middle English Prose, Handlist 22 (Cambridge: Brewer, 2016)",20230824,,False,,,False,,,,,,,,
_record_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.17",manuscript-composite,,MS-II-00003-00017,,,,,,,"This catalogue entry draws on: A. Timmermann, 'Alchemy in Cambridge: an annotated catalogue of alchemical texts and illustrations in Cambridge repositories', Nuncius: Journal of the Material and Visual History of Science 30:2 (2015) 345-511 at pp. 493-96 D. W. Singer, Latin Alchemical MSS, 3 vols (Brussels 1928-1931) An unpublished description of the manuscript composed between 1926 and 1930 by , now held in the University Archives (M.R. James James, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74)","A. Timmermann, 'Alchemy in Cambridge: an annotated catalogue of alchemical texts and illustrations in Cambridge repositories',Nuncius: Journal of the Material and Visual History of Science 30:2 (2015) 345-511 at pp. 493-96 ; D. W. Singer, Latin Alchemical MSS, 3 vols (Brussels 1928-1931) ; An unpublished description of the manuscript composed between 1926 and 1930 by , now held in the University Archives (M.R. James James, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74)",20230418,,False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript-composite,,MS-DD-00004-00017,,,,,,,"This catalogue entry draws on the description provided by Paul Binski and Patrick Zutshi, with the collaboration of Stella Panayotova, (used here by kind permission of Cambridge University Press). Western Illuminated Manuscripts: A Catalogue of the Collection in Cambridge University Library (Cambridge: Cambridge University Press, 2011)","Paul Binski and Patrick Zutshi, with the collaboration of Stella Panayotova, Western Illuminated Manuscripts: A Catalogue of the Collection in Cambridge University Library (Cambridge: Cambridge University Press, 2011)",2016-02-17,,False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript,,MS-II-00006-00032,,,,,,,"This catalogue entry derives from Western Illuminated Manuscripts: A Catalogue of the Collection in Cambridge University Library by Paul Binski and Patrick Zutshi, with the collaboration of Stella Panayotova, Cambridge, 2011 (used here by kind permission of Cambridge University Press).",,2012-03-05,,False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00002,,,,,,,"This catalogue entry draws on an unpublished description of the manuscript composed between 1926 and 1930 by , now held in the University Archives (M.R. James James, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74), and an unpublished description of the manuscript composed between 1948 and 1970 by , now held in the University Archives (H.L. Pink Pink, H. L.UA ULIB 7/3/75).",,2014-06-11,"Entry to read in the Library is permitted only on presentation of a valid reader's card. For information on eligibility and admissions procedures, see Joining the Library). For further information on the availability of the manuscript, please contact the Manuscripts Reading Room.",False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00003,,,,,,,"This catalogue entry draws on an unpublished description of the manuscript composed between 1926 and 1930 by , now held in the University Archives (M.R. James James, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74), and an unpublished description of the manuscript composed between 1948 and 1970 by , now held in the University Archives (H.L. Pink Pink, H. L.UA ULIB 7/3/75).",,2014-06-11,"Entry to read in the Library is permitted only on presentation of a valid reader's card. For information on eligibility and admissions procedures, see Joining the Library). For further information on the availability of the manuscript, please contact the Manuscripts Reading Room.",False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00001,,,,,,,"This catalogue entry draws on an unpublished description of the manuscript composed between 1926 and 1930 by , now held in the University Archives (M.R. James James, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74), and an unpublished description of the manuscript composed between 1948 and 1970 by , now held in the University Archives (H.L. Pink Pink, H. L.UA ULIB 7/3/75). The assistance of Dr Elisabeth Leedham-Green, formerly University Archivist, is also acknowledged.",,2014-06-09,"Entry to read in the Library is permitted only on presentation of a valid reader's card. For information on eligibility and admissions procedures, see Joining the Library). For further information on the availability of the manuscript, please contact the Manuscripts Reading Room.",False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript,,MS-DD-00013-00027,,,,,,,,,2015-09-04,,False,,,False,,,,,,,,
_record_1,manuscript_1,,,,manuscript,,MS-KK-00001-00024,,,,,,,"This catalogue entry draws on an unpublished description of the manuscript composed between 1926 and 1930 by , now held in the University Archives (M.R. James James, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74).",,2013-06-14,"Entry to read in the Library is permitted only on presentation of a valid reader's card. For information on eligibility and admissions procedures, see Joining the Library). For further information on the availability of the manuscript, please contact the Manuscripts Reading Room.",False,,,False,,,,,,,,
_record_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.33",manuscript-composite,,MS-KK-00006-00033,,,,,,,"This catalogue entry draws on M. Connolly, , and an unpublished description of the manuscript composed between 1926 and 1930 by Manuscripts in the University Library, Cambridge (Dd-Oo), Index of Middle English Prose, 19 (Cambridge: Brewer, 2009), now held in the University Archives (M.R. JamesJames, M.R. (Montague Rhodes), 1862-1936UA ULIB 7/3/74).","M. Connolly, Manuscripts in the University Library, Cambridge (Dd-Oo), Index of Middle English Prose, 19 (Cambridge: Brewer, 2009)",2022-11-22,"Entry to read in the Library is permitted only on presentation of a valid reader's card. For information on eligibility and admissions procedures, see Joining the Library). For further information on the availability of the manuscript, please contact the Manuscripts Reading Room.",False,,,False,,,,,,,,
