metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
_measure_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,Codex: ix + 71 + ix leaves. The nine modern paper endleaves at the front and rear have not been photographed. 270 190,71.0,,18.0,,,,,,,,,,,,,,,,270.0,270.0,270.0,190.0,190.0,190.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,,,,190.0,190.0,190.0,150.0,150.0,150.0,mm,36 45,45.0,36.0,,,,,,,,leadpoint,above
_measure_2,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_4,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_5,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,,manuscript,,MS-II-00006-00031,Codex: i + 1 + 64 + 1 + i leaves. 160 125,64.0,2.0,2.0,,,,,,,,,,,,,,,,160.0,160.0,160.0,125.0,125.0,125.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,15 17,17.0,15.0,120.0,120.0,120.0,85-95,95.0,85.0,mm,,,,,,,,,,,leadpoint,below
_measure_2,manuscript_1,,,,manuscript,,MS-II-00006-00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,,,,,,,,,,,,,,,,,,,,185.0,185.0,185.0,125.0,125.0,125.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,,,,105-110,105-110,105-110,70.0,70.0,70.0,mm,21 34,34.0,21.0,,,,,,,,,
_measure_1,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00005,Codex: ix + i + 35 + 4 + ii + ix leaves. The nine modern paper endleaves at the front and rear have not been photographed. 270 190,39.0,,21.0,,,,,,,,,,,,,,,,270.0,270.0,270.0,190.0,190.0,190.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_2,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_4,manuscript_1,,,,part,,,Codex: 35 leaves. 270 190,35.0,,,,,,,,,,,,,,,,,,270.0,270.0,270.0,190.0,190.0,190.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,53 59,59.0,53.0,220.0,220.0,220.0,135-145,145.0,135.0,mm,,,,,,,,,,,leadpoint,below
_measure_5,manuscript_1,,,,part,,,Codex: 4 leaves. 270 190,4.0,,,,,,,,,,,,,,,,,,270.0,270.0,270.0,190.0,190.0,190.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,34 37,37.0,34.0,220.0,220.0,220.0,135.0,135.0,135.0,mm,,,,,,,,,,,leadpoint,above
_measure_6,manuscript_1,,,,part,,,Two sheets of parchment: iii leaves. 270 190,,,3.0,,,,,,,,,,,,,,,,270.0,270.0,270.0,190.0,190.0,190.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,,manuscript-composite,,MS-DD-00004-00017,Codex: i + 1 + 135 + 1 + i leaves. 215 155,135.0,2.0,2.0,,,,,,,,,,,,,,,,215.0,215.0,215.0,155.0,155.0,155.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_2,manuscript_1,,,,manuscript-composite,,MS-DD-00004-00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_1,,,,manuscript-composite,,MS-DD-00004-00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
