metadata: hand UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: hands,overview: total hands,person: scribe ref,person: hand ID,person: person(s),person: person ID(s),locus: scope,locus: n,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,palaeography: script,palaeography: execution,palaeography: medium,palaeography: terms,palaeography: desc,palaeography: char,palaeography: characters,palaeography: ligature,palaeography: abbreviations,palaeography: corrections,palaeography: punctuation,palaeography: nota,palaeography: language
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 95",part,,,f. [a] verso-[b] recto contain text written by a 16th-century scribe writing in a secretary hand. f. [b] verso contains text written by a 16th-century scribe writing in a secretary hand.,,,,,,,2.0,[a] verso-[b] recto; [b] verso,[a] verso [b] verso,[b] recto [b] verso,,,,,,,cursiva,,,secretary; secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 69",manuscript,,MS-EMMANUEL-COLLEGE-00069,ff. 1v-198v were copied by a single scribe working in a cursive script with strong anglicana features.,,,,,,,1.0,1v-198v,1v,198v,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 70",manuscript,,MS-EMMANUEL-COLLEGE-00070,"The majority of the text in this manuscript was written in a cursiva antiquior anglicana by the English composer (d. 1453). John Dunstable John Dunstable (d. 1453) See R. M. Thomson, 'John Dunstable and His Books', The Musical Times, 150.1909 (2009), pp. 3–16 for further information.",,,,,,,,,,,,,,,,,cursiva,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 66",part,,,Written in a cursiva libraria with many anglicana and secretary features.,,,,,,,,,,,,,,,,,cursiva,,,anglicana; secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.17",part,,,"Written by several scribes, in Anglicana up to f. 46v, and Anglicana formata from f. 48r onwards (and for additions to ff. 46v-47v). An enlarged style of Anglicana formata is used as a display script for rubrics and chapter headings from f. 48r onward.",,,,,,,1.0,48r,48r,48r,,,,,,,cursivaAntiquior,,,Anglicana; Anglicana formata; Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,Written in littera textualis script.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00006-00031,"Hand: There is one scribe throughout. The hand is a large, clear, highly legible Gothic bookhand, well-spaced, with a set aspect. There is a close resemblance to textura quadrata, as the minims have distinct diamond-shaped feet, but there are also multiple features of bastard anglicana which make it difficult to designate a single script. The ascenders are particularly long, especially in the case of 'k' and the barred double 'l'; 'h' is often crossed with a bar, which does not necessarily indicate an abbreviation, and its limb consistently descends below the ruled line. Both long 's' and the 'st' ligature are used, the 'g' is closed with a separate horizontal stroke, and the 'y' has a long descender, which curves to the right. The closed double compartment 'a' is typical of the gothic script, whereas the 'w' is closer to the Anglicana form. There are consistent otiose strokes at the end of words, particularly following 'r', 's' and 't'. The spelling reflects the later date of the manuscript: 'th' replaces þ/thorn, which is retained only for the 'þat' abbreviation. The hand changes slightly in size and aspect through the manuscript. The text on f. 4r is notably smaller, for example, and on f. 47v, lines 6-10, the hand briefly becomes extremely pointed and angular, and uses bifurcated ascenders, two-shaped ‘r', and a capital 'a' composed of two curved strokes. Abbreviations: The scribe uses a number of common abbreviations throughout. ‘þ t' is used for 'þat', and 'wt' for 'with', most commonly in the forms 'wtin' and 'wtout'. Macrons are used to denote missing 'm' and 'n' in both the English main text and the Latin rubrics. A macron is also used twice on fol. 3v above 'both', to indicate a missing 'o'. In one instance (f. 47v), a barred 'p' is used to indicate 'er' in 'perfectly'. Punctuation: The scribe uses a punctus throughout, to indicate both the end of the sentence and caesura. The colon is also regularly used, along with virgulae, to mark caesura. Parentheses are occasionally used, as on ff. 62v and 64r. Corrections: All corrections are in the scribal hand and inserted superscript, with or without a caret mark. Examples of both kinds can be seen on f. 4v.",,,,,,,6.0,4r; 47v; 47v; 62v; 64r; 4v,4r 47v 47v 62v 64r 4v,4r 47v 47v 62v 64r 4v,,,,,,,textualisNorthern,,,textura quadrata; bastard anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.5.11",manuscript,,MS-II-00005-00011,The main text is written in a late northern textualis formata with some libraria features.,,,,,,,,,,,,,,,,,textualisNorthern,,,formata; libraria,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,Textura quadrata,,,,,,major,,,,,,,,,,,other,,,,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Copied by several hands writing mostly in Anglicana (occasionally straying into a slightly more formal Anglicana formata).,,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana; Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Written in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.2.29",part,,,Copied by a single hand writting in a cursive script with Secretary and Anglicana features.,,,,,,,,,,,,,,,,,Cursiva,,,Secretary; Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.76",part,,,ff. 1r-26r is written by a single hand writing in an Anglicana script.,,,,,,,1.0,1r-26r,1r,26r,,,,,,,cursivaAnqituior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,"Written by a single hand in an inexpert, uneven secretary script.",,,,,,,,,,,,,,,,,cursiva,,,secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00006-00032,Insular minuscule,,,,,,major,,,,,,,,,,,other,,,,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00002,"Written in Elizabethan Secretary script, with a Bastard Secretary script of a larger module used for rubrics and opening words. Some sections written in an italic script.",,,,,,,,,,,,,,,,,cursiva,,,Secretary; Bastard Secretary; italic,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-03021,Written in littera textualis.,,,,,,major,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,"Mainly written by a single mid-14th-century hand, in anglicana. Additions by two other hands also writing in Anglicana on f. 1:i verso and 1:ii verso.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-03020,Written in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00003,"Written in Elizabethan Secretary script, with a Bastard Secretary script of a larger module used for rubrics and opening words. Some rubrics written in an italic script.",,,,,,,,,,,,,,,,,cursiva,,,Secretary; Bastard Secretary; italic,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Deed written in a 16th-century Secretary script.,,,,,,,,,,,,,,,,,cursiva,,,Secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-DD-00013-00027,Written in late gothic script by a single scribe.,,,,,,major,,,,,,,,,,,other,,,late gothic,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9309",manuscript,,MS-ADD-09309,"The medical recipes are written in a cursive Secretary script with Anglicana features, including the double-compartment 'a' which is used in headings.",,,,,,,,,,,,,,,,,cursiva,,,Secretary; Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9308",part,,,"Written in Anglicana formata, perhaps by two hands (changing over on f. ii verso, at 'For to do a norsche haue melk').",,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.3.59",manuscript,,MS-EE-00003-00059,Written in a cursive gothic bookhand.,,,,,,,,,,,,,,,,,semitextualis,,,cursive gothic bookhand,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-KK-00001-00024,Written in half uncial.,,,,,,,,,,,,,,,,,halfUncial,,,half uncial,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ff.5.5",manuscript,,MS-FF-00005-00005,Written by a single scribe in an Anglicana script.,,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 7912",manuscript,,MS-ADD-07912,The text on ff. 10r-75v was written by a single hand in a cursive script with predominantly Anglicana features.,,,,,,,1.0,10r-75v,10r,75v,,,,,,,cursivaAntiquior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Kk.5.13",manuscript,,MS-KK-00005-00013,'[W]ritten throughout by one scribe in sloping medium-sized Caroline minuscule.' Further detailed description and analysis of the script provided by T.A.M. Bishop (see Source).,,,,,,,,,,,,,,,,,minusculeCaroline,,,Caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.6",manuscript,,MS-GG-00004-00006,Written in littera textualis by a single scribe.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
