metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
_deco_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 95",part,,,,This part of the manuscript does not contain any significant forms of decoration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 69",manuscript,,MS-EMMANUEL-COLLEGE-00069,,"A full-page drawing of a diagram of the winds on f. 1v, consisting of a green circle with inside it two yellow spokes aligned with the cardinal directions of which the names are written inside frames of black and red ink at their relevant positions. Poems on the names of the winds are written inside the resulting four sections inside the circle.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 70",manuscript,,MS-EMMANUEL-COLLEGE-00070,,"Anthropomorphised tinted drawings of the major constellations with the stars in red on ff. 110v as follows: f. 89v: Aries f. 90r: Taurus f. 90v: Gemini (the twins labelled as 'Castor' and 'Pollux', naked and winged, Pollux holding a harp) f. 91r: Cancer f. 91v: Leof. 92r: Virgo (holding a ?wheatsheaf)f. 92v: Libra (crowned and robed, holding a scale)f. 93r: Scorpiof. 93v: Sagittarius (a lion's body fused with a horse's, a man's head and arms, with bow and arrow)f. 94r: Capricornf. 94v: Aquarius (a man emptying a ewer)f. 95r: Piscesf. 96r: Ursa major, Ursa minor, and Draco ('serpens tortuosus') f. 96v: Draco (a draconid)f. 97r: Hercules (nude, with sword and pelt of a lion attacking a serpent in a tree) f. 97r: Corona f. 97v: Serpentarius being held by a naked Ophiuchus who stands on Scorpius f. 98r: Boetes (a figure wearing a hat and robe and holding a sickle and a spear)f. 98v: 'Agitator' or 'Ophictus' (a figure wearing a hat and a robe and holding a spear in one hand and two rodent-like creatures in the other and standing in a chariot pulled by three horsesf. 99r: Cepheus (?Orion) (a robed figure with hands raised and wearing a sword) f. 99v: Cassiopoeia (robed and sitting on some steps and framed by two vertical and two horizontal swords) f. 100r: Pegasusf. 100v: Andromeda (bearded, wearing a hat and robe, arms raised) f. 101r: Perseus (wearing a cloak and shield and holding a sword and a bearded head of the Gorgon) f. 101r: Triangulus f. 101v: the Pleiades or the Seven Sisters, named in this manuscript as 'Gallina siue clocha' (seven female figures in robes with loose hair)f. 102r: Lyraf. 102v: Cygnusf. 103r: quila (an eagle standing on an arrow)f. 103v: Vultur cadens (a robed man piercing the breast of a large bird with a spear and standing on an arrow) f. 104r: Cetus (a large fish with a nude man below and some hills and a city in the distance) f. 104v:Eridianus (a man in a robe and crown sitting on a bench in a garden and playing a dulcimer)f. 105r: Delphinus (a large creature with scales lying on some ?hills with a city in the distance) f. 105v: Orion (a figure wearing plate armor and holding a sword and shield)f. 106r: Canis f. 106r: Lepusf. 106v: Navis f. 107r: Astronochus (a female centaur)f. 107r: Demon meridianus without any stars marked (two robed figures sitting, the one on the right holds up a large oval ring) f. 107v: Piscis magnus et minor (two fish in water, the upper one smaller, the lower one larger) f. 108r: Putheus (five demons, some chained, surrounding a large tusked humanoid face) f. 108v: Centaurus (a male centaur carrying a spear, a hare, a ?bear, and a censer)f. 109r: Hydra (a large snake approaching a tree bearing a crow and an ewer on its back) f. 109v: Cyon (or 'Antecanis') f. 110r: Equus secundus (a winged horse)f. 110r: Tarabellumf. 110v: Vexillum f. 89v: Aries f. 90r: Taurus f. 90v: Gemini (the twins labelled as 'Castor' and 'Pollux', naked and winged, Pollux holding a harp) f. 91r: Cancer f. 91v: Leof. 92r: Virgo (holding a ?wheatsheaf)f. 92v: Libra (crowned and robed, holding a scale)f. 93r: Scorpiof. 93v: Sagittarius (a lion's body fused with a horse's, a man's head and arms, with bow and arrow)f. 94r: Capricornf. 94v: Aquarius (a man emptying a ewer)f. 95r: Piscesf. 96r: Ursa major, Ursa minor, and Draco ('serpens tortuosus') f. 96v: Draco (a draconid)f. 97r: Hercules (nude, with sword and pelt of a lion attacking a serpent in a tree) f. 97r: Corona f. 97v: Serpentarius being held by a naked Ophiuchus who stands on Scorpius f. 98r: Boetes (a figure wearing a hat and robe and holding a sickle and a spear)f. 98v: 'Agitator' or 'Ophictus' (a figure wearing a hat and a robe and holding a spear in one hand and two rodent-like creatures in the other and standing in a chariot pulled by three horsesf. 99r: Cepheus (?Orion) (a robed figure with hands raised and wearing a sword) f. 99v: Cassiopoeia (robed and sitting on some steps and framed by two vertical and two horizontal swords) f. 100r: Pegasusf. 100v: Andromeda (bearded, wearing a hat and robe, arms raised) f. 101r: Perseus (wearing a cloak and shield and holding a sword and a bearded head of the Gorgon) f. 101r: Triangulus f. 101v: the Pleiades or the Seven Sisters, named in this manuscript as 'Gallina siue clocha' (seven female figures in robes with loose hair)f. 102r: Lyraf. 102v: Cygnusf. 103r: quila (an eagle standing on an arrow)f. 103v: Vultur cadens (a robed man piercing the breast of a large bird with a spear and standing on an arrow) f. 104r: Cetus (a large fish with a nude man below and some hills and a city in the distance) f. 104v:Eridianus (a man in a robe and crown sitting on a bench in a garden and playing a dulcimer)f. 105r: Delphinus (a large creature with scales lying on some ?hills with a city in the distance) f. 105v: Orion (a figure wearing plate armor and holding a sword and shield)f. 106r: Canis f. 106r: Lepusf. 106v: Navis f. 107r: Astronochus (a female centaur)f. 107r: Demon meridianus without any stars marked (two robed figures sitting, the one on the right holds up a large oval ring) f. 107v: Piscis magnus et minor (two fish in water, the upper one smaller, the lower one larger) f. 108r: Putheus (five demons, some chained, surrounding a large tusked humanoid face) f. 108v: Centaurus (a male centaur carrying a spear, a hare, a ?bear, and a censer)f. 109r: Hydra (a large snake approaching a tree bearing a crow and an ewer on its back) f. 109v: Cyon (or 'Antecanis') f.110r: Equus secundus (a winged horse)f. 110r: Tarabellumf. 110v: Vexillum",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 66",part,,,,Plain initals in red or blue at the major and minor divisions of the text.,plainInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.17",part,,,,Red and blue initials and pilcrows.,plainInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,,"Four-line initial in blue with infill and marginal flourishing in red at the opening of the text. Two-line initials alternating in red and green, with infill and marginal flourishing in contrasting blue or green, at the beginning of each chapter. On ff. 69r-71r, the flourishing is executed in brown rather than red.",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-II-00006-00031,,"Three- or four-line plain cadel-style initials in black, with simple infill and marginal flourishing in ink (ff. 1r, 20v).",cadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ii.5.11",manuscript,,MS-II-00005-00011,,"6v: Full-page miniature of the arms of King Henry VII of England (b. 1457 – d. 1509) impaled with those of his wife, Elizabeth of York (b. 1486, d. 1503). The heraldic achievement on f. 6v can be described as follows: Crown: circlet with alternate fleurs-de-lis and crosses pattée, 6 arches shown, over a red velvet cap trimmed with ermine . Other manuscripts bearing ownership marks relating to Henry VII and/or Elizabeth of York include: Escutcheon: Per pale. Dexter, Quarterly of four, 1st and 4th France, 2nd and 3rd England; Sinister, Quarterly of four, 1st Quaterly France and England, 2nd and 3rd Or a Cross gules (de Burgh), 4th Barry or and azure on a Chief of the first two pallets between two base esquires of the second over all an Inescutcheon argent (Mortimer) Supporters: A red dragon and a white talbot gorged gules studded or Cambridge, University Library, MS Nn.6.46 Cambridge, Magdalene College, Pepys Library MS 1760 London, British Library, MS Add. 33736 London, British Library, MS Royal 19 B.xvi London, British Library, MS Royal 16 F.ii, f. 1r Crown: circlet with alternate fleurs-de-lis and crosses pattée, 6 arches shown, over a red velvet cap trimmed with ermine Escutcheon: Per pale. Dexter, Quarterly of four, 1st and 4th France, 2nd and 3rd England; Sinister, Quarterly of four, 1st Quaterly France and England, 2nd and 3rd Or a Cross gules (de Burgh), 4th Barry or and azure on a Chief of the first two pallets between two base esquires of the second over all an Inescutcheon argent (Mortimer) Supporters: A red dragon and a white talbot gorged gules studded or Cambridge, University Library, MS Nn.6.46Cambridge, Magdalene College, Pepys Library MS 1760London, British Library, MS Add. 33736London, British Library, MS Royal 19 B.xvi London, British Library, MS Royal 16 F.ii, f. 1rFor further information see: Kathleen Scott, 'Manuscripts for Henry VII, his household and family' in S. Panayatova (ed.), . The Cambridge Illuminations: the Conference Papers (London, 2007), pp. 279–286 Kathleen Scott, 'Manuscripts for Henry VII, his household and family' in S. Panayatova (ed.), The Cambridge Illuminations: the Conference Papers (London, 2007), pp. 279–286The Cambridge Illuminations: the Conference Papers",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge, University Library, MS Nn.6.46; Cambridge, Magdalene College, Pepys Library MS 1760; London, British Library, MS Add. 33736 ; London, British Library, MS Royal 19 B.xvi ; London, British Library, MS Royal 16 F.ii, f. 1r; Kathleen Scott, 'Manuscripts for Henry VII, his household and family' in S. Panayatova (ed.), The Cambridge Illuminations: the Conference Papers (London, 2007), pp. 279–286","London, British Library, MS Add. 33736; London, British Library, MS Royal 19 B.xvi",http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002024632 http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002107608
_deco_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,,"Miniatures: Thirteen (originally fifteen) full-page miniatures, framed by green, blue, orange, ochre or pink panels linked by gold quadrilobes and surrounded by short black sprays terminating in gold disks and ivy leaves. 10v: Throne of Mercy ('Domine deus omnipotens') 12v: Vernicle ('Salve sancta facies') 14v: St John the Baptist ('Gaude Iohannes Baptista')[before 16r: ?St Thomas of Canterbury; miniature removed ('Gaude lux londaniarum')] 17v: St Christopher ('Sancte Cristofore') 19v: St Catherine ('Gaude virgo Katherina') 21v: St Mary Magdalene ('Gaude pia magdalena') 23v: Annunciation (Matins of the Virgin) 51v: Our Lady of Humility ('Salve virgo virginum') 74v: Deposition (Hours of the Passion) 91v: Man of Sorrows (Psalms of the Passion) 98v: Last Judgement (Penitential Psalms) 109v: funeral service (Office of the Dead) 126v: Christ holding or blessing three souls carried to heaven by two angels ('Commendatio animarum')[before 135r: ?St Jerome; miniature removed ('Beatus ieronimus')] 10v: Throne of Mercy ('Domine deus omnipotens') 12v: Vernicle ('Salve sancta facies') 14v: St John the Baptist ('Gaude Iohannes Baptista')[before 16r: ?St Thomas of Canterbury; miniature removed ('Gaude lux londaniarum')] 17v: St Christopher ('Sancte Cristofore') 19v: St Catherine ('Gaude virgo Katherina') 21v: St Mary Magdalene ('Gaude pia magdalena') 23v: Annunciation (Matins of the Virgin) 51v: Our Lady of Humility ('Salve virgo virginum') 74v: Deposition (Hours of the Passion) 91v: Man of Sorrows (Psalms of the Passion) 98v: Last Judgement (Penitential Psalms) 109v: funeral service (Office of the Dead) 126v: Christ holding or blessing three souls carried to heaven by two angels ('Commendatio animarum')[before 135r: ?St Jerome; miniature removed ('Beatus ieronimus')]",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,part,,,,Three- to four-line initials in red at the start of each book.,plainInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
