metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
_origin_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,Mid-13th century. England.,,,,,Mid-13th century. ,,1240,1260,,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-II-00006-00031,"15th century. England. The manuscript was dated by Margaret Connolly to the 15th century (see IMEP 19, p. 229). I suggest a date of production of the late fifteenth century, based on characteristics of the hand (see 'Script' for further description), and features of the spelling and vocabulary in comparison with the standard edition, which is based primarily upon the earlier copies of the text at the British Library. The most notable differences are the use of the 'th' digraph in place of þ/thorn, evidence of vowel change ('o' becomes 'u', as in 'bot'/'but'), and modernised vocabulary ('them', in place of 'þoo').",,,,,15th century. ,,1450,1500,,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,"1st quarter of the 15th century C.E. Bruges, Flanders",,,,,1st quarter of the 15th century C.E.,,1400,1425,,Gregorian,"Bruges, Flanders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,part,,,14th century (?first half). England.,,,,,14th century (?first half). ,,1300,1350,medium,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_1,,,,part,,,Mid-16th century (not after 1574). England.,,,,,Mid-16th century (not after 1574). ,,1540,1574,,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_3,manuscript_1,,,,part,,,Mid-16th century. England.,,,,,Mid-16th century. ,,1525,1575,high,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript-composite,,MS-DD-00004-00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_1,,,,part,,,"First quarter of the 14th century (perhaps not before 1320; not after 1323) England The manuscript may be datable to after 1320: since Thomas Becket is among the martyrs, the Thomas among the confessors in the Litany (f. 90r) is probably , who was canonized in 1320.Thomas de Cantilupe Thomas, de Cantelupe, Saint, approximately 1218-1282 For explanation of the terminus post quem non, see Provenance. The manuscript may have been made in East Anglia, as were other manuscripts with which it bears artistic affinities (see Decoration).",,90r,90r,90r,"First quarter of the 14th century (perhaps not before
                                    1320; not after 1323)",,1300,1323,,Gregorian,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_3,manuscript_1,,,,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_4,manuscript_1,,,,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript-composite,,MS-II-00006-00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,part,,,"16th century, possibly late 15th century England",,,,,"16th century, possibly late 15th
                                    century",,1475,1600,medium,Gregorian,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_1,,,,part,,,15th century England,,,,,15th century ,,1400,1500,medium,Gregorian,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-II-00006-00032,850-1000 C.E. Scotland?,,,,,850-1000 C.E.,,850,1000,,Gregorian,Scotland?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00002,Mid-16th century (not after 1574). England.,,,,,Mid-16th century (not after 1574). ,,1540,1574,,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-ADD-03021,"Early fourteenth century. Thorney, Cambridgeshire. The original entries were compiled during the abbacy of William of Clopton (1305-1323).",,,,,Early fourteenth century. ,,1305,1323,,Gregorian,"Thorney, Cambridgeshire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript-composite,,MS-LL-00001-00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,part,,,"Mid-14th century. England, probably Cerne Abbas.",,,,,Mid-14th century. ,,1330,1370,,Gregorian,"England, probably Cerne Abbas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_1,,,,part,,,"Second half of the 14th century. England, probably Cerne Abbas.",,,,,Second half of the 14th century. ,,1350,1400,,Gregorian,"England, probably Cerne Abbas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_3,manuscript_1,,,,part,,,"13th/14th century. England, probably Cerne Abbas.",,,,,13th/14th century. ,,1200,1400,,Gregorian,"England, probably Cerne Abbas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_4,manuscript_1,,,,part,,,"Mid-14th century. England, probably Cerne Abbas.",,,,,Mid-14th century. ,,1330,1370,,Gregorian,"England, probably Cerne Abbas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_5,manuscript_1,,,,part,,,"13th century. England, probably Cerne Abbas.",,,,,13th century. ,,1200,1300,,Gregorian,"England, probably Cerne Abbas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_6,manuscript_1,,,,part,,,"Second half of the 13th or early 14th century. England, probably Cerne Abbas.",,,,,Second half of the 13th or early 14th century. ,,1250,1330,,Gregorian,"England, probably Cerne Abbas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_7,manuscript_1,,,,part,,,"First half of the 9th century (probably 818×830). Mercia. Manuscript dated to 818×830 on the basis of the acrostic poem. See Introduction and P.R. Robinson (1988), no. 73.",,,,,First half of the 9th century (probably 818×830). ,,800,850,,Gregorian,Mercia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_8,manuscript_1,,,,part,,,13th or early 14th century. Cerne Abbey.,,,,,13th or early 14th century. ,,1330,1200,,Gregorian,Cerne Abbey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_9,manuscript_1,,,,part,,,Late 14th or 15th century. Cerne Abbey.,,,,,Late 14th or 15th century. ,,1500,1380,,Gregorian,Cerne Abbey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-ADD-03020,"Early fourteenth century. Thorney, Cambridgeshire. The original entries were compiled during the abbacy of William of Clopton (1305-1323).",,,,,Early fourteenth century. ,,1305,1323,,Gregorian,"Thorney, Cambridgeshire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00003,Mid-16th century (not after 1574). England.,,,,,Mid-16th century (not after 1574). ,,1540,1574,,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_1,,,,part,,,Mid-16th century. England.,,,,,Mid-16th century. ,,1525,1575,high,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_1,,,,part,,,Second half of the twelfth century. England.,,,,,Second half of the twelfth century. ,,1150,1200,,Gregorian,England.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
