metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: partID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
_addition_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 69",manuscript,,MS-EMMANUEL-COLLEGE-00069,A title inscription in a 17th-century hand on f. [ii] verso: John of Ardern.,[ii] verso,[ii] verso,[ii] verso,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 70",manuscript,,MS-EMMANUEL-COLLEGE-00070,At the top of f. [i] verso: 'master harssedecon' (Master Archdeacon) in a 15th century hand.,[i] verso,[i] verso,[i] verso,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 66",manuscript-composite,,MS-EMMANUEL-COLLEGE-00066,"Medical recipes in ink in Latin and Middle English in at least two 15th-century hands on ff. [v] verso - [vi] recto. The Middle English recipe 'For the stone' is printed in IMEP 22, p. 13.",[v] verso - [vi] recto,[v] verso,[vi] recto,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.17",part,,,See provenance information.,,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,"Quire numbers added to lower right-hand corner of the first recto of each quire, and '+' sign added to the lower right-hand corner of the first recto in the second half of each quire. Written in pencil by a modern hand.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-II-00006-00031,"Maniculae are drawn throughout, marking passages of interest. There are two distinct types, a simplistic form in black ink, and other, more elaborate versions, in brown ink.",,,,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,"Cambridge, University Library, MS Ii.5.11",manuscript,,MS-II-00005-00011,"A note about the Royal arms of Henry VII and Elizabeth of York in pencil on f. 5r, by the hand of . Charles SayleSayle, Charles, 1864-1924",5r,5r,5r,,,,,,,,,"Charles Sayle; Sayle, Charles, 1864-1924",,,,,
_addition_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,"Computus texts and prayers added to endleaves and blank spaces within the manuscript, in Latin and Middle English. One of the additions, made in the early 15th century, is a memoria to St Ethelburga (16v).",16v,16v,16v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00005,"On f. 9v, notes concerning Pontus Virunnius' epitome, the Historia and Geoffrey of Monmouth, by Parkerian scribes and later hands.",9v,9v,9v,,,,,,,,,,,,,,
_addition_1,manuscript_1,,,,part,,,"Under the illustration on 4r, a Latin collect has been added.",4r,4r,4r,,,,,,,,,,,,,,
