metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
_binding_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 95","Modern limp vellum binding, replacing a quarter brown leather binding with marbled paper sides over paper boards (old front cover-old rear cover) and a gold-stamped title inscription on its spine: Receipts in Physic (old spine), now kept in a separate envolope with the manuscript inside a box that was made using a donation from Bernard Ramsbottom in 2013; the former binding features three unfoliated paper flyleaves, as well as two melinex folders: one containing binding materials (binding materials) and the other containing a paper fragment with fragments of a 15th-century cursive text (fragment), probably English and possibly belonging to the original contents of the manuscript.; Binding height: 165mm; width: 120mm; depth: 20mm.",,,,2013,2013,2013,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 69","Brown leather over wooden boards; 16th-century paneled binding with a central frame formed of two rows of double fillets with blind-stamped heads in medallions alternating with foliate motifs [similar but not identical to those listed in Oldham (1952), pp. 51-54, plates XLVII-L ('HM')]; remains of two clasps on the outer edges of the upper and lower covers, with two brass nails remaining on the front board, each of which would have fastened a leather strap to the front board (remains of which are now only visible); on the rear cover, at locations that correspond with the strap fastenings on the front cover, are two brass catches, each attached with two brass nails. Four raised bands on the spine with with blind-tooled horizontal fillets above and below them. ; Binding height: 220mm; width: 145mm; depth: 50mm.",,,,,1500,1600,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 70","Mid-17th century binding. Fully bound in leather over pulp-boards with matching decoration in blind to left and right covers. Covers are decorated with a triple-fillet frame with Oxford corners set at the perimeter of the boards. Rebacked, and original cover material over the boards has been replaced. Spine is capped at head and tail, no head and tail bands visible. Four raised bands on spine, each with a single-fillet through their centre across the width of the spine. Spine compartments are decorated with a double fillet at their upper and lower perimeters and at the upper and lower openings of the spine. Four printed paper labels fixed to the spine with an adhesive, 'MSS.', '1', '3', '18', for a former shelfmark. ; Head, fore, and tail edges of the bookblock sprinkled with red. ; Pastedowns have been lifted and the inner faces of the boards are exposed. The inside of the right cover is blank except for small traces of a printed paper leaf. The inside of the left cover contains the following items: The number '70' in pencil set in a lozenge frame for the M. R. James Catalogue number of the volume The shelfmark 'MSS 1. 3. 18' in ink and pencil An Emmanuel College armorial bookplate by Metcalfe of Cambridge: a lion rampant in the right paw a laurel wreath with the motto ""ΕΜΜΑΝΟΥΗΛ"" (the Greek form of 'Emmanuel') on the escutcheon and the words 'Collegii Emmanuelis Liber' below ; The endleaves ff. [i] and [ii] are former pastedowns, and both bear traces of adhesive on their outermost faces.; Dimensions (L x W x D): 200 x 150 x 45 mm.; Housed in a dark blue box with a label 'MS 70' stamped in gold and bearing a label on the inside of the box: 'This box was made using a generous donation from Colin Leach 2015'.",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 66","Mid-17th century binding. Fully bound in leather over pulp-boards with matching decoration in blind to left and right covers. Covers are decorated with a triple-fillet frame with Oxford corners set at the perimeter of the boards. Head and tail bands visible, perhaps yarn over a cord core, but heavily stained with glue and red pigment. Four raised bands on spine, each with a single-fillet through their centre across the width of the spine. Spine compartments are decorated with a double fillet at their upper and lower perimeters and at the upper and lower openings of the spine. Four printed paper labels fixed to the spine with an adhesive, 'MSS.', '1', '3', '14', for a former shelfmark. ; Head, fore, and tail edges of the bookblock sprinkled with red. ; Pastedowns have been lifted and the inner faces of the boards are exposed. The inside of the right cover is blank. The inside of the left cover contains the following items: The number '70' in pencil set in a lozenge frame for the M. R. James Catalogue number of the volume The former shelfmark 'MSS 1. 3. 14' in ink and pencil An Emmanuel College armorial bookplate by Metcalfe of Cambridge: a lion rampant in the right paw a laurel wreath with the motto ""ΕΜΜΑΝΟΥΗΛ"" (the Greek form of 'Emmanuel') on the escutcheon and the words 'Collegii Emmanuelis Liber' below ; The endleaves ff. [i] and [vi] are former pastedowns, and both bear traces of adhesive on their outermost faces. The endleaf f. [iii] verso contains the following items: The number '54' in ink A description of the contents of the volume in ink in a humanist hand 'Provinciale Guilielmi Lynwood' ; Dimensions (L x W x D): 205 x 145 x 50 mm.; Housed in a dark blue box with a label 'MS 66' stamped in gold and bearing a label on the inside of the box 'This box was made using a generous donation from Mark Drinkwater 2014'.",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.17","17th-century binding. Rebacked and extensively repaired in the 20th century by the Gray bindery; Gray stamp visible on the turn in above the left pastedown. Covers are sprinkled calf over paste or mill board with matching decoration in blind to each cover. Covers are decorated with a narrow double-fillet at the perimeter of the boards and a dotted single-fillet inset from the perimeter of the boards by c. 20mm. Small fleurons at each corner of the dotted-fillet frame, positioned between the dotted-fillet frame and the double-fillet frame. Head, fore and tail edges of the covers decorated with a double-fillet.; Spine is green-brown leather. Five raised bands with double-fillet decoration at the upper and lower perimeter of each compartment and at the upper and lower openings of the spine. Spine is capped at head and tail: head and tail bands are not visible. A title 'ALCHEMICA' tooled in gold on the spine in one compartment and 'Ii.3.17' for the current shelfmark tooled in gold in another.; Paper pastedowns pasted over the turn ins. The right pastedown is blank. The left pastedown contains: A former CUL shelfmark of the 'Greek letter type' in ink: #.H.η.16 A title for the volume in ink: 'Rosarium Medicum' A former catalogue number for the volume in ink: 280 The current shelfmark in ink: Ii.3.17 A record in Latin of the donation of the volume by John Rant of Gonville and Caius in 1655 A Cambridge University Library bookplate A 'D' in pencil - the size-based classification system used for manuscripts in Cambridge University Library ; Four paper flyleaves (watermark of a vase with flowers) at each end of the volume (ff. [i]-[iv] and [v]-[viii] probably contemporary with this binding. ; Binding height: 295 mm, width: 200 mm, depth: 45 mm.",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Bound in brown calfskin over pasteboards with blind stamped and rolled decoration, by , 1862. WisemanWiseman",,,,1862,1862,1862,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Rebound by , Letchworth, December 1960 (inscription on the Douglas Cockerell and SonDouglas Cockerell and Son (Firm)front pastedown by H.L. Pink).",,,,1960,1960,1960,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, University Library, MS Ii.5.11","Rebound in August 1961 by in Letchworth. Quarter bound in goatskin with marble-paper sides and parchment tips on outer corners. Blind single-fillet decoration around perimeter of leather back-piece. Four raised bands on Douglas Cockerell and SonDouglas Cockerell and Sonspine. Head and tail bands visible and sewn in a cream yarn. Two black leather labels applied to spine with text tooled in gold, the first a title label 'GOUVERNMENT DE CORPS DOMME', and the second a shelfmark label 'Ii.5.11'.; Paper pastedowns pasted over the turn ins. The left pastedown contains a note about the rebinding, a pasted in strip of paper with the labels from an older binding fixed with an adhesive, and a George I donation bookplate. The right pastedown contains a collation formula in pencil for the volume.; One paper endleaf cojoint with the adjacent pastedown added at each end of the volume (ff. i and ii).; Binding dimensions (L x W x D): 280 x 220 x 35 mm.",,,,1961-08-01,1961-08-01,1961-08-01,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Bound in brown calfskin over pasteboards with blind stamped and rolled decoration, by , 1862. WisemanWiseman",,,,1862,1862,1862,,,,,,,,,,,,
_binding_1,manuscript_1,,,,"Rebound by Douglas Cockerell and Son, Letchworth, December 1962. Red leather over wooden boards, sewn on three bands. Title and classmark tooled in gold on the spine.",,,,1962-12-01,1962-12-01,1962-12-01,,,,,,,,,,,,
