metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: part,metadata: part ID,metadata: part type,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: n,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
MS_Add_A_10_measure_1,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,,MS_Add_A_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_100_measure_1,manuscript_2,Add_A,MS_Add_A_100,MS. Add. A. 100,,MS_Add_A_100,,,,,,,,,,,,,,,,,220.0,220.0,220.0,150.0,150.0,150.0,,,,mm,,,,,,,,,,,,,,145.0,145.0,145.0,110.0,110.0,110.0,mm,,,,,,,,,,,,
MS_Add_A_105_measure_1,manuscript_4,Add_A,MS_Add_A_105,MS. Add. A. 105,,MS_Add_A_105,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_107_measure_1,manuscript_6,Add_A,MS_Add_A_107,MS. Add. A. 107,,MS_Add_A_107,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_109_measure_1,manuscript_8,Add_A,MS_Add_A_109,MS. Add. A. 109,,MS_Add_A_109,,,,,,,,,,,,,,,,,285.0,285.0,285.0,215.0,215.0,215.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_11_measure_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,,MS_Add_A_11,,,,,,,,,,,,,,,,,200.0,200.0,200.0,142.0,142.0,142.0,,,,mm,,,,,,,,,,,,,,140.0,140.0,140.0,85–90,90.0,85.0,mm,,,,,,,,,,,,
MS_Add_A_165_measure_1,manuscript_19,Add_A,MS_Add_A_165,MS. Add. A. 165,,MS_Add_A_165,,,,,,,,,,,,,,,,,215.0,215.0,215.0,145.0,145.0,145.0,,,,mm,,,,,,,,,,,,,,145–55,155.0,145.0,80–90,90.0,80.0,mm,,,,,,,,,,,,
MS_Add_A_166_measure_1,manuscript_20,Add_A,MS_Add_A_166,MS. Add. A. 166,,MS_Add_A_166,,,,,,,,,,,,,,,,,197.0,197.0,197.0,140.0,140.0,140.0,,,,mm,,,,,,,,,,,,,,140.0,140.0,140.0,c. 75–80,80.0,75.0,mm,,,,,,,,,,,,
MS_Add_A_167_measure_1,manuscript_21,Add_A,MS_Add_A_167,MS. Add. A. 167,,MS_Add_A_167,,,,,,,,,,,,,,,,,210.0,210.0,210.0,150.0,150.0,150.0,,,,mm,,,,,,,,,,,,,,155–60,160.0,155.0,90–5,95.0,90.0,mm,,,,,,,,,,,,
MS_Add_A_169_measure_1,manuscript_23,Add_A,MS_Add_A_169,MS. Add. A. 169,,MS_Add_A_169,,,,,,,,,,,,,,,,,200.0,200.0,200.0,137.0,137.0,137.0,,,,mm,,,,,,,,,,,,,,140.0,140.0,140.0,70.0,70.0,70.0,mm,,,,,,,,,,,,
MS_Add_A_173_measure_1,manuscript_28,Add_A,MS_Add_A_173,MS. Add. A. 173,,MS_Add_A_173,,,,,,,,,,,,,,,,,221.0,221.0,221.0,155.0,155.0,155.0,,,,mm,,,,,,,,,,,,,,190.0,190.0,190.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
MS_Add_A_187_measure_1,manuscript_33,Add_A,MS_Add_A_187,MS. Add. A. 187,,MS_Add_A_187,,,,,,,,,,,,,,,,,225.0,225.0,225.0,150.0,150.0,150.0,,,,mm,,,,,,,,,,,,,,150.0,150.0,150.0,95.0,95.0,95.0,mm,,,,,,,,,,,,
MS_Add_A_188_measure_1,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,,MS_Add_A_188,,,,,,,,,,,,,,,,,237.0,237.0,237.0,160.0,160.0,160.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_measure_2,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188-endleaves,fragment,,,,,,,,,,,,,,,,238.0,238.0,238.0,157.0,157.0,157.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_189_measure_1,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,,MS_Add_A_189,,,,,,,,,,,,,,,,,220.0,220.0,220.0,160.0,160.0,160.0,,,,mm,,,,,,,,,,,,,,165.0,165.0,165.0,115.0,115.0,115.0,mm,,,,,,,,,,,,
MS_Add_A_197_measure_1,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,,MS_Add_A_197,,,,,,,,,,,,,,,,,240.0,240.0,240.0,163.0,163.0,163.0,,,,mm,,,,,,,,,,,,,,c. 170–88,188.0,170.0,110–15,115.0,110.0,mm,,,,,,,,,,,,
MS_Add_A_2_measure_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,,MS_Add_A_2,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_23_measure_1,manuscript_44,Add_A,MS_Add_A_23,MS. Add. A. 23,,MS_Add_A_23,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_26_measure_1,manuscript_46,Add_A,MS_Add_A_26,MS. Add. A. 26,,MS_Add_A_26,,,,,,,,,,,,,,,,,215.0,215.0,215.0,155.0,155.0,155.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_measure_1,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,,MS_Add_A_263,,,,,,,,,,,,,,,,,240–5,245.0,240.0,170–5,175.0,170.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_measure_2,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part A (fols. 1–48),MS_Add_A_263-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,1 2,2.0,1.0,,,,,,,,34.0,34.0,34.0,,,,,,,,,,,190.0,190.0,190.0,120–5,125.0,120.0,mm,ink,
MS_Add_A_263_measure_3,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,175.0,175.0,175.0,110–5,115.0,110.0,mm,ink,below
MS_Add_A_263_measure_4,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,26 28,28.0,26.0,,,,,,,,,,,,,,,,,,,below
MS_Add_A_263_measure_5,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,above
MS_Add_A_263_measure_6,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,,MS_Add_A_263-endleaves-4,fragment,,,,,,,,c. 103,c. 103,c. 103,103.0,103.0,103.0,mm,,,,,,,,,,,,,,,c. 103,c. 103,c. 103,103.0,103.0,103.0,mm,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_268_measure_1,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,,MS_Add_A_268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_268_measure_2,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,MS. Add. A. 268 - part B,MS_Add_A_268-partB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_268_measure_3,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,MS. Add. A. 268 - part C,MS_Add_A_268-partC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_280_measure_1,manuscript_51,Add_A,MS_Add_A_280,MS. Add. A. 280,,MS_Add_A_280,,,,,,,,,,,,,,,,,215.0,215.0,215.0,155.0,155.0,155.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_286_measure_1,manuscript_54,Add_A,MS_Add_A_286,MS. Add. A. 286,,MS_Add_A_286,,,,,,,,,,,,,,,,,205.0,205.0,205.0,145.0,145.0,145.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_288_measure_1,manuscript_55,Add_A,MS_Add_A_288,MS. Add. A. 288,,MS_Add_A_288,,,,,,,,,,,,,,,,,215.0,215.0,215.0,160.0,160.0,160.0,,,,mm,,,,,,,,,,,,,,160–5,165.0,160.0,115–20,120.0,115.0,mm,,,,,,,,,,,,
MS_Add_A_30_measure_1,manuscript_57,Add_A,MS_Add_A_30,MS. Add. A. 30,MS. Add. A. 30 – Part 1 (fols. 1–236),MS_Add_A_30-part1,,,,,,,,,,,,,,,,,240.0,240.0,240.0,170.0,170.0,170.0,,,,mm,,,,,,,,,,,,,,160.0,160.0,160.0,113.0,113.0,113.0,mm,,,,,,,,,,,,
MS_Add_A_370_measure_1,manuscript_61,Add_A,MS_Add_A_370,MS. Add. A. 370,,,,,,,,,,,,,,,,,,,210.0,210.0,210.0,150.0,150.0,150.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_373_measure_1,manuscript_63,Add_A,MS_Add_A_373,MS. Add. A. 373,,MS_Add_A_373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_373_measure_2,manuscript_63,Add_A,MS_Add_A_373,MS. Add. A. 373,"MS. Add. A. 373, endleaf (fol. 100)",MS_Add_A_373-endleaf,fragment,,,,,,,,137.0,137.0,137.0,215.0,215.0,215.0,mm,,,,,,,,,,,,,,,137.0,137.0,137.0,215.0,215.0,215.0,mm,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_44_measure_1,manuscript_66,Add_A,MS_Add_A_44,MS. Add. A. 44,,MS_Add_A_44,,,,,,,,,,,,,,,,,175.0,175.0,175.0,118.0,118.0,118.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
